Millones de pesos,,,,
,Industria Manufacturera,,,
,Empalme IPI,,,
,base 2004,base 1993,,empalme
,,1993=100,2004=100,x variación
1993,,100,47.07418028,47.07418028
1994,,101.7615717,47.90342574,47.90342574
1995,,106.338128,50.05780207,50.05780207
1996,,107.1240142,50.42775158,50.42775158
1997,,109.7794675,51.67778446,51.67778446
1998,,107.6740889,50.68669474,50.68669474
1999,,105.4629098,49.64580027,49.64580027
2000,,106.8905398,50.31784541,50.31784541
2001,,106.4369954,50.1043431,50.1043431
2002,,175.8153196,82.76362052,82.76362052
2003,,201.4900025,94.84976701,94.84976701
2004,100,212.4306773,100,100
2005,108.2628062,226.0110872,106.3928667,108.2628062
2006,118.8750435,245.0367597,115.349046,118.8750435
2007,132.0740603,268.4923582,126.3905767,132.0740603
2008,158.4837389,325.3045518,153.1344512,158.4837389
2009,174.7924741,364.5164736,171.5931419,174.7924741
2010,213.3751782,402.1842847,189.3249553,213.3751782
2011,259.9721232,463.3107251,218.099726,259.9721232
2012,311.2007885,514.2884116,242.097054,311.2007885
2013,383.8947984,,,383.8947984
2014,544.1769483,,,544.1769483
2015,674.1495761,,,674.1495761
2016,938.5766216,,,938.5766216
2017,1128.103968,,,1128.103968
2018,1795.541733,,,1795.541733
2019,2694.17363,,,2694.17363
2020,3906.634575,,,3906.634575
2021,6180.601691,,,6180.601691
2022,10454.31561,,,10454.31561
