"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Capital Expenditures" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures","Capital Expenditures"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",431796                 ,441053                 ,527828                 ,584429                 ,593986                 ,722346                 ,712568                 ,641469                 ,666167                 ,723104                 ,738873                 
"Mining",35870                  ,35118                  ,49036                  ,56706                  ,61314                  ,85196                  ,70532                  ,39236                  ,45024                  ,52177                  ,39479                  
"  Oil and Gas Extraction",24444                  ,26282                  ,36497                  ,42508                  ,46264                  ,65854                  ,49424                  ,24837                  ,31671                  ,37286                  ,26599                  
"  Other",11427                  ,8836                   ,12539                  ,14199                  ,15050                  ,19341                  ,21107                  ,14399                  ,13353                  ,14891                  ,12880                  
"Manufacturing",149646                 ,158250                 ,190340                 ,220225                 ,207186                 ,236085                 ,231920                 ,194146                 ,197936                 ,209222                 ,226523                 
"  Food",12125                  ,11762                  ,11342                  ,11601                  ,11427                  ,13747                  ,13462                  ,13932                  ,14140                  ,13764                  ,15244                  
"  Beverages and tobacco products",3179                   ,3030                   ,3540                   ,4532                   ,3067                   ,4060                   ,4725                   ,4059                   ,3733                   ,3841                   ,4568                   
"  Textiles, apparel, and leather products",348                     ,428                     ,660                     ,507                     ,509                     ,1569                   ,1583                   ,1607                   ,1704                   ,1540                   ,1202                   
"  Wood products",148                     ,215                     ,149                     ,65                      ,143                     ,236                     ,342                     ,513                     ,351                     ,406                     ,555                     
"  Paper",1939                   ,2479                   ,3225                   ,3964                   ,4045                   ,4140                   ,4632                   ,4489                   ,4211                   ,4421                   ,4654                   
"  Printing and related support activities",448                     ,553                     ,613                     ,616                     ,487                     ,541                     ,1147                   ,1255                   ,1485                   ,1453                   ,1167                   
"  Petroleum and coal products",40042                  ,43686                  ,47545                  ,63472                  ,60472                  ,63409                  ,50801                  ,26220                  ,21904                  ,31136                  ,41749                  
"  Chemicals",18106                  ,17497                  ,21365                  ,25764                  ,26299                  ,34122                  ,39625                  ,31493                  ,29915                  ,33677                  ,32217                  
"    Basic chemicals",3701                   ,3395                   ,4242                   ,5995                   ,5690                   ,7482                   ,7333                   ,6684                   ,6581                   ,9204                   ,7612                   
"    Resins and synthetic rubber, fibers, and filaments",2217                   ,2196                   ,3284                   ,3425                   ,3865                   ,5387                   ,5534                   ,5591                   ,5196                   ,4307                   ,3756                   
"    Pharmaceuticals and medicines",8171                   ,7391                   ,8407                   ,10379                  ,10343                  ,13810                  ,19382                  ,12478                  ,12774                  ,13456                  ,14062                  
"    Soap, cleaning compounds, and toilet preparations",2141                   ,2512                   ,2790                   ,3218                   ,3452                   ,2690                   ,2660                   ,2629                   ,2996                   ,4026                   ,3400                   
"    Other",1876                   ,2003                   ,2642                   ,2747                   ,2949                   ,4753                   ,4716                   ,4110                   ,2368                   ,2684                   ,3386                   
"  Plastics and rubber products",2321                   ,2526                   ,2657                   ,3800                   ,3471                   ,4729                   ,4395                   ,4301                   ,4930                   ,5106                   ,5458                   
