"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Compensation of Employees" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees","Compensation of Employees"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",1590589               ,1618713               ,1692811               ,1772517               ,1812968               ,2116998               ,2191540               ,2199969               ,2238621               ,2344056               ,2421669               
"Mining",18647                  ,19210                  ,21660                  ,26090                  ,24726                  ,34150                  ,36042                  ,30160                  ,30830                  ,33370                  ,31061                  
"  Oil and Gas Extraction",4671                   ,4915                   ,6385                   ,6993                   ,5780                   ,9540                   ,8668                   ,7947                   ,8222                   ,8465                   ,8504                   
"  Other",13976                  ,14295                  ,15276                  ,19096                  ,18946                  ,24610                  ,27374                  ,22213                  ,22608                  ,24905                  ,22557                  
"Manufacturing",591953                 ,596953                 ,610983                 ,633833                 ,653506                 ,711254                 ,731172                 ,725735                 ,721543                 ,739871                 ,738658                 
"  Food",41431                  ,45700                  ,49322                  ,50045                  ,52262                  ,57724                  ,57361                  ,55108                  ,57514                  ,58067                  ,60928                  
"  Beverages and tobacco products",14962                  ,10258                  ,10376                  ,10268                  ,10408                  ,11366                  ,11751                  ,12290                  ,10609                  ,10560                  ,10789                  
"  Textiles, apparel, and leather products",4252                   ,4655                   ,4526                   ,4452                   ,4864                   ,7106                   ,6854                   ,7667                   ,8017                   ,8180                   ,7182                   
"  Wood products",1992                   ,2040                   ,1349                   ,617                     ,887                     ,1716                   ,1800                   ,5394                   ,1884                   ,1982                   ,2232                   
"  Paper",17390                  ,18278                  ,15807                  ,16879                  ,18620                  ,20723                  ,21961                  ,19371                  ,19316                  ,19074                  ,20705                  
"  Printing and related support activities",7488                   ,6513                   ,6623                   ,6436                   ,6734                   ,5755                   ,7559                   ,7131                   ,7780                   ,7296                   ,7785                   
