"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Employment" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Thousands of Employees) <br/>"
"","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees"
"","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",22932.7                ,22791.1                ,22994.2                ,23091.9                ,23348.8                ,27587.2                ,28045.6                ,28022.6                ,27981.7                ,28532.3                ,29297.3                
"Mining",187.0                   ,194.9                   ,216.1                   ,236.8                   ,227.5                   ,296.6                   ,287.3                   ,261.4                   ,267.8                   ,281.4                   ,256.7                   
"  Oil and Gas Extraction",36.6                    ,37.2                    ,43.8                    ,45.8                    ,37.2                    ,61.2                    ,51.6                    ,46.7                    ,49.8                    ,47.4                    ,52.7                    
"  Other",150.4                   ,157.7                   ,172.3                   ,191.1                   ,190.2                   ,235.5                   ,235.7                   ,214.7                   ,218.0                   ,234.0                   ,204.0                   
"Manufacturing",6864.3                 ,6893.0                 ,6886.0                 ,6872.7                 ,6805.0                 ,7473.6                 ,7411.1                 ,7359.9                 ,7290.0                 ,7494.2                 ,7445.2                 
"  Food",711.7                   ,830.8                   ,816.7                   ,805.8                   ,805.8                   ,877.2                   ,874.9                   ,846.6                   ,829.2                   ,888.7                   ,926.7                   
"  Beverages and tobacco products",186.1                   ,136.2                   ,144.7                   ,144.3                   ,142.4                   ,150.4                   ,152.1                   ,145.7                   ,124.7                   ,122.6                   ,124.4                   
"  Textiles, apparel, and leather products",87.3                    ,94.5                    ,96.3                    ,93.4                    ,92.1                    ,160.1                   ,156.1                   ,177.9                   ,174.3                   ,172.4                   ,157.5                   
"  Wood products",40.1                    ,36.1                    ,19.8                    ,10.9                    ,15.0                    ,29.9                    ,30.0                    ,99.8                    ,30.7                    ,31.8                    ,32.3                    
"  Paper",206.3                   ,213.6                   ,178.6                   ,190.8                   ,184.4                   ,200.4                   ,212.6                   ,182.4                   ,221.5                   ,188.1                   ,207.5                   
"  Printing and related support activities",105.0                   ,106.4                   ,105.7                   ,101.5                   ,107.5                   ,105.5                   ,124.1                   ,108.5                   ,110.2                   ,107.7                   ,108.5                   
"  Petroleum and coal products",318.3                   ,295.3                   ,282.9                   ,281.5                   ,276.7                   ,280.5                   ,270.3                   ,268.8                   ,302.7                   ,277.5                   ,262.6                   
"  Chemicals",799.0                   ,795.5                   ,767.0                   ,761.6                   ,764.7                   ,890.3                   ,874.2                   ,883.7                   ,912.7                   ,919.3                   ,924.5                   
