"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates","U.S. Exports of Goods Shipped by U.S. Parents to Foreign Affiliates"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",207479                 ,232776                 ,264731                 ,276219                 ,288746                 ,321985                 ,315127                 ,320789                 ,333865                 ,345333                 ,341761                 
"Mining",504                     ,702                     ,816                     ,705                     ,833                     ,1181                   ,1371                   ,1251                   ,1753                   ,1735                   ,3086                   
"  Oil and Gas Extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Other","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"Manufacturing",185109                 ,211764                 ,238349                 ,246357                 ,256700                 ,270593                 ,262944                 ,272348                 ,286556                 ,301882                 ,298884                 
"  Food",8628                   ,7854                   ,12870                  ,13310                  ,13336                  ,12254                  ,13367                  ,12944                  ,15697                  ,16463                  ,17247                  
"  Beverages and tobacco products",604                     ,895                     ,1072                   ,1319                   ,1392                   ,1789                   ,1771                   ,1662                   ,1635                   ,1770                   ,1666                   
"  Textiles, apparel, and leather products",910                     ,806                     ,750                     ,1049                   ,1064                   ,1524                   ,1235                   ,1305                   ,1341                   ,1478                   ,1158                   
"  Wood products",154                     ,227                     ,50                      ,107                     ,157                     ,108                     ,130                     ,"(D)",116                     ,111                     ,122                     
"  Paper",4981                   ,5614                   ,5229                   ,5589                   ,5955                   ,6322                   ,5922                   ,5825                   ,6075                   ,6294                   ,6055                   
"  Printing and related support activities",108                     ,75                      ,55                      ,56                      ,85                      ,106                     ,270                     ,242                     ,374                     ,406                     ,375                     
"  Petroleum and coal products",8486                   ,12485                  ,21045                  ,18921                  ,15479                  ,20586                  ,16628                  ,15066                  ,19045                  ,28419                  ,27696                  
"  Chemicals",42610                  ,48681                  ,51167                  ,47338                  ,52112                  ,56168                  ,53139                  ,59534                  ,63690                  ,64141                  ,65596                  
"    Basic chemicals",3875                   ,4946                   ,5570                   ,5479                   ,4951                   ,5513                   ,3773                   ,"(D)",6506                   ,5857                   ,6019                   
"    Resins and synthetic rubber, fibers, and filaments",8270                   ,9146                   ,9816                   ,10657                  ,11349                  ,11594                  ,12676                  ,"(D)",13207                  ,12566                  ,12908                  
"    Pharmaceuticals and medicines",22365                  ,25706                  ,27788                  ,23271                  ,28973                  ,32020                  ,29670                  ,35004                  ,36496                  ,37977                  ,37626                  
"    Soap, cleaning compounds, and toilet preparations",2611                   ,2954                   ,3033                   ,3011                   ,3148                   ,3097                   ,3267                   ,3251                   ,3321                   ,3500                   ,3976                   
"    Other",5490                   ,5929                   ,4961                   ,4921                   ,3691                   ,3943                   ,3754                   ,3475                   ,4159                   ,4241                   ,5067                   
"  Plastics and rubber products",3263                   ,4228                   ,5004                   ,5062                   ,3848                   ,3884                   ,3999                   ,3776                   ,4231                   ,4435                   ,4650                   
"  Nonmetallic mineral products",711                     ,681                     ,890                     ,845                     ,824                     ,1230                   ,1124                   ,1039                   ,954                     ,973                     ,637                     
