"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),U.S. Exports of Goods Shipped by U.S. Parents to Foreigners Other Than Foreign Affiliates" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners","U.S. Exports of Goods Shipped by U.S. Parents to Other Foreigners"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",327930                 ,348542                 ,404500                 ,470151                 ,453397                 ,512333                 ,466984                 ,461143                 ,473009                 ,499836                 ,485341                 
"Mining",8801                   ,12314                  ,12787                  ,13382                  ,14371                  ,12872                  ,10769                  ,10752                  ,11517                  ,13593                  ,13792                  
"  Oil and Gas Extraction","(D)","(D)","(D)","(D)","(D)","(D)",1505                   ,"(D)","(D)","(D)","(D)"
"  Other","(D)","(D)","(D)","(D)","(D)","(D)",9264                   ,"(D)","(D)","(D)","(D)"
"Manufacturing",261858                 ,282939                 ,331207                 ,382425                 ,364626                 ,405254                 ,368187                 ,363025                 ,354693                 ,371684                 ,352573                 
"  Food",33882                  ,34192                  ,38222                  ,44711                  ,39993                  ,49354                  ,39921                  ,40297                  ,41160                  ,41058                  ,38761                  
"  Beverages and tobacco products",2948                   ,"(D)","(D)","(D)","(D)",3803                   ,3526                   ,4254                   ,3837                   ,4407                   ,4278                   
"  Textiles, apparel, and leather products",769                     ,1145                   ,1321                   ,1148                   ,906                     ,2770                   ,2493                   ,2718                   ,2796                   ,2988                   ,2526                   
"  Wood products","(D)",268                     ,202                     ,135                     ,214                     ,496                     ,367                     ,"(D)",323                     ,264                     ,197                     
"  Paper",6294                   ,7339                   ,7206                   ,"(D)","(D)",8265                   ,6027                   ,5838                   ,6183                   ,6295                   ,5870                   
"  Printing and related support activities",167                     ,152                     ,166                     ,169                     ,163                     ,505                     ,972                     ,953                     ,1138                   ,1250                   ,1137                   
"  Petroleum and coal products",23965                  ,"(D)","(D)","(D)","(D)",60690                  ,44708                  ,39884                  ,30485                  ,32546                  ,33215                  
"  Chemicals",34472                  ,35300                  ,43052                  ,40913                  ,38881                  ,42491                  ,40002                  ,38456                  ,40805                  ,42993                  ,45836                  
"    Basic chemicals",14685                  ,"(D)",21797                  ,18522                  ,18707                  ,19919                  ,"(D)","(D)",19616                  ,19602                  ,20719                  
"    Resins and synthetic rubber, fibers, and filaments",4395                   ,4106                   ,4279                   ,3617                   ,3024                   ,3709                   ,"(D)","(D)",3822                   ,3872                   ,4172                   
"    Pharmaceuticals and medicines",11411                  ,"(D)",12374                  ,12227                  ,12064                  ,13302                  ,"(D)",12684                  ,10525                  ,11709                  ,12952                  
"    Soap, cleaning compounds, and toilet preparations",345                     ,"(D)",377                     ,526                     ,746                     ,767                     ,481                     ,413                     ,3025                   ,3984                   ,4387                   
"    Other",3637                   ,4067                   ,4225                   ,6021                   ,4341                   ,4793                   ,4621                   ,3875                   ,3817                   ,3826                   ,3607                   
"  Plastics and rubber products","(D)","(D)","(D)","(D)","(D)",6678                   ,5365                   ,4503                   ,4810                   ,5329                   ,4541                   
"  Nonmetallic mineral products",1966                   ,2325                   ,2619                   ,2276                   ,2199                   ,2122                   ,2220                   ,2030                   ,1892                   ,2074                   ,2264                   
"  Primary and fabricated metals",12552                  ,13704                  ,16461                  ,"(D)","(D)",19660                  ,15205                  ,15090                  ,14199                  ,15944                  ,14908                  
"    Primary metals",8850                   ,"(D)","(D)","(D)","(D)",13833                  ,10630                  ,10794                  ,9805                   ,10672                  ,9733                   
"    Fabricated metal products",3702                   ,"(D)","(D)",4023                   ,"(D)",5827                   ,4575                   ,4296                   ,4394                   ,5273                   ,5175                   
"  Machinery",24368                  ,25821                  ,29519                  ,31039                  ,34427                  ,30436                  ,32871                  ,34674                  ,33377                  ,35065                  ,33703                  
"    Agriculture, construction, and mining machinery","(D)",8753                   ,9181                   ,9787                   ,11566                  ,11288                  ,10144                  ,11712                  ,12130                  ,12713                  ,12587                  
"    Industrial machinery",5677                   ,6119                   ,6119                   ,5230                   ,6436                   ,6792                   ,6493                   ,7937                   ,6849                   ,7201                   ,6420                   
"    Other","(D)",10949                  ,14219                  ,16022                  ,16425                  ,12356                  ,16234                  ,15025                  ,14398                  ,15151                  ,14696                  
"  Computers and electronic products","(D)","(D)",33709                  ,38150                  ,41277                  ,48886                  ,45379                  ,44942                  ,43791                  ,47972                  ,46487                  
"    Computers and peripheral equipment",2055                   ,1988                   ,2113                   ,2388                   ,2269                   ,2452                   ,2596                   ,2503                   ,2233                   ,2563                   ,2430                   
"    Communications equipment",4761                   ,5688                   ,4409                   ,3920                   ,"(D)",4527                   ,4831                   ,4312                   ,4105                   ,4523                   ,3673                   
"    Audio and video equipment",735                     ,912                     ,1026                   ,1078                   ,1085                   ,"(D)","(D)","(D)","(D)","(D)","(D)"
"    Semiconductors and other electronic components",9432                   ,12148                  ,11559                  ,13736                  ,15432                  ,15820                  ,15203                  ,15051                  ,14124                  ,14535                  ,15519                  
"    Navigational, measuring, and other instruments","(D)","(D)",14602                  ,17028                  ,"(D)",24632                  ,21431                  ,21802                  ,22888                  ,25449                  ,24140                  
"    Magnetic and optical media","(D)",0                       ,0                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)","(D)"
"  Electrical equipment, appliances, and components",6383                   ,6712                   ,8346                   ,"(D)","(D)",13823                  ,13038                  ,12518                  ,11791                  ,13205                  ,12542                  
"  Transportation equipment",75244                  ,"(D)",83213                  ,107120                 ,94920                  ,104276                 ,107188                 ,107530                 ,109598                 ,111360                 ,97993                  
"    Motor vehicles, bodies and trailers, and parts",12402                  ,"(D)","(D)","(D)",17375                  ,20610                  ,22232                  ,22346                  ,28505                  ,28403                  ,25043                  
"    Other",62841                  ,"(D)","(D)","(D)",77545                  ,83666                  ,84957                  ,85185                  ,81093                  ,82957                  ,72951                  
"  Furniture and related products",878                     ,902                     ,902                     ,683                     ,899                     ,678                     ,636                     ,646                     ,690                     ,849                     ,766                     
"  Miscellaneous manufacturing","(D)","(D)","(D)",5229                   ,5692                   ,10320                  ,8269                   ,"(D)",7815                   ,8083                   ,7548                   
"Wholesale trade",48705                  ,46209                  ,51576                  ,65434                  ,65097                  ,83627                  ,78087                  ,76180                  ,82519                  ,103116                 ,103567                 
"  Professional and commercial equipment and supplies",1694                   ,1778                   ,1954                   ,2121                   ,2235                   ,2734                   ,2848                   ,2997                   ,3206                   ,3416                   ,2799                   
"  Petroleum and petroleum products",6420                   ,6503                   ,7419                   ,8902                   ,7877                   ,8692                   ,8739                   ,9072                   ,18774                  ,33729                  ,35124                  
"  Drugs and druggists' sundries",658                     ,700                     ,704                     ,527                     ,553                     ,540                     ,450                     ,339                     ,412                     ,509                     ,423                     
"  Other",39933                  ,37228                  ,41499                  ,53883                  ,54431                  ,71662                  ,66050                  ,63772                  ,60126                  ,65462                  ,65221                  
"Retail trade","(D)",369                     ,521                     ,435                     ,534                     ,1823                   ,1736                   ,3202                   ,3506                   ,2892                   ,3026                   
"  General merchandise stores","(D)","(D)","(D)","(D)","(D)",265                     ,271                     ,"(D)","(D)","(D)","(D)"
"  Clothing and clothing accessories stores","(D)",244                     ,256                     ,286                     ,287                     ,297                     ,337                     ,349                     ,523                     ,402                     ,564                     
"  Other",143                     ,"(D)","(D)","(D)","(D)",1261                   ,1128                   ,"(D)","(D)","(D)","(D)"
"Information",4686                   ,3575                   ,4171                   ,5213                   ,4928                   ,3929                   ,3388                   ,3298                   ,3149                   ,3619                   ,2565                   
"  Publishing industries","(D)",2799                   ,3229                   ,3477                   ,3449                   ,3338                   ,2663                   ,2479                   ,2494                   ,2805                   ,"(D)"
"  Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)",14                      ,"(D)","(D)","(D)"
"  Broadcasting (except internet) and telecommunications","(D)",61                      ,41                      ,"(D)","(D)",301                     ,"(D)","(D)",329                     ,411                     ,277                     
"    Broadcasting (except internet)","(D)","(D)",2                       ,"(D)","(D)",2                       ,"(D)","(D)","(D)","(D)","(D)"
