"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),U.S. Imports of Goods Shipped to U.S. Parents by Foreign Affiliates" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreign Affiliates"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",233578                 ,270667                 ,320218                 ,338012                 ,336882                 ,385052                 ,350940                 ,355691                 ,364400                 ,387913                 ,392508                 
"Mining",351                     ,878                     ,576                     ,592                     ,620                     ,872                     ,581                     ,601                     ,805                     ,1072                   ,1101                   
"  Oil and Gas Extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)",236                     ,"(D)","(D)","(D)"
"  Other","(D)","(D)","(D)","(D)","(D)","(D)","(D)",365                     ,"(D)","(D)","(D)"
"Manufacturing",213305                 ,252566                 ,299041                 ,309034                 ,304827                 ,345915                 ,312682                 ,317106                 ,324134                 ,349903                 ,345826                 
"  Food",9442                   ,12614                  ,15109                  ,16066                  ,15771                  ,18025                  ,13081                  ,11509                  ,12085                  ,12466                  ,12254                  
"  Beverages and tobacco products",197                     ,409                     ,610                     ,1343                   ,1024                   ,1654                   ,1855                   ,1580                   ,1653                   ,1639                   ,2000                   
"  Textiles, apparel, and leather products",1423                   ,1813                   ,2632                   ,2379                   ,2544                   ,4066                   ,3576                   ,5429                   ,5190                   ,5397                   ,4890                   
"  Wood products",541                     ,559                     ,"(D)",43                      ,118                     ,141                     ,148                     ,312                     ,149                     ,109                     ,86                      
"  Paper",1642                   ,2133                   ,2145                   ,3935                   ,4621                   ,4953                   ,4309                   ,4521                   ,4524                   ,4747                   ,4143                   
"  Printing and related support activities",139                     ,39                      ,44                      ,44                      ,139                     ,"(D)",194                     ,176                     ,190                     ,240                     ,57                      
"  Petroleum and coal products",37972                  ,47534                  ,75670                  ,70516                  ,55743                  ,59590                  ,32909                  ,27253                  ,28055                  ,34586                  ,37485                  
"  Chemicals",35711                  ,41434                  ,44252                  ,44749                  ,49141                  ,60926                  ,56392                  ,60904                  ,58602                  ,62504                  ,59296                  
"    Basic chemicals",1892                   ,2733                   ,3037                   ,2843                   ,2236                   ,1783                   ,1702                   ,1373                   ,2726                   ,1942                   ,2229                   
