"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),U.S. Imports of Goods Shipped to U.S. Parents by Foreigners Other Than Foreign Affiliates" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",445943                 ,500122                 ,566517                 ,596438                 ,576591                 ,577347                 ,543444                 ,538616                 ,549548                 ,567944                 ,547160                 
"Mining",1641                   ,1794                   ,7020                   ,7051                   ,7007                   ,1359                   ,1487                   ,1524                   ,1775                   ,1943                   ,2005                   
"  Oil and Gas Extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Other","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"Manufacturing",253666                 ,299097                 ,352239                 ,360668                 ,325787                 ,293856                 ,242879                 ,226768                 ,232524                 ,250867                 ,231546                 
"  Food",2784                   ,2490                   ,"(D)",3425                   ,3207                   ,4485                   ,4875                   ,4572                   ,4694                   ,5499                   ,6138                   
"  Beverages and tobacco products",3225                   ,"(D)",3993                   ,3803                   ,3632                   ,3228                   ,2708                   ,3637                   ,3969                   ,3769                   ,3311                   
"  Textiles, apparel, and leather products",2846                   ,3747                   ,3655                   ,"(D)",3720                   ,5161                   ,4902                   ,5869                   ,6271                   ,6389                   ,5262                   
"  Wood products","(D)",114                     ,28                      ,"(D)",48                      ,174                     ,80                      ,358                     ,96                      ,122                     ,213                     
"  Paper","(D)","(D)","(D)","(D)","(D)",1390                   ,1422                   ,1321                   ,2912                   ,2816                   ,2764                   
"  Printing and related support activities",125                     ,96                      ,106                     ,108                     ,105                     ,"(D)",182                     ,113                     ,179                     ,174                     ,260                     
"  Petroleum and coal products",129462                 ,162367                 ,189543                 ,192882                 ,178027                 ,128536                 ,79849                  ,67884                  ,66446                  ,72269                  ,60426                  
"  Chemicals",30328                  ,34863                  ,41190                  ,38120                  ,40460                  ,35834                  ,29836                  ,26749                  ,27297                  ,30568                  ,29469                  
"    Basic chemicals",8061                   ,12210                  ,"(D)","(D)","(D)",15828                  ,9525                   ,9494                   ,10001                  ,13432                  ,12745                  
"    Resins and synthetic rubber, fibers, and filaments","(D)","(D)","(D)","(D)","(D)",951                     ,884                     ,466                     ,518                     ,495                     ,396                     
"    Pharmaceuticals and medicines",20309                  ,"(D)","(D)",18903                  ,21937                  ,14175                  ,15583                  ,14747                  ,14335                  ,14001                  ,13511                  
"    Soap, cleaning compounds, and toilet preparations",111                     ,103                     ,148                     ,253                     ,269                     ,433                     ,387                     ,165                     ,361                     ,587                     ,566                     
"    Other","(D)","(D)","(D)","(D)",4076                   ,4446                   ,3458                   ,1877                   ,2082                   ,2053                   ,2250                   
"  Plastics and rubber products","(D)","(D)",8909                   ,8436                   ,4067                   ,4879                   ,4940                   ,4419                   ,4522                   ,4433                   ,3913                   
"  Nonmetallic mineral products",653                     ,999                     ,1288                   ,1236                   ,1199                   ,812                     ,810                     ,654                     ,502                     ,548                     ,432                     
"  Primary and fabricated metals",4905                   ,6385                   ,"(D)","(D)",8710                   ,10726                  ,9028                   ,5927                   ,6859                   ,7932                   ,6889                   
"    Primary metals","(D)","(D)","(D)","(D)",6172                   ,7822                   ,6051                   ,3175                   ,3820                   ,4277                   ,3361                   
"    Fabricated metal products","(D)","(D)",2609                   ,2575                   ,2539                   ,2905                   ,2977                   ,2752                   ,3039                   ,3655                   ,3528                   
"  Machinery",8849                   ,9256                   ,10941                  ,11907                  ,12438                  ,9132                   ,10567                  ,10518                  ,9910                   ,11534                  ,10486                  
"    Agriculture, construction, and mining machinery",3665                   ,"(D)",4304                   ,4988                   ,5185                   ,4927                   ,4501                   ,4466                   ,4318                   ,4704                   ,3904                   
"    Industrial machinery",1182                   ,1216                   ,1819                   ,1715                   ,1749                   ,1793                   ,1836                   ,2709                   ,2819                   ,3822                   ,3659                   
"    Other",4002                   ,"(D)",4818                   ,5204                   ,5504                   ,2412                   ,4231                   ,3343                   ,2773                   ,3008                   ,2923                   
"  Computers and electronic products",12943                  ,15100                  ,20041                  ,14432                  ,15315                  ,23532                  ,20700                  ,21019                  ,21278                  ,25991                  ,23631                  
"    Computers and peripheral equipment",941                     ,707                     ,653                     ,"(D)","(D)",1749                   ,2131                   ,2009                   ,2090                   ,2407                   ,1882                   
