"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Liabilities" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities","Liabilities"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",21023155              ,22287579              ,23048961              ,24386238              ,25025608              ,28898346              ,29488655              ,30161159              ,31184869              ,32407782              ,35008129              
"Mining",180980                 ,202485                 ,250905                 ,297230                 ,306225                 ,358055                 ,355871                 ,327457                 ,309941                 ,316999                 ,353818                 
"  Oil and Gas Extraction",106147                 ,128355                 ,157983                 ,180048                 ,161249                 ,207586                 ,183700                 ,161720                 ,150550                 ,150202                 ,195485                 
"  Other",74833                  ,74130                  ,92922                  ,117182                 ,144976                 ,150469                 ,172171                 ,165737                 ,159391                 ,166797                 ,158334                 
"Manufacturing",3525741               ,3553974               ,3712901               ,4003862               ,4005784               ,4382214               ,4720900               ,4960533               ,5098833               ,5214336               ,5410333               
"  Food",261786                 ,275798                 ,296441                 ,296642                 ,305495                 ,369243                 ,419485                 ,430287                 ,435773                 ,405538                 ,431122                 
"  Beverages and tobacco products",147228                 ,154949                 ,176992                 ,195124                 ,228555                 ,165798                 ,202608                 ,187994                 ,168741                 ,179487                 ,234406                 
"  Textiles, apparel, and leather products",14585                  ,16697                  ,16745                  ,15996                  ,17870                  ,22090                  ,18449                  ,20300                  ,21135                  ,21858                  ,21347                  
"  Wood products",7625                   ,7375                   ,4662                   ,852                     ,1359                   ,3017                   ,3191                   ,16887                  ,2997                   ,2891                   ,4728                   
"  Paper",89419                  ,78103                  ,69869                  ,79037                  ,77570                  ,90513                  ,100314                 ,103806                 ,98098                  ,98594                  ,115005                 
"  Printing and related support activities",20164                  ,20069                  ,20925                  ,21279                  ,20941                  ,15410                  ,25465                  ,24827                  ,27561                  ,28088                  ,28003                  
"  Petroleum and coal products",426571                 ,456015                 ,489399                 ,506568                 ,529886                 ,535093                 ,520878                 ,541899                 ,451744                 ,447517                 ,536733                 
"  Chemicals",686893                 ,669675                 ,713038                 ,785763                 ,745649                 ,935641                 ,1047651               ,1139950               ,1300491               ,1289691               ,1245520               
"    Basic chemicals",99384                  ,79660                  ,79574                  ,83550                  ,89738                  ,109549                 ,116975                 ,128828                 ,137555                 ,137156                 ,132274                 
"    Resins and synthetic rubber, fibers, and filaments",80496                  ,80284                  ,84173                  ,92818                  ,75663                  ,83830                  ,110790                 ,108685                 ,163392                 ,160590                 ,93164                  
"    Pharmaceuticals and medicines",417238                 ,420745                 ,459747                 ,508213                 ,469335                 ,622073                 ,707204                 ,786182                 ,864065                 ,841993                 ,860914                 
"    Soap, cleaning compounds, and toilet preparations",32774                  ,32459                  ,34736                  ,47590                  ,55243                  ,47223                  ,43881                  ,51522                  ,57757                  ,77918                  ,80585                  
"    Other",57001                  ,56526                  ,54807                  ,53592                  ,55670                  ,72966                  ,68801                  ,64732                  ,77721                  ,72035                  ,78583                  
"  Plastics and rubber products",66164                  ,71659                  ,63450                  ,82687                  ,80613                  ,101775                 ,105410                 ,105756                 ,98675                  ,98243                  ,106174                 
"  Nonmetallic mineral products",42717                  ,37171                  ,39858                  ,42961                  ,40888                  ,48702                  ,51734                  ,48918                  ,50912                  ,51611                  ,38038                  
"  Primary and fabricated metals",121296                 ,131303                 ,152887                 ,139178                 ,134672                 ,154325                 ,163743                 ,146113                 ,157741                 ,165529                 ,159313                 
"    Primary metals",77853                  ,87799                  ,113760                 ,98242                  ,96726                  ,108216                 ,114348                 ,107978                 ,113653                 ,111837                 ,106588                 
"    Fabricated metal products",43444                  ,43505                  ,39127                  ,40936                  ,37946                  ,46109                  ,49396                  ,38135                  ,44088                  ,53692                  ,52725                  
"  Machinery",193790                 ,201681                 ,219213                 ,239598                 ,258562                 ,235205                 ,273037                 ,279780                 ,296743                 ,301545                 ,333370                 
"    Agriculture, construction, and mining machinery",98011                  ,104826                 ,121839                 ,136036                 ,141233                 ,146763                 ,152796                 ,154529                 ,152587                 ,153709                 ,159956                 
"    Industrial machinery",22007                  ,24113                  ,23259                  ,24257                  ,33826                  ,34379                  ,34858                  ,38398                  ,34590                  ,36182                  ,46857                  
"    Other",73773                  ,72742                  ,74115                  ,79306                  ,83503                  ,54063                  ,85383                  ,86853                  ,109565                 ,111654                 ,126557                 
"  Computers and electronic products",264165                 ,290303                 ,328348                 ,349400                 ,390581                 ,426065                 ,446022                 ,558093                 ,590118                 ,659710                 ,665249                 
"    Computers and peripheral equipment",63815                  ,85447                  ,81345                  ,102804                 ,121271                 ,105690                 ,113950                 ,185628                 ,192888                 ,234976                 ,246952                 
"    Communications equipment",51999                  ,58987                  ,59665                  ,39727                  ,55201                  ,63685                  ,81315                  ,91174                  ,92778                  ,93862                  ,97268                  
"    Audio and video equipment","(D)",5383                   ,5258                   ,5618                   ,6096                   ,"(D)","(D)","(D)","(D)","(D)","(D)"
"    Semiconductors and other electronic components",72612                  ,70107                  ,81598                  ,95340                  ,93161                  ,110132                 ,114958                 ,127187                 ,143658                 ,152910                 ,151075                 
"    Navigational, measuring, and other instruments",70268                  ,70378                  ,100481                 ,105910                 ,114850                 ,138534                 ,124920                 ,143905                 ,151946                 ,164423                 ,156890                 
"    Magnetic and optical media","(D)",2                       ,2                       ,2                       ,2                       ,"(D)","(D)","(D)","(D)","(D)","(D)"
"  Electrical equipment, appliances, and components",78063                  ,77039                  ,78168                  ,108263                 ,118946                 ,112247                 ,121138                 ,122151                 ,118115                 ,129381                 ,134749                 
"  Transportation equipment",1003126               ,953513                 ,920560                 ,1003594               ,924877                 ,999157                 ,1009927               ,1008732               ,1059240               ,1104405               ,1132665               
