"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Net Income" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Net Income","Net Income","Net Income","Net Income","Net Income","Net Income","Net Income","Net Income","Net Income","Net Income","Net Income"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",622375                 ,909686                 ,1061776               ,994670                 ,1152824               ,1251664               ,1047661               ,1135731               ,1283306               ,1455129               ,1551398               
"Mining",11518                  ,34582                  ,42669                  ,16073                  ,20131                  ,14237                  ,-67134                 ,-32162                 ,2515                   ,21400                  ,8679                   
"  Oil and Gas Extraction",204                     ,17838                  ,20862                  ,5741                   ,13710                  ,11581                  ,-45889                 ,-26997                 ,-4394                  ,11084                  ,2022                   
"  Other",11314                  ,16744                  ,21807                  ,10333                  ,6421                   ,2655                   ,-21245                 ,-5166                  ,6909                   ,10317                  ,6657                   
"Manufacturing",354420                 ,411044                 ,512296                 ,458728                 ,499128                 ,509458                 ,390555                 ,433229                 ,439762                 ,556041                 ,530565                 
"  Food",26792                  ,35536                  ,45269                  ,32835                  ,38390                  ,35596                  ,30038                  ,31776                  ,40224                  ,27533                  ,36539                  
"  Beverages and tobacco products",16275                  ,21501                  ,19542                  ,20345                  ,21585                  ,20853                  ,21543                  ,34776                  ,20944                  ,23768                  ,12533                  
"  Textiles, apparel, and leather products",235                     ,961                     ,1124                   ,1311                   ,1185                   ,2192                   ,4912                   ,2883                   ,1227                   ,2847                   ,2341                   
"  Wood products",133                     ,154                     ,237                     ,131                     ,199                     ,218                     ,150                     ,542                     ,743                     ,819                     ,1232                   
"  Paper",3176                   ,13328                  ,11032                  ,9079                   ,9897                   ,10874                  ,9204                   ,9112                   ,11436                  ,13487                  ,10241                  
"  Printing and related support activities",424                     ,1501                   ,1284                   ,1323                   ,1210                   ,298                     ,-419                    ,29                      ,558                     ,830                     ,200                     
"  Petroleum and coal products",41863                  ,62723                  ,101687                 ,98008                  ,84858                  ,81653                  ,18182                  ,7945                   ,49754                  ,68440                  ,38187                  
"  Chemicals",106986                 ,104218                 ,108279                 ,107875                 ,128143                 ,131148                 ,110225                 ,121027                 ,86803                  ,137935                 ,138557                 
"    Basic chemicals",1084                   ,16758                  ,10893                  ,12356                  ,13672                  ,13445                  ,10941                  ,8824                   ,13185                  ,14343                  ,11272                  
"    Resins and synthetic rubber, fibers, and filaments",2413                   ,6872                   ,8004                   ,4829                   ,10290                  ,11675                  ,3157                   ,6726                   ,6199                   ,11065                  ,4338                   
"    Pharmaceuticals and medicines",78416                  ,56755                  ,62482                  ,66737                  ,77752                  ,78719                  ,78522                  ,85628                  ,38398                  ,87888                  ,100222                 
"    Soap, cleaning compounds, and toilet preparations",18375                  ,18159                  ,18279                  ,16154                  ,14186                  ,17485                  ,9737                   ,14837                  ,22068                  ,17747                  ,16345                  
"    Other",6697                   ,5675                   ,8622                   ,7800                   ,12242                  ,9824                   ,7869                   ,5013                   ,6954                   ,6892                   ,6380                   
"  Plastics and rubber products",2363                   ,4496                   ,5848                   ,4779                   ,4907                   ,10613                  ,5420                   ,8601                   ,8116                   ,9300                   ,8122                   
"  Nonmetallic mineral products",-1673                  ,1069                   ,218                     ,1466                   ,1637                   ,1428                   ,1923                   ,1884                   ,995                     ,1611                   ,349                     
"  Primary and fabricated metals",-4789                  ,5542                   ,7161                   ,5044                   ,1431                   ,6407                   ,2688                   ,4280                   ,9016                   ,14170                  ,10644                  
"    Primary metals",-6976                  ,2258                   ,3671                   ,1477                   ,-1594                  ,2730                   ,83                      ,1135                   ,4737                   ,9846                   ,5303                   
"    Fabricated metal products",2187                   ,3284                   ,3489                   ,3568                   ,3025                   ,3677                   ,2605                   ,3145                   ,4279                   ,4325                   ,5341                   
"  Machinery",8047                   ,18090                  ,25557                  ,24084                  ,26235                  ,27132                  ,17214                  ,13268                  ,19819                  ,31212                  ,26728                  
"    Agriculture, construction, and mining machinery",4573                   ,8278                   ,12049                  ,12984                  ,13540                  ,13232                  ,5654                   ,575                     ,4959                   ,11416                  ,5856                   
"    Industrial machinery",499                     ,4564                   ,6121                   ,3672                   ,4984                   ,7260                   ,3414                   ,3717                   ,7200                   ,8614                   ,7118                   
"    Other",2975                   ,5248                   ,7387                   ,7428                   ,7711                   ,6640                   ,8147                   ,8975                   ,7660                   ,11182                  ,13754                  
"  Computers and electronic products",22476                  ,71024                  ,83672                  ,75334                  ,92343                  ,92543                  ,97204                  ,102455                 ,104519                 ,149979                 ,155548                 
"    Computers and peripheral equipment",15284                  ,27717                  ,38030                  ,"(D)",46441                  ,41897                  ,47692                  ,50717                  ,48002                  ,66125                  ,70609                  
"    Communications equipment",5363                   ,9743                   ,9565                   ,"(D)",11705                  ,10378                  ,5735                   ,13390                  ,11740                  ,3400                   ,2746                   
"    Audio and video equipment","(D)",370                     ,509                     ,565                     ,335                     ,369                     ,373                     ,546                     ,278                     ,194                     ,"(D)"
"    Semiconductors and other electronic components",-3545                  ,23807                  ,21914                  ,16430                  ,19674                  ,23065                  ,26670                  ,19662                  ,28871                  ,55077                  ,53286                  
"    Navigational, measuring, and other instruments",6293                   ,9388                   ,13655                  ,15474                  ,14188                  ,16775                  ,16709                  ,18115                  ,15604                  ,25149                  ,28948                  
"    Magnetic and optical media","(D)","(*)","(*)","(*)","(*)",59                      ,25                      ,24                      ,24                      ,33                      ,"(D)"
"  Electrical equipment, appliances, and components",7369                   ,10166                  ,14592                  ,8807                   ,8409                   ,10128                  ,9698                   ,11000                  ,10172                  ,12847                  ,11212                  
"  Transportation equipment",118721                 ,50028                  ,72624                  ,58390                  ,63083                  ,62025                  ,47298                  ,62567                  ,51521                  ,43960                  ,52278                  
"    Motor vehicles, bodies and trailers, and parts",96444                  ,22292                  ,44179                  ,24279                  ,26037                  ,18443                  ,27298                  ,26862                  ,31579                  ,31278                  ,32113                  
"    Other",22278                  ,27736                  ,28446                  ,34110                  ,37046                  ,43582                  ,20000                  ,35705                  ,19941                  ,12682                  ,20166                  
"  Furniture and related products",-21                     ,-801                    ,96                      ,278                     ,1127                   ,1553                   ,1085                   ,1309                   ,1195                   ,1860                   ,1774                   
"  Miscellaneous manufacturing",6043                   ,11507                  ,14076                  ,9638                   ,14490                  ,14797                  ,14192                  ,19774                  ,22719                  ,15444                  ,24082                  
"Wholesale trade",13515                  ,32879                  ,39089                  ,42229                  ,51308                  ,58730                  ,66328                  ,67484                  ,92451                  ,43652                  ,123172                 
"  Professional and commercial equipment and supplies",-640                    ,1595                   ,1530                   ,2077                   ,2731                   ,2844                   ,2141                   ,2083                   ,2291                   ,289                     ,2284                   
"  Petroleum and petroleum products",948                     ,1064                   ,2348                   ,854                     ,1041                   ,2152                   ,4558                   ,4054                   ,3174                   ,6864                   ,4170                   
"  Drugs and druggists' sundries",4812                   ,4585                   ,4984                   ,3830                   ,6254                   ,8936                   ,9184                   ,10203                  ,11209                  ,7611                   ,7504                   
"  Other",8395                   ,25635                  ,30227                  ,35467                  ,41283                  ,44797                  ,50445                  ,51144                  ,75777                  ,28888                  ,109214                 
"Retail trade",33544                  ,45269                  ,46552                  ,45378                  ,43158                  ,50450                  ,57674                  ,64605                  ,68160                  ,64368                  ,82879                  
"  General merchandise stores",17592                  ,21308                  ,22126                  ,21686                  ,18859                  ,17105                  ,21826                  ,20349                  ,18737                  ,12329                  ,23561                  
"  Clothing and clothing accessories stores",3898                   ,6883                   ,6739                   ,8282                   ,8304                   ,6343                   ,7038                   ,8186                   ,7768                   ,7804                   ,7216                   
"  Other",12053                  ,17078                  ,17687                  ,15410                  ,15995                  ,27002                  ,28811                  ,36070                  ,41655                  ,44235                  ,52102                  
"Information",51380                  ,97322                  ,91820                  ,104530                 ,136454                 ,124604                 ,127411                 ,137959                 ,196605                 ,183455                 ,186786                 
"  Publishing industries",11814                  ,29285                  ,34694                  ,30618                  ,34181                  ,35358                  ,23182                  ,29844                  ,31948                  ,31429                  ,50208                  
"  Motion picture and sound recording industries",-1372                  ,713                     ,-94                     ,720                     ,608                     ,635                     ,-2232                  ,380                     ,144                     ,1528                   ,1350                   
"  Broadcasting (except internet) and telecommunications",31235                  ,51909                  ,41847                  ,49657                  ,74577                  ,53826                  ,76744                  ,63201                  ,115284                 ,80756                  ,72940                  
"    Broadcasting (except internet)",3046                   ,11076                  ,19997                  ,20970                  ,28609                  ,31457                  ,34977                  ,22988                  ,22609                  ,27744                  ,20784                  
"    Telecommunications",28189                  ,40833                  ,21850                  ,28687                  ,45969                  ,22368                  ,41767                  ,40214                  ,92675                  ,53012                  ,52156                  
"  Data processing, hosting, and related services",1749                   ,2142                   ,2456                   ,2217                   ,3689                   ,3365                   ,5218                   ,5239                   ,8405                   ,4528                   ,-1729                  
"  Other information services",7953                   ,13274                  ,12917                  ,21317                  ,23399                  ,31420                  ,24500                  ,39294                  ,40824                  ,65214                  ,64016                  
"Finance and insurance",72119                  ,170062                 ,189841                 ,186852                 ,230640                 ,308386                 ,293725                 ,292854                 ,289220                 ,381640                 ,396774                 
"  Depository credit intermediation (banking)",17791                  ,46647                  ,60609                  ,72369                  ,83765                  ,82297                  ,96934                  ,97354                  ,98014                  ,129200                 ,128820                 
"  Finance, except depository institutions",31241                  ,65037                  ,61798                  ,61635                  ,82876                  ,147538                 ,122378                 ,135621                 ,117555                 ,174155                 ,167809                 
"  Insurance carriers and related activities",23087                  ,58378                  ,67434                  ,52848                  ,63999                  ,78551                  ,74413                  ,59879                  ,73651                  ,78285                  ,100146                 
"Professional, scientific, and technical services",46558                  ,55906                  ,60192                  ,59924                  ,67320                  ,68394                  ,71418                  ,68635                  ,61882                  ,65003                  ,65973                  
