"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Owners Equity" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity","Owners Equity"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",6607520               ,7258873               ,7548733               ,8032984               ,8595124               ,10113228              ,10213204              ,10303664              ,11081478              ,11375433              ,11962316              
"Mining",235076                 ,263599                 ,295495                 ,321029                 ,313933                 ,346507                 ,282189                 ,235759                 ,240863                 ,245878                 ,272767                 
"  Oil and Gas Extraction",136449                 ,148543                 ,166793                 ,189060                 ,181731                 ,216897                 ,163726                 ,133569                 ,131764                 ,127505                 ,143973                 
"  Other",98627                  ,115057                 ,128702                 ,131970                 ,132202                 ,129610                 ,118463                 ,102190                 ,109099                 ,118373                 ,128794                 
"Manufacturing",2355618               ,2586109               ,2662278               ,2831333               ,3085361               ,3336016               ,3369695               ,3335055               ,3705723               ,3707590               ,3597212               
"  Food",136744                 ,165498                 ,182000                 ,206862                 ,227497                 ,254528                 ,296136                 ,253390                 ,303286                 ,278119                 ,302688                 
"  Beverages and tobacco products",83169                  ,78440                  ,79957                  ,90009                  ,93562                  ,146541                 ,160230                 ,175330                 ,164164                 ,169880                 ,127683                 
"  Textiles, apparel, and leather products",8357                   ,10446                  ,11273                  ,12769                  ,14582                  ,19727                  ,19923                  ,21858                  ,22642                  ,23737                  ,22528                  
"  Wood products",4832                   ,4046                   ,1730                   ,2022                   ,2918                   ,3735                   ,3686                   ,6270                   ,4340                   ,4267                   ,4081                   
"  Paper",38714                  ,54137                  ,50578                  ,52333                  ,59989                  ,45415                  ,50452                  ,46212                  ,53310                  ,50546                  ,50140                  
"  Printing and related support activities",5789                   ,8300                   ,8526                   ,8653                   ,6553                   ,4283                   ,2432                   ,1257                   ,1144                   ,1443                   ,2284                   
"  Petroleum and coal products",418826                 ,481730                 ,507424                 ,564051                 ,607162                 ,605331                 ,581095                 ,582181                 ,591851                 ,623190                 ,608542                 
"  Chemicals",537545                 ,566869                 ,566002                 ,603500                 ,700329                 ,722452                 ,716163                 ,702173                 ,885261                 ,875857                 ,863769                 
"    Basic chemicals",32753                  ,51673                  ,52385                  ,61829                  ,67113                  ,59351                  ,57371                  ,55090                  ,71277                  ,85074                  ,88728                  
"    Resins and synthetic rubber, fibers, and filaments",33732                  ,37417                  ,38561                  ,37877                  ,50657                  ,49791                  ,34478                  ,33998                  ,140433                 ,136329                 ,73743                  
"    Pharmaceuticals and medicines",353529                 ,355796                 ,342627                 ,366944                 ,443359                 ,465215                 ,490568                 ,473652                 ,507710                 ,502798                 ,528374                 
"    Soap, cleaning compounds, and toilet preparations",81793                  ,81996                  ,91591                  ,87529                  ,86958                  ,96194                  ,82178                  ,83043                  ,104461                 ,94056                  ,94845                  
"    Other",35738                  ,39987                  ,40837                  ,49321                  ,52243                  ,51902                  ,51569                  ,56390                  ,61380                  ,57600                  ,78078                  
"  Plastics and rubber products",30922                  ,32766                  ,27393                  ,27932                  ,28271                  ,42083                  ,43949                  ,44137                  ,41016                  ,41418                  ,46437                  
"  Nonmetallic mineral products",20100                  ,20197                  ,21434                  ,20936                  ,22736                  ,19646                  ,21096                  ,20664                  ,20990                  ,21673                  ,21476                  
"  Primary and fabricated metals",80327                  ,88326                  ,87154                  ,95637                  ,92047                  ,99732                  ,89637                  ,84163                  ,94253                  ,101557                 ,101751                 
"    Primary metals",54262                  ,56408                  ,56985                  ,63461                  ,60649                  ,65665                  ,59758                  ,59820                  ,64519                  ,69531                  ,67305                  
