"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Research and Development Expenditures" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Research and Development Expenditures","Research and Development Expenditures","Research and Development Expenditures","Research and Development Expenditures","Research and Development Expenditures","Research and Development Expenditures","Research and Development Expenditures","Research and Development Expenditures","Research and Development Expenditures","Research and Development Expenditures","Research and Development Expenditures"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",207297                 ,205674                 ,220279                 ,232955                 ,242327                 ,275477                 ,277787                 ,289392                 ,298985                 ,322946                 ,350205                 
"Mining",560                     ,556                     ,712                     ,620                     ,781                     ,841                     ,977                     ,797                     ,927                     ,1025                   ,1008                   
"  Oil and Gas Extraction","(D)","(D)","(D)",16                      ,15                      ,"(D)","(D)","(D)","(D)","(D)","(D)"
"  Other","(D)","(D)","(D)",604                     ,766                     ,"(D)","(D)","(D)","(D)","(D)","(D)"
"Manufacturing",157731                 ,152855                 ,159646                 ,164489                 ,167765                 ,187707                 ,186274                 ,195423                 ,200189                 ,210024                 ,218928                 
"  Food",1927                   ,2196                   ,2565                   ,2623                   ,2546                   ,2645                   ,2502                   ,2609                   ,2582                   ,2667                   ,2767                   
"  Beverages and tobacco products",338                     ,313                     ,289                     ,329                     ,406                     ,463                     ,455                     ,478                     ,375                     ,299                     ,378                     
"  Textiles, apparel, and leather products",182                     ,216                     ,203                     ,203                     ,197                     ,203                     ,198                     ,203                     ,211                     ,212                     ,197                     
"  Wood products",80                      ,87                      ,47                      ,"(D)",34                      ,48                      ,50                      ,177                     ,46                      ,47                      ,75                      
"  Paper",1069                   ,1150                   ,1229                   ,1282                   ,1913                   ,1928                   ,1870                   ,1878                   ,1992                   ,1836                   ,1990                   
"  Printing and related support activities",133                     ,74                      ,79                      ,77                      ,74                      ,67                      ,165                     ,128                     ,169                     ,158                     ,203                     
"  Petroleum and coal products",2924                   ,3249                   ,2967                   ,2988                   ,3113                   ,2866                   ,2751                   ,2746                   ,2559                   ,1971                   ,2230                   
"  Chemicals",47244                  ,49878                  ,52480                  ,55088                  ,54374                  ,63979                  ,61545                  ,61913                  ,64461                  ,67778                  ,71131                  
"    Basic chemicals",913                     ,1014                   ,1169                   ,1271                   ,1124                   ,1133                   ,1160                   ,1159                   ,1209                   ,1295                   ,1455                   
"    Resins and synthetic rubber, fibers, and filaments",2721                   ,3233                   ,3428                   ,3780                   ,3849                   ,3753                   ,3859                   ,3600                   ,3666                   ,3571                   ,2618                   
"    Pharmaceuticals and medicines",39576                  ,41614                  ,44427                  ,46969                  ,46275                  ,55680                  ,53211                  ,53794                  ,56188                  ,59268                  ,62125                  
"    Soap, cleaning compounds, and toilet preparations","(D)",1936                   ,2131                   ,1839                   ,1968                   ,2046                   ,2128                   ,2375                   ,2479                   ,2720                   ,2734                   
"    Other","(D)",2081                   ,1325                   ,1229                   ,1159                   ,1367                   ,1187                   ,985                     ,919                     ,924                     ,2199                   
"  Plastics and rubber products",1109                   ,1249                   ,1154                   ,1255                   ,1018                   ,1445                   ,1421                   ,1482                   ,1516                   ,1603                   ,1408                   
"  Nonmetallic mineral products",388                     ,383                     ,429                     ,450                     ,446                     ,448                     ,438                     ,416                     ,433                     ,483                     ,472                     
"  Primary and fabricated metals",1217                   ,1224                   ,1260                   ,1341                   ,1164                   ,1333                   ,1313                   ,1195                   ,1226                   ,1286                   ,1247                   
"    Primary metals",453                     ,482                     ,520                     ,512                     ,508                     ,711                     ,701                     ,635                     ,594                     ,628                     ,672                     
"    Fabricated metal products",764                     ,743                     ,740                     ,830                     ,656                     ,622                     ,612                     ,559                     ,632                     ,658                     ,575                     
"  Machinery",6743                   ,7771                   ,8344                   ,9039                   ,9406                   ,8152                   ,9115                   ,8885                   ,8978                   ,9893                   ,10149                  
"    Agriculture, construction, and mining machinery",2330                   ,2912                   ,3531                   ,3722                   ,3808                   ,3988                   ,3936                   ,3349                   ,3298                   ,3492                   ,3511                   
"    Industrial machinery",1690                   ,1996                   ,1899                   ,2124                   ,2264                   ,2088                   ,2145                   ,2689                   ,2764                   ,3033                   ,2954                   
"    Other",2724                   ,2863                   ,2914                   ,3193                   ,3335                   ,2075                   ,3034                   ,2847                   ,2915                   ,3368                   ,3684                   
"  Computers and electronic products",35823                  ,34535                  ,42305                  ,44029                  ,44772                  ,52090                  ,53213                  ,59175                  ,60760                  ,66600                  ,73593                  
"    Computers and peripheral equipment",6717                   ,4918                   ,6472                   ,8105                   ,8707                   ,10994                  ,13285                  ,17232                  ,17935                  ,20639                  ,29673                  
