"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Total Assets" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (All Industries) (NAICS) (Millions of Dollars) <br/>"
"","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets","Total Assets"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",27630675              ,29546451              ,30597694              ,32419222              ,33620732              ,39011574              ,39701859              ,40464823              ,42266346              ,43783215              ,46970445              
"Mining",416056                 ,466085                 ,546400                 ,618259                 ,620158                 ,704562                 ,638060                 ,563216                 ,550804                 ,562877                 ,626586                 
"  Oil and Gas Extraction",242596                 ,276898                 ,324776                 ,369108                 ,342980                 ,424484                 ,347426                 ,295289                 ,282314                 ,277707                 ,339458                 
"  Other",173460                 ,189187                 ,221624                 ,249152                 ,277179                 ,280079                 ,290634                 ,267927                 ,268491                 ,285170                 ,287128                 
"    Coal Mining",21273                  ,22999                  ,29159                  ,30998                  ,30875                  ,28565                  ,22062                  ,20363                  ,14968                  ,16745                  ,17222                  
"    Nonmetallic Mineral Mining and Quarrying",17306                  ,17467                  ,18006                  ,18184                  ,18388                  ,24893                  ,25587                  ,26002                  ,29044                  ,34019                  ,34726                  
"    Metal Ore Mining",49808                  ,58098                  ,76899                  ,79424                  ,102337                 ,115369                 ,94395                  ,79401                  ,80249                  ,86222                  ,93461                  
"      Iron Ores","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"      Gold and Silver Ores",29066                  ,31269                  ,37832                  ,38908                  ,36148                  ,37347                  ,35912                  ,33803                  ,33993                  ,34258                  ,43790                  
"      Copper, Nickel, Lead, and Zinc Ores","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"      Other Metal Ores","(D)","(D)","(D)","(D)",0                       ,"(D)","(D)","(D)","(D)","(D)","(D)"
"    Support Activities for Mining",85073                  ,90623                  ,97560                  ,120544                 ,125578                 ,111252                 ,148591                 ,142161                 ,144229                 ,148184                 ,141719                 
"      Support Activities for Oil and Gas Extraction",85073                  ,90623                  ,97560                  ,"(D)","(D)",110217                 ,147556                 ,141443                 ,143504                 ,147423                 ,140572                 
