"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Total Sales" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Sales","Sales","Sales","Sales","Sales","Sales","Sales","Sales","Sales","Sales","Sales"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",9208797               ,9774337               ,10593201              ,10935873              ,11201010              ,13000381              ,12522977              ,12616391              ,13438681              ,14338829              ,14783293              
"Mining",108028                 ,125238                 ,160702                 ,166320                 ,174737                 ,222477                 ,171415                 ,138218                 ,161640                 ,187181                 ,187002                 
"  Oil and Gas Extraction",49845                  ,59512                  ,78748                  ,79141                  ,88053                  ,116916                 ,72772                  ,57899                  ,72760                  ,87815                  ,93608                  
"  Other",58183                  ,65727                  ,81954                  ,87179                  ,86683                  ,105561                 ,98644                  ,80319                  ,88880                  ,99366                  ,93394                  
"Manufacturing",3656719               ,4035643               ,4569686               ,4685853               ,4626789               ,4945821               ,4426139               ,4300811               ,4539609               ,4888697               ,4809102               
"  Food",403193                 ,420109                 ,459690                 ,490003                 ,488605                 ,548279                 ,502018                 ,472443                 ,493394                 ,507487                 ,511388                 
"  Beverages and tobacco products",97559                  ,85543                  ,95810                  ,105638                 ,107605                 ,114481                 ,113389                 ,119359                 ,116494                 ,115806                 ,119090                 
"  Textiles, apparel, and leather products",21371                  ,23454                  ,25326                  ,25489                  ,27507                  ,39612                  ,34945                  ,39376                  ,38121                  ,43062                  ,36542                  
"  Wood products",11621                  ,11327                  ,7737                   ,4388                   ,5943                   ,10005                  ,9217                   ,18319                  ,10366                  ,10928                  ,10676                  
"  Paper",81953                  ,89518                  ,80143                  ,94096                  ,96427                  ,100752                 ,100821                 ,90366                  ,95110                  ,99195                  ,95076                  
"  Printing and related support activities",25056                  ,24959                  ,27107                  ,26399                  ,24829                  ,23878                  ,28974                  ,24751                  ,26745                  ,27222                  ,27100                  
"  Petroleum and coal products",753201                 ,925014                 ,1180740               ,1146587               ,1086150               ,1048411               ,674784                 ,582006                 ,656694                 ,746069                 ,736506                 
"  Chemicals",529218                 ,566575                 ,604486                 ,600957                 ,608288                 ,691854                 ,653981                 ,640762                 ,694763                 ,703853                 ,706461                 
"    Basic chemicals",84702                  ,104492                 ,122515                 ,119144                 ,115278                 ,125873                 ,105225                 ,96827                  ,112510                 ,130344                 ,124790                 
"    Resins and synthetic rubber, fibers, and filaments",51033                  ,53784                  ,59966                  ,61279                  ,60915                  ,61642                  ,46491                  ,39551                  ,44505                  ,42841                  ,41239                  
"    Pharmaceuticals and medicines",277148                 ,284857                 ,295731                 ,295396                 ,307200                 ,369642                 ,366207                 ,375802                 ,392856                 ,381549                 ,379736                 
"    Soap, cleaning compounds, and toilet preparations",58865                  ,59406                  ,62284                  ,61917                  ,63503                  ,63043                  ,67758                  ,68199                  ,72787                  ,82606                  ,81939                  
"    Other",57469                  ,64036                  ,63990                  ,63221                  ,61393                  ,71653                  ,68301                  ,60382                  ,72106                  ,66513                  ,78755                  
"  Plastics and rubber products",79686                  ,91899                  ,93902                  ,102536                 ,88700                  ,106808                 ,98665                  ,94116                  ,101838                 ,106185                 ,106336                 
"  Nonmetallic mineral products",34656                  ,33206                  ,36624                  ,36716                  ,36316                  ,35086                  ,32213                  ,29376                  ,28132                  ,30352                  ,26542                  
"  Primary and fabricated metals",141813                 ,168303                 ,193530                 ,194122                 ,184417                 ,218272                 ,185565                 ,174297                 ,191159                 ,215629                 ,208946                 
"    Primary metals",90049                  ,115953                 ,140237                 ,138827                 ,135568                 ,159290                 ,135773                 ,131291                 ,142341                 ,157334                 ,150194                 
"    Fabricated metal products",51764                  ,52350                  ,53293                  ,55295                  ,48849                  ,58982                  ,49792                  ,43006                  ,48818                  ,58295                  ,58752                  
"  Machinery",189351                 ,212914                 ,236353                 ,254004                 ,271025                 ,243289                 ,245448                 ,228819                 ,239040                 ,278597                 ,296978                 
"    Agriculture, construction, and mining machinery",76216                  ,85970                  ,98358                  ,111780                 ,116476                 ,107012                 ,95929                  ,82152                  ,93381                  ,106012                 ,109413                 
"    Industrial machinery",28559                  ,39271                  ,42222                  ,39867                  ,46521                  ,52929                  ,47119                  ,45836                  ,37103                  ,40609                  ,39583                  
"    Other",84577                  ,87674                  ,95773                  ,102357                 ,108028                 ,83348                  ,102401                 ,100831                 ,108556                 ,131976                 ,147983                 
"  Computers and electronic products",366908                 ,402974                 ,477887                 ,497426                 ,501393                 ,551189                 ,556826                 ,555688                 ,583329                 ,660910                 ,641682                 
"    Computers and peripheral equipment",122018                 ,123592                 ,141255                 ,165118                 ,165456                 ,174887                 ,192528                 ,188257                 ,201540                 ,232487                 ,229088                 
"    Communications equipment",55814                  ,58944                  ,68006                  ,58024                  ,60234                  ,60934                  ,65673                  ,66533                  ,66518                  ,62409                  ,60246                  
"    Audio and video equipment","(D)",7070                   ,8136                   ,9046                   ,9212                   ,10566                  ,10834                  ,10728                  ,7643                   ,24123                  ,"(D)"
"    Semiconductors and other electronic components",95878                  ,119889                 ,135436                 ,135062                 ,133666                 ,151693                 ,157433                 ,159766                 ,174580                 ,191077                 ,187336                 
"    Navigational, measuring, and other instruments",86148                  ,93479                  ,125054                 ,130175                 ,132824                 ,152307                 ,130020                 ,130064                 ,132690                 ,150427                 ,144007                 
"    Magnetic and optical media","(D)","(*)","(*)","(*)","(*)",801                     ,338                     ,339                     ,356                     ,388                     ,"(D)"
"  Electrical equipment, appliances, and components",90057                  ,88439                  ,99210                  ,113886                 ,108719                 ,113117                 ,110831                 ,108659                 ,106844                 ,118146                 ,119909                 
"  Transportation equipment",725288                 ,774007                 ,820828                 ,862274                 ,855177                 ,927605                 ,910850                 ,926811                 ,964845                 ,1016632               ,968043                 
"    Motor vehicles, bodies and trailers, and parts",320829                 ,378306                 ,445516                 ,474258                 ,458557                 ,515695                 ,520386                 ,553797                 ,589806                 ,611191                 ,593176                 
"    Other",404459                 ,395701                 ,375312                 ,388016                 ,396620                 ,411910                 ,390464                 ,373014                 ,375039                 ,405441                 ,374867                 
"  Furniture and related products",18016                  ,17979                  ,22222                  ,23375                  ,24272                  ,25767                  ,22534                  ,22755                  ,23996                  ,28611                  ,21940                  
"  Miscellaneous manufacturing",87770                  ,99422                  ,108091                 ,107959                 ,111417                 ,147417                 ,145079                 ,172907                 ,168738                 ,180011                 ,175887                 
"Wholesale trade",1109793               ,1121755               ,1233878               ,1224817               ,1377875               ,1719546               ,1777996               ,1773426               ,2057761               ,2208413               ,2257480               
"  Professional and commercial equipment and supplies",66658                  ,76496                  ,81998                  ,83156                  ,86561                  ,106434                 ,107712                 ,116661                 ,122816                 ,135861                 ,122927                 
"  Petroleum and petroleum products",84292                  ,87558                  ,106475                 ,114985                 ,115283                 ,139742                 ,139552                 ,135174                 ,303487                 ,412740                 ,412107                 
"  Drugs and druggists' sundries",343987                 ,360579                 ,381470                 ,310378                 ,393415                 ,432151                 ,488000                 ,450617                 ,472570                 ,498702                 ,514210                 
"  Other",614856                 ,597122                 ,663935                 ,716298                 ,782617                 ,1041219               ,1042732               ,1070974               ,1158888               ,1161109               ,1208236               
"Retail trade",930573                 ,943361                 ,987966                 ,1032944               ,1116910               ,1466820               ,1468395               ,1605783               ,1653061               ,1742923               ,1813333               
"  General merchandise stores",471922                 ,485604                 ,500639                 ,515973                 ,519845                 ,550413                 ,578034                 ,586423                 ,618174                 ,645528                 ,666865                 
"  Clothing and clothing accessories stores",68840                  ,80536                  ,87288                  ,95168                  ,98974                  ,123814                 ,122617                 ,123149                 ,126924                 ,137441                 ,141625                 
"  Other",389811                 ,377221                 ,400039                 ,421803                 ,498090                 ,792593                 ,767744                 ,896212                 ,907963                 ,959955                 ,1004843               
"Information",708959                 ,741453                 ,812543                 ,912808                 ,946540                 ,1041298               ,1061424               ,1104961               ,1155188               ,1166230               ,1206269               
"  Publishing industries",131205                 ,137112                 ,149939                 ,158466                 ,163913                 ,175499                 ,178708                 ,183135                 ,189629                 ,206559                 ,211780                 
"  Motion picture and sound recording industries",37506                  ,38785                  ,38790                  ,39344                  ,36966                  ,26398                  ,27115                  ,28072                  ,30359                  ,31718                  ,31490                  
