"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Value Added (Gross Product)" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added","Value Added"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Industries Total",2595776               ,2948661               ,3160862               ,3249145               ,3487281               ,3889485               ,3949236               ,3916185               ,3901789               ,4212291               ,4234524               
"Mining",76139                  ,74862                  ,94276                  ,87517                  ,93100                  ,132756                 ,76231                  ,67767                  ,94268                  ,114595                 ,80866                  
"  Oil and Gas Extraction",40951                  ,40750                  ,44258                  ,40579                  ,46107                  ,81161                  ,39151                  ,32850                  ,50550                  ,66520                  ,43189                  
"  Other",35188                  ,34112                  ,50018                  ,46937                  ,46994                  ,51595                  ,37081                  ,34917                  ,43718                  ,48075                  ,37677                  
"Manufacturing",1034139               ,1147233               ,1278575               ,1279534               ,1311412               ,1395464               ,1380654               ,1383961               ,1307371               ,1477781               ,1433050               
"  Food",79682                  ,95948                  ,103418                 ,99165                  ,109696                 ,115293                 ,108755                 ,109323                 ,116531                 ,120108                 ,135140                 
"  Beverages and tobacco products",52779                  ,49311                  ,52562                  ,56489                  ,60214                  ,55898                  ,60240                  ,68957                  ,56147                  ,55806                  ,54040                  
"  Textiles, apparel, and leather products",5523                   ,7336                   ,6931                   ,6908                   ,8055                   ,10753                  ,12494                  ,12016                  ,7467                   ,10428                  ,8828                   
"  Wood products",2556                   ,2658                   ,1695                   ,880                     ,1522                   ,3562                   ,3590                   ,7951                   ,4275                   ,4452                   ,4240                   
"  Paper",32748                  ,31756                  ,26584                  ,30578                  ,31894                  ,36129                  ,38213                  ,33170                  ,30575                  ,33324                  ,30162                  
"  Printing and related support activities",10157                  ,11203                  ,11655                  ,11138                  ,11102                  ,7982                   ,10394                  ,9758                   ,10678                  ,10419                  ,9914                   
"  Petroleum and coal products",108893                 ,135324                 ,181872                 ,162130                 ,147806                 ,160918                 ,130946                 ,113738                 ,120272                 ,150115                 ,114599                 
"  Chemicals",201117                 ,197377                 ,213056                 ,210990                 ,245005                 ,256484                 ,260891                 ,279360                 ,221604                 ,258220                 ,247299                 
"    Basic chemicals",19385                  ,21227                  ,26133                  ,28647                  ,30623                  ,34533                  ,32648                  ,30665                  ,33239                  ,36943                  ,33333                  
"    Resins and synthetic rubber, fibers, and filaments",10451                  ,15325                  ,17371                  ,15754                  ,19407                  ,19105                  ,10928                  ,13308                  ,14569                  ,19706                  ,3167                   
"    Pharmaceuticals and medicines",116749                 ,112934                 ,115274                 ,116489                 ,143297                 ,142229                 ,159469                 ,179818                 ,109702                 ,138055                 ,152478                 
"    Soap, cleaning compounds, and toilet preparations",29767                  ,28715                  ,31669                  ,28292                  ,25285                  ,36201                  ,34878                  ,35642                  ,43034                  ,43127                  ,34695                  
"    Other",24765                  ,19175                  ,22609                  ,21808                  ,26394                  ,24416                  ,22967                  ,19927                  ,21060                  ,20388                  ,23625                  
"  Plastics and rubber products",24001                  ,27833                  ,25840                  ,31339                  ,28083                  ,35412                  ,37742                  ,37121                  ,35074                  ,34587                  ,33087                  
"  Nonmetallic mineral products",10951                  ,10536                  ,10952                  ,12518                  ,12700                  ,11597                  ,11972                  ,11538                  ,10678                  ,11099                  ,8850                   
"  Primary and fabricated metals",32287                  ,46985                  ,53327                  ,48398                  ,44217                  ,57952                  ,49924                  ,49353                  ,49435                  ,62571                  ,61008                  
"    Primary metals",16943                  ,30223                  ,36660                  ,30920                  ,29266                  ,39026                  ,33359                  ,32374                  ,32408                  ,39151                  ,36601                  
"    Fabricated metal products",15344                  ,16762                  ,16666                  ,17478                  ,14951                  ,18926                  ,16565                  ,16980                  ,17027                  ,23421                  ,24406                  
"  Machinery",55685                  ,68815                  ,75251                  ,75740                  ,78481                  ,77737                  ,72112                  ,66959                  ,71274                  ,94711                  ,98505                  
"    Agriculture, construction, and mining machinery",17287                  ,22795                  ,29196                  ,30789                  ,32227                  ,30440                  ,20464                  ,11985                  ,17978                  ,27849                  ,33508                  
"    Industrial machinery",7762                   ,14939                  ,17000                  ,13031                  ,15777                  ,21830                  ,16945                  ,20687                  ,19021                  ,22386                  ,18553                  
"    Other",30635                  ,31081                  ,29056                  ,31920                  ,30477                  ,25467                  ,34703                  ,34287                  ,34275                  ,44476                  ,46444                  
"  Computers and electronic products",129234                 ,154956                 ,193336                 ,212229                 ,211154                 ,217777                 ,220538                 ,231323                 ,231693                 ,263330                 ,260218                 
"    Computers and peripheral equipment",34680                  ,37527                  ,54082                  ,79604                  ,74620                  ,70380                  ,83233                  ,91506                  ,82744                  ,92246                  ,87938                  
"    Communications equipment",24221                  ,27566                  ,25925                  ,24312                  ,26934                  ,23231                  ,17201                  ,26010                  ,24231                  ,23900                  ,21696                  
"    Audio and video equipment",1414                   ,1912                   ,2537                   ,2685                   ,2534                   ,2986                   ,3152                   ,3333                   ,2010                   ,3361                   ,"(D)"
"    Semiconductors and other electronic components",33068                  ,50872                  ,57427                  ,47974                  ,48927                  ,53765                  ,56687                  ,52504                  ,67666                  ,79900                  ,76176                  
"    Navigational, measuring, and other instruments",35848                  ,37079                  ,53365                  ,57654                  ,58139                  ,67034                  ,60107                  ,57809                  ,54878                  ,63743                  ,71261                  
"    Magnetic and optical media",3                       ,1                       ,"(*)","(*)","(*)",382                     ,158                     ,161                     ,163                     ,182                     ,"(D)"
"  Electrical equipment, appliances, and components",25742                  ,27143                  ,35065                  ,33542                  ,33574                  ,35976                  ,39217                  ,38398                  ,36500                  ,41045                  ,42872                  
"  Transportation equipment",220044                 ,229299                 ,230178                 ,229795                 ,228221                 ,244108                 ,251876                 ,233398                 ,220363                 ,237542                 ,238025                 
"    Motor vehicles, bodies and trailers, and parts",69206                  ,83165                  ,86183                  ,86348                  ,86140                  ,94838                  ,100837                 ,103679                 ,108892                 ,100480                 ,125265                 
"    Other",150839                 ,146134                 ,143994                 ,143447                 ,142081                 ,149271                 ,151038                 ,129719                 ,111471                 ,137063                 ,112760                 
"  Furniture and related products",5076                   ,5429                   ,6453                   ,6922                   ,7377                   ,7731                   ,7320                   ,8654                   ,8736                   ,9776                   ,7513                   
"  Miscellaneous manufacturing",37663                  ,45325                  ,50401                  ,50771                  ,52310                  ,60155                  ,64431                  ,72945                  ,76069                  ,80249                  ,78751                  
"Wholesale trade",124433                 ,142599                 ,160457                 ,166031                 ,194070                 ,246054                 ,247825                 ,239201                 ,264592                 ,241093                 ,273354                 
