"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,Majority-owned Nonbank Foreign Affiliates (data up to 2008),Total Assets" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"All Countries Total",4056424               ,4745279               ,5254456               ,6126173               ,7272791               ,8688553               ,9654426               ,11301182              ,13412125              ,11445091              ,184606                 ,195308                 ,242045                 ,272292                 ,309714                 ,352133                 ,390350                 ,480569                 ,567422                 ,614005                 ,101583                 ,128552                 ,136657                 ,97812                  ,86705                  ,70823                  ,84478                  ,80493                  ,66409                  ,56817                  ,946831                 ,990763                 ,1024476               ,1119415               ,1289863               ,1446847               ,1496238               ,1637160               ,1883802               ,1871696               ,62857                  ,60803                  ,61029                  ,66680                  ,83140                  ,97542                  ,105013                 ,112099                 ,127775                 ,151956                 ,225712                 ,231942                 ,277525                 ,316371                 ,364459                 ,391567                 ,411092                 ,420331                 ,477208                 ,502042                 ,51594                  ,52704                  ,52183                  ,56273                  ,68447                  ,73393                  ,64107                  ,81971                  ,95473                  ,95937                  ,63256                  ,64096                  ,55992                  ,58305                  ,66531                  ,77742                  ,81789                  ,98343                  ,138255                 ,141635                 ,139535                 ,164022                 ,155947                 ,147940                 ,158724                 ,177646                 ,182389                 ,223761                 ,243204                 ,241213                 ,21374                  ,25436                  ,23767                  ,29292                  ,33822                  ,38832                  ,43648                  ,50439                  ,61066                  ,58288                  ,144589                 ,153525                 ,155548                 ,178082                 ,210368                 ,241227                 ,238173                 ,254761                 ,287483                 ,243130                 ,311699                 ,366114                 ,378214                 ,440793                 ,490374                 ,540076                 ,561765                 ,623163                 ,730684                 ,751281                 ,102365                 ,119451                 ,123265                 ,129559                 ,146204                 ,131423                 ,169016                 ,213048                 ,269033                 ,298025                 ,1578418               ,1785184               ,1967956               ,2292243               ,2754972               ,3323248               ,3637253               ,4356868               ,5272192               ,2764653               ,92912                  ,118723                 ,118432                 ,118947                 ,158303                 ,172982                 ,198343                 ,233306                 ,275725                 ,284640                 ,738009                 ,1041183               ,1263411               ,1655114               ,2036655               ,2651020               ,3116984               ,3676574               ,4346858               ,4803974               
"Canada",337293                 ,399058                 ,463220                 ,480481                 ,556905                 ,642863                 ,752687                 ,842480                 ,1020571               ,903407                 ,24450                  ,28593                  ,57858                  ,64178                  ,71292                  ,84231                  ,104069                 ,140565                 ,160002                 ,156853                 ,2249                   ,"(D)",28695                  ,5097                   ,7825                   ,8480                   ,21617                  ,17281                  ,10568                  ,11290                  ,118136                 ,137676                 ,144421                 ,155624                 ,182813                 ,200740                 ,190765                 ,196909                 ,217208                 ,208176                 ,6917                   ,7175                   ,7558                   ,8297                   ,10137                  ,12194                  ,14022                  ,12225                  ,11675                  ,14274                  ,17047                  ,17586                  ,18177                  ,20346                  ,22744                  ,24969                  ,25471                  ,31224                  ,35877                  ,38149                  ,5907                   ,8572                   ,8478                   ,9794                   ,11755                  ,12045                  ,8833                   ,11523                  ,17022                  ,15247                  ,5592                   ,5746                   ,6627                   ,7680                   ,8878                   ,9845                   ,7817                   ,7724                   ,11277                  ,12218                  ,7372                   ,10743                  ,9913                   ,9513                   ,9627                   ,12259                  ,5929                   ,6378                   ,6908                   ,8276                   ,2237                   ,2515                   ,2071                   ,2042                   ,2321                   ,2568                   ,2298                   ,2833                   ,2943                   ,3035                   ,29416                  ,33411                  ,34808                  ,39607                  ,48467                  ,57336                  ,55410                  ,55700                  ,59607                  ,51359                  ,28865                  ,26296                  ,23079                  ,24828                  ,25470                  ,29591                  ,37137                  ,40487                  ,49072                  ,48539                  ,4246                   ,4310                   ,4279                   ,5050                   ,5329                   ,6062                   ,4960                   ,5591                   ,6475                   ,6395                   ,109068                 ,114737                 ,129855                 ,132294                 ,165935                 ,183877                 ,202948                 ,236372                 ,307065                 ,205895                 ,3587                   ,4010                   ,3832                   ,3711                   ,4188                   ,4834                   ,13387                  ,15354                  ,17185                  ,18115                  ,46692                  ,"(D)",71201                  ,89699                  ,94053                  ,125047                 ,177806                 ,189921                 ,252997                 ,248144                 
"Europe",2425760               ,2899097               ,3170664               ,3790099               ,4555349               ,5525376               ,6039749               ,7175067               ,8609768               ,6893235               ,60207                  ,62394                  ,64620                  ,77556                  ,89552                  ,98360                  ,102803                 ,115518                 ,133805                 ,136687                 ,50711                  ,57354                  ,53772                  ,39264                  ,21144                  ,20981                  ,16407                  ,21027                  ,23166                  ,18349                  ,542397                 ,541900                 ,569608                 ,650637                 ,764467                 ,865557                 ,894024                 ,978312                 ,1127757               ,1109812               ,34662                  ,31660                  ,31798                  ,36930                  ,50563                  ,61391                  ,63724                  ,69232                  ,77881                  ,90036                  ,144926                 ,146797                 ,187884                 ,220938                 ,261136                 ,277780                 ,289990                 ,287285                 ,321698                 ,328639                 ,31568                  ,29567                  ,31060                  ,34493                  ,43109                  ,45295                  ,39680                  ,52219                  ,56554                  ,58823                  ,40157                  ,40173                  ,33747                  ,36572                  ,41804                  ,51640                  ,53974                  ,63409                  ,94109                  ,92208                  ,60111                  ,71215                  ,62937                  ,59511                  ,63579                  ,73017                  ,85206                  ,110321                 ,118786                 ,115654                 ,13491                  ,16610                  ,15757                  ,20199                  ,21771                  ,25597                  ,30412                  ,34715                  ,42578                  ,40565                  ,88038                  ,91566                  ,89847                  ,106485                 ,125791                 ,143605                 ,133409                 ,142844                 ,158610                 ,130424                 ,182657                 ,221553                 ,233461                 ,273068                 ,310308                 ,329672                 ,334013                 ,370750                 ,439159                 ,464557                 ,67734                  ,76028                  ,80649                  ,90538                  ,106424                 ,92616                  ,105774                 ,162907                 ,200004                 ,220864                 ,990201                 ,1136505               ,1223240               ,1428166               ,1704957               ,2097590               ,2301621               ,2793821               ,3516726               ,1474600               ,58294                  ,83550                  ,83401                  ,87160                  ,121024                 ,130297                 ,144815                 ,165841                 ,198232                 ,200974                 ,473558                 ,719814                 ,861913                 ,1143710               ,1437473               ,1890303               ,2140292               ,2566891               ,2970919               ,3267393               
"  Austria",9166                   ,11428                  ,12913                  ,17709                  ,22180                  ,26474                  ,33049                  ,31907                  ,35484                  ,39602                  ,"(D)",9                       ,10                      ,11                      ,12                      ,5                       ,5                       ,5                       ,5                       ,5                       ,0                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)",0                       ,0                       ,4762                   ,4850                   ,5275                   ,4578                   ,5668                   ,7056                   ,8228                   ,9022                   ,10945                  ,11328                  ,353                     ,325                     ,327                     ,343                     ,387                     ,468                     ,466                     ,519                     ,682                     ,521                     ,323                     ,461                     ,734                     ,882                     ,"(D)",1033                   ,1011                   ,1104                   ,1537                   ,986                     ,175                     ,100                     ,102                     ,106                     ,123                     ,95                      ,195                     ,113                     ,"(D)","(D)",202                     ,283                     ,250                     ,260                     ,281                     ,292                     ,974                     ,1328                   ,1235                   ,1623                   ,639                     ,688                     ,616                     ,1003                   ,1357                   ,1700                   ,"(D)",1488                   ,1800                   ,2257                   ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",652                     ,1883                   ,1933                   ,2165                   ,508                     ,644                     ,1365                   ,2516                   ,2446                   ,2883                   ,2425                   ,2268                   ,2660                   ,2679                   ,3077                   ,4971                   ,5285                   ,5823                   ,6470                   ,5888                   ,9170                   ,529                     ,591                     ,653                     ,800                     ,1151                   ,1246                   ,1177                   ,"(D)","(D)",3636                   ,461                     ,"(D)",498                     ,"(D)","(D)",2806                   ,2825                   ,3015                   ,3528                   ,926                     ,295                     ,491                     ,499                     ,332                     ,337                     ,867                     ,822                     ,955                     ,1068                   ,1057                   ,"(D)","(D)",3299                   ,8317                   ,9210                   ,"(D)","(D)","(D)","(D)",13480                  
"  Belgium",85540                  ,108497                 ,133860                 ,153059                 ,203586                 ,225124                 ,223888                 ,249021                 ,286084                 ,318538                 ,"(D)",7                       ,8                       ,9                       ,43                      ,53                      ,57                      ,60                      ,65                      ,"(D)",0                       ,0                       ,0                       ,0                       ,0                       ,"(*)","(*)","(*)","(*)","(*)",27714                  ,26522                  ,26186                  ,30443                  ,35179                  ,39315                  ,39508                  ,45227                  ,50601                  ,56187                  ,2055                   ,1988                   ,2085                   ,2426                   ,3119                   ,3423                   ,3479                   ,4037                   ,3778                   ,4723                   ,13917                  ,12665                  ,13302                  ,16258                  ,17812                  ,18437                  ,16865                  ,20131                  ,20362                  ,23244                  ,886                     ,938                     ,798                     ,958                     ,1166                   ,705                     ,743                     ,1109                   ,1817                   ,2249                   ,1274                   ,1455                   ,925                     ,1060                   ,1191                   ,1707                   ,1895                   ,2036                   ,2367                   ,4350                   ,172                     ,56                      ,"(D)",82                      ,227                     ,581                     ,561                     ,523                     ,571                     ,797                     ,1034                   ,1096                   ,1115                   ,1122                   ,1174                   ,1393                   ,1062                   ,1139                   ,551                     ,898                     ,2439                   ,1866                   ,1959                   ,2739                   ,"(D)",4267                   ,3589                   ,4157                   ,4756                   ,4113                   ,9525                   ,9963                   ,10540                  ,10917                  ,13032                  ,11900                  ,13513                  ,15856                  ,20147                  ,19371                  ,2242                   ,3031                   ,903                     ,977                     ,1188                   ,1486                   ,1648                   ,1984                   ,6409                   ,7199                   ,19546                  ,20985                  ,49915                  ,61703                  ,80371                  ,111415                 ,111668                 ,122528                 ,138806                 ,166427                 ,14793                  ,31555                  ,28294                  ,29850                  ,50195                  ,35973                  ,34991                  ,38641                  ,40628                  ,43541                  ,"(D)",16432                  ,18014                  ,19161                  ,23577                  ,24982                  ,22503                  ,24725                  ,29428                  ,"(D)"
"  Czech Republic",3956                   ,4349                   ,5022                   ,6069                   ,7083                   ,10080                  ,10120                  ,12929                  ,16071                  ,17028                  ,"(*)","(*)","(*)","(*)","(*)","(D)","(D)","(D)",0                       ,0                       ,"(D)","(D)","(D)","(D)",470                     ,"(D)","(D)","(D)","(D)","(D)",1859                   ,2162                   ,2482                   ,3322                   ,3781                   ,5796                   ,5667                   ,6626                   ,9487                   ,10219                  ,82                      ,69                      ,68                      ,79                      ,57                      ,"(D)","(D)","(D)","(D)","(D)",366                     ,425                     ,489                     ,636                     ,641                     ,845                     ,736                     ,878                     ,2320                   ,2449                   ,59                      ,104                     ,103                     ,104                     ,81                      ,133                     ,192                     ,241                     ,309                     ,290                     ,59                      ,58                      ,62                      ,69                      ,199                     ,360                     ,327                     ,406                     ,470                     ,614                     ,132                     ,201                     ,240                     ,213                     ,207                     ,645                     ,661                     ,692                     ,939                     ,677                     ,25                      ,28                      ,28                      ,81                      ,112                     ,246                     ,234                     ,286                     ,"(D)",207                     ,583                     ,669                     ,754                     ,1093                   ,1243                   ,2194                   ,2204                   ,2714                   ,3255                   ,3736                   ,498                     ,477                     ,456                     ,404                     ,568                     ,938                     ,943                     ,1103                   ,1431                   ,1646                   ,252                     ,323                     ,338                     ,197                     ,273                     ,637                     ,664                     ,"(D)",1491                   ,1421                   ,448                     ,517                     ,707                     ,957                     ,1091                   ,1433                   ,1745                   ,1983                   ,2464                   ,2527                   ,194                     ,200                     ,196                     ,183                     ,183                     ,144                     ,230                     ,303                     ,222                     ,254                     ,"(D)","(D)","(D)","(D)",716                     ,"(D)",671                     ,839                     ,"(D)","(D)"
"  Denmark",12528                  ,31095                  ,38750                  ,37894                  ,44852                  ,36953                  ,37236                  ,33549                  ,37013                  ,42478                  ,1018                   ,1059                   ,"(D)","(D)",1797                   ,2056                   ,"(D)","(D)","(D)",6455                   ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,"(D)",0                       ,0                       ,3404                   ,4558                   ,3852                   ,4390                   ,4608                   ,4677                   ,5271                   ,5757                   ,6879                   ,7044                   ,584                     ,"(D)","(D)","(D)","(D)",610                     ,542                     ,447                     ,551                     ,704                     ,197                     ,149                     ,"(D)","(D)","(D)",337                     ,288                     ,237                     ,339                     ,382                     ,111                     ,110                     ,138                     ,"(D)",202                     ,231                     ,162                     ,238                     ,331                     ,464                     ,581                     ,737                     ,685                     ,"(D)","(D)",801                     ,749                     ,763                     ,779                     ,858                     ,708                     ,"(D)",1123                   ,"(D)",937                     ,894                     ,1285                   ,1618                   ,1884                   ,2316                   ,"(D)","(D)","(*)","(*)",1                       ,64                      ,61                      ,76                      ,58                      ,54                      ,"(D)","(D)","(D)","(D)",33                      ,"(D)","(D)","(D)","(D)","(D)",2221                   ,"(D)",2756                   ,2688                   ,"(D)",2675                   ,2651                   ,2947                   ,4103                   ,3900                   ,233                     ,"(D)","(D)","(D)",501                     ,495                     ,473                     ,420                     ,495                     ,574                     ,2308                   ,"(D)",2268                   ,"(D)","(D)",8073                   ,6781                   ,2551                   ,2510                   ,1476                   ,407                     ,541                     ,645                     ,807                     ,2055                   ,2372                   ,2378                   ,2575                   ,3217                   ,3222                   ,2938                   ,20644                  ,27732                  ,24376                  ,27360                  ,16605                  ,"(D)","(D)","(D)",19807                  
