"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All Majority-owned Foreign Affiliates (data for 2009 and forward),Total Assets" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Countries Total",18775261              ,19582476              ,20834352              ,21700169              ,22672812              ,25178065              ,24894401              ,25249068              ,27569828              ,27326428              ,28514442              ,651138                 ,706639                 ,799367                 ,925450                 ,1051899               ,1102333               ,1043179               ,997369                 ,1051055               ,1015200               ,1001025               ,2021643               ,2101462               ,2235651               ,2428584               ,2556578               ,2728260               ,2802741               ,2901562               ,3222404               ,3195936               ,3484553               ,151145                 ,168624                 ,189442                 ,179368                 ,187569                 ,196039                 ,202306                 ,200149                 ,247754                 ,261357                 ,276754                 ,547590                 ,512181                 ,571090                 ,643423                 ,662041                 ,731815                 ,737751                 ,781443                 ,836946                 ,854972                 ,1038591               ,98344                  ,101588                 ,107764                 ,101570                 ,104020                 ,118886                 ,120471                 ,124306                 ,150662                 ,159462                 ,158219                 ,158655                 ,168231                 ,200535                 ,222029                 ,235312                 ,251885                 ,290348                 ,314444                 ,349061                 ,309326                 ,300367                 ,262913                 ,286894                 ,306360                 ,425923                 ,444434                 ,456900                 ,477241                 ,460397                 ,530458                 ,554824                 ,587990                 ,67274                  ,74387                  ,64157                  ,73660                  ,80954                  ,85563                  ,101493                 ,130094                 ,139038                 ,84207                  ,79674                  ,247189                 ,261925                 ,243149                 ,238782                 ,247366                 ,252387                 ,253841                 ,261785                 ,269988                 ,257164                 ,269149                 ,783217                 ,815922                 ,870462                 ,940476                 ,1020494               ,1067058               ,1070967               ,1120314               ,1227995               ,1296705               ,1434034               ,163887                 ,191651                 ,210942                 ,254279                 ,260427                 ,281928                 ,278686                 ,286488                 ,301795                 ,336823                 ,357896                 ,317850                 ,320806                 ,370106                 ,362059                 ,395180                 ,510580                 ,529447                 ,536879                 ,625537                 ,679568                 ,729423                 ,8971259               ,9223484               ,9480840               ,9273254               ,8985941               ,9976828               ,9077321               ,8960936               ,9755187               ,9431958               ,9825460               ,290654                 ,310758                 ,329918                 ,358106                 ,363059                 ,450317                 ,529001                 ,546604                 ,638548                 ,651779                 ,731534                 ,5575612               ,5911754               ,6537066               ,7157961               ,8039233               ,9060760               ,9563059               ,9898917               ,10747307              ,10718459              ,10950518              
"Canada",1169619               ,1170385               ,1240463               ,1348630               ,1401740               ,1482102               ,1388462               ,1361338               ,1397333               ,1356817               ,1355278               ,149063                 ,153520                 ,175255                 ,200162                 ,226179                 ,200448                 ,165126                 ,155327                 ,191696                 ,165305                 ,160762                 ,220860                 ,234523                 ,231265                 ,254259                 ,264669                 ,281760                 ,269578                 ,258230                 ,259739                 ,262804                 ,274822                 ,16891                  ,17935                  ,20778                  ,22868                  ,26010                  ,27969                  ,28332                  ,24029                  ,24233                  ,21351                  ,24259                  ,39944                  ,40828                  ,46296                  ,47211                  ,45460                  ,45427                  ,43659                  ,44975                  ,51420                  ,52068                  ,52743                  ,14387                  ,14668                  ,14901                  ,15924                  ,14514                  ,17234                  ,17730                  ,14699                  ,15018                  ,17477                  ,14730                  ,14538                  ,14228                  ,15967                  ,13928                  ,15015                  ,17054                  ,16717                  ,15606                  ,16102                  ,14982                  ,14962                  ,9201                   ,10983                  ,13277                  ,15147                  ,14603                  ,19967                  ,17457                  ,18283                  ,19408                  ,16441                  ,16595                  ,2955                   ,3403                   ,3358                   ,4981                   ,5975                   ,6737                   ,9186                   ,8660                   ,9057                   ,9559                   ,6845                   ,51282                  ,52890                  ,40045                  ,41203                  ,36270                  ,40767                  ,36280                  ,36988                  ,38482                  ,36866                  ,39087                  ,51263                  ,55994                  ,63176                  ,81137                  ,80945                  ,90903                  ,88908                  ,93040                  ,95626                  ,88475                  ,123195                 ,33383                  ,38359                  ,46931                  ,54559                  ,51205                  ,48291                  ,50187                  ,54254                  ,59237                  ,65246                  ,63579                  ,11811                  ,13412                  ,14543                  ,15467                  ,14746                  ,17112                  ,18334                  ,20196                  ,22167                  ,21258                  ,21906                  ,410856                 ,332279                 ,316522                 ,317735                 ,302217                 ,298703                 ,257438                 ,261724                 ,266247                 ,258381                 ,259779                 ,23176                  ,25720                  ,26862                  ,27667                  ,27782                  ,29657                  ,29079                  ,29638                  ,31181                  ,30251                  ,33613                  ,269207                 ,316577                 ,365910                 ,397643                 ,433997                 ,515229                 ,509812                 ,488928                 ,471440                 ,465098                 ,417622                 
"Europe",11071533              ,11325199              ,12267816              ,13070966              ,13908178              ,15118090              ,15201196              ,15599951              ,17103012              ,17246962              ,18046921              ,139614                 ,153270                 ,161500                 ,187265                 ,206235                 ,211122                 ,197282                 ,178096                 ,168968                 ,166311                 ,169711                 ,1161569               ,1147241               ,1206913               ,1282815               ,1358104               ,1477905               ,1533782               ,1618288               ,1879483               ,1814117               ,2024834               ,86257                  ,88613                  ,96782                  ,83636                  ,86637                  ,89298                  ,101278                 ,103462                 ,146397                 ,148097                 ,153076                 ,347362                 ,294361                 ,322176                 ,384225                 ,392021                 ,444154                 ,443736                 ,464984                 ,522219                 ,540774                 ,717806                 ,58741                  ,62197                  ,65545                  ,57323                  ,60912                  ,66701                  ,66410                  ,69397                  ,92498                  ,100285                 ,99776                  ,101010                 ,104367                 ,127437                 ,143797                 ,154254                 ,159370                 ,193433                 ,214030                 ,237730                 ,199832                 ,186773                 ,121531                 ,134462                 ,136924                 ,179119                 ,183906                 ,224088                 ,227488                 ,227045                 ,265248                 ,265490                 ,276186                 ,48782                  ,51955                  ,41191                  ,48114                  ,52782                  ,54028                  ,66033                  ,93962                  ,100223                 ,43347                  ,40278                  ,127779                 ,128322                 ,119790                 ,106862                 ,114829                 ,114752                 ,114979                 ,120513                 ,123942                 ,118769                 ,123366                 ,472928                 ,469985                 ,478237                 ,501811                 ,567335                 ,574953                 ,579672                 ,609664                 ,683207                 ,726635                 ,799016                 ,79363                  ,86491                  ,92670                  ,114941                 ,121467                 ,128581                 ,127658                 ,124053                 ,130849                 ,134623                 ,144890                 ,234202                 ,233448                 ,263557                 ,253213                 ,285246                 ,383116                 ,395786                 ,396065                 ,464949                 ,517331                 ,559540                 ,4962497               ,4994039               ,5374728               ,5507685               ,5458134               ,5849318               ,5395435               ,5344832               ,5835837               ,5829023               ,5854530               ,192287                 ,194224                 ,197291                 ,215271                 ,215591                 ,256403                 ,323618                 ,342237                 ,425513                 ,424182                 ,482210                 ,3829073               ,4046501               ,4492919               ,5007965               ,5696067               ,6236692               ,6647963               ,6986715               ,7514207               ,7634741               ,8012191               
"  Austria",40217                  ,35340                  ,40027                  ,43544                  ,46997                  ,37158                  ,47692                  ,40490                  ,42049                  ,39637                  ,40912                  ,27                      ,27                      ,27                      ,27                      ,55                      ,"(D)","(D)","(D)","(D)","(D)","(D)",10843                  ,11311                  ,12331                  ,12699                  ,12729                  ,11582                  ,11387                  ,12181                  ,14074                  ,12519                  ,11803                  ,351                     ,410                     ,409                     ,496                     ,517                     ,494                     ,552                     ,675                     ,709                     ,543                     ,612                     ,1053                   ,959                     ,1090                   ,1186                   ,1139                   ,1092                   ,1035                   ,2169                   ,2372                   ,2420                   ,2859                   ,239                     ,225                     ,346                     ,337                     ,672                     ,415                     ,357                     ,491                     ,520                     ,559                     ,419                     ,1781                   ,2255                   ,2215                   ,2351                   ,2033                   ,1692                   ,1724                   ,1863                   ,1954                   ,2024                   ,1983                   ,2083                   ,2099                   ,2318                   ,2215                   ,2298                   ,2066                   ,2263                   ,2241                   ,2636                   ,2530                   ,2619                   ,874                     ,981                     ,"(D)",1748                   ,1749                   ,1067                   ,1000                   ,981                     ,1072                   ,1074                   ,546                     ,1601                   ,1606                   ,1545                   ,1567                   ,1411                   ,1704                   ,1723                   ,2041                   ,2326                   ,1386                   ,652                     ,8893                   ,4292                   ,4354                   ,4246                   ,4268                   ,4405                   ,4034                   ,3401                   ,3511                   ,4175                   ,4118                   ,594                     ,590                     ,662                     ,719                     ,837                     ,980                     ,926                     ,837                     ,1513                   ,1390                   ,1685                   ,"(D)","(D)","(D)","(D)","(D)",1417                   ,1329                   ,1405                   ,2114                   ,1997                   ,1154                   ,2329                   ,857                     ,824                     ,1005                   ,1594                   ,1831                   ,9758                   ,9581                   ,9127                   ,9489                   ,10137                  ,1024                   ,1014                   ,1241                   ,1515                   ,1396                   ,1974                   ,1576                   ,3708                   ,4213                   ,4161                   ,4363                   ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Belgium",350360                 ,346331                 ,399583                 ,421898                 ,419525                 ,387351                 ,373828                 ,391852                 ,423602                 ,379347                 ,405868                 ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",102                     ,107                     ,173                     ,61466                  ,61827                  ,66402                  ,62319                  ,67240                  ,71302                  ,73028                  ,95049                  ,110211                 ,112377                 ,103660                 ,5792                   ,4926                   ,5631                   ,4621                   ,3861                   ,3744                   ,2908                   ,3141                   ,3185                   ,3732                   ,3836                   ,23885                  ,22604                  ,24670                  ,26595                  ,30886                  ,35260                  ,36463                  ,54356                  ,60734                  ,63510                  ,56253                  ,2060                   ,2874                   ,1944                   ,1900                   ,1789                   ,2052                   ,1718                   ,1783                   ,1175                   ,1177                   ,1237                   ,3765                   ,2442                   ,2826                   ,2657                   ,2491                   ,2503                   ,3845                   ,4074                   ,3167                   ,2872                   ,1923                   ,1781                   ,1306                   ,2113                   ,3592                   ,3676                   ,4007                   ,4168                   ,3135                   ,3321                   ,3069                   ,3199                   ,883                     ,751                     ,727                     ,596                     ,613                     ,640                     ,127                     ,460                     ,736                     ,300                     ,417                     ,7074                   ,7877                   ,8161                   ,7087                   ,7674                   ,6703                   ,5559                   ,6591                   ,7007                   ,6744                   ,6054                   ,21102                  ,24716                  ,23305                  ,30208                  ,33337                  ,33557                  ,40830                  ,46521                  ,51449                  ,49228                  ,74630                  ,611                     ,728                     ,1103                   ,1163                   ,1183                   ,4018                   ,4198                   ,"(D)",4671                   ,589                     ,556                     ,7340                   ,7939                   ,7719                   ,8659                   ,7826                   ,7413                   ,6247                   ,7728                   ,8114                   ,8850                   ,8711                   ,198594                 ,198158                 ,247491                 ,262097                 ,251272                 ,205554                 ,162527                 ,158685                 ,163405                 ,123473                 ,116430                 ,35797                  ,35474                  ,36028                  ,37360                  ,37678                  ,38803                  ,"(D)",55373                  ,56722                  ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",24251                  ,28927                  ,"(D)","(D)"
"  Czech Republic",29042                  ,28740                  ,29394                  ,30095                  ,30306                  ,30662                  ,27331                  ,20426                  ,22968                  ,20459                  ,19611                  ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,"(D)",9537                   ,9527                   ,9520                   ,11128                  ,12206                  ,13645                  ,10634                  ,10225                  ,12161                  ,11068                  ,10609                  ,"(D)","(D)",1116                   ,1226                   ,1043                   ,1149                   ,893                     ,631                     ,757                     ,706                     ,721                     ,1124                   ,993                     ,965                     ,886                     ,1009                   ,952                     ,867                     ,864                     ,946                     ,1020                   ,1086                   ,346                     ,328                     ,262                     ,266                     ,284                     ,1629                   ,396                     ,595                     ,609                     ,617                     ,612                     ,760                     ,821                     ,756                     ,889                     ,730                     ,780                     ,964                     ,1356                   ,1828                   ,1543                   ,1407                   ,617                     ,709                     ,669                     ,2314                   ,2017                   ,2289                   ,700                     ,517                     ,780                     ,889                     ,1046                   ,170                     ,191                     ,194                     ,207                     ,214                     ,479                     ,421                     ,"(D)","(D)",230                     ,242                     ,3170                   ,3482                   ,3278                   ,2936                   ,2748                   ,3157                   ,3314                   ,2730                   ,3214                   ,2437                   ,1967                   ,1802                   ,1859                   ,1746                   ,1706                   ,1750                   ,1638                   ,1281                   ,1228                   ,1328                   ,1275                   ,1019                   ,"(D)","(D)","(D)","(D)","(D)",174                     ,175                     ,177                     ,155                     ,155                     ,183                     ,1450                   ,1390                   ,1355                   ,1371                   ,1330                   ,799                     ,742                     ,738                     ,899                     ,903                     ,251                     ,14951                  ,14155                  ,14977                  ,13869                  ,13120                  ,12340                  ,11695                  ,"(D)",5946                   ,4860                   ,5573                   ,391                     ,420                     ,445                     ,463                     ,468                     ,466                     ,781                     ,885                     ,867                     ,827                     ,"(D)","(D)","(D)","(D)","(D)","(D)",1601                   ,2023                   ,"(D)",1611                   ,1372                   ,1209                   
"  Denmark",58261                  ,56802                  ,60778                  ,58745                  ,71197                  ,84843                  ,81791                  ,80727                  ,74687                  ,76166                  ,77502                  ,6832                   ,6657                   ,6934                   ,7496                   ,8724                   ,"(D)","(D)","(D)","(D)","(D)","(D)",7215                   ,7000                   ,8693                   ,11891                  ,21605                  ,23262                  ,22662                  ,22440                  ,18727                  ,19341                  ,19897                  ,562                     ,526                     ,705                     ,205                     ,208                     ,904                     ,790                     ,819                     ,6753                   ,7329                   ,7575                   ,507                     ,382                     ,381                     ,619                     ,"(D)",11412                  ,11599                  ,12114                  ,3622                   ,4281                   ,3968                   ,331                     ,305                     ,328                     ,349                     ,223                     ,236                     ,399                     ,549                     ,387                     ,405                     ,377                     ,966                     ,762                     ,632                     ,1703                   ,1668                   ,2177                   ,2047                   ,1879                   ,2961                   ,2971                   ,3586                   ,2303                   ,2449                   ,4035                   ,6503                   ,6823                   ,6129                   ,5848                   ,4929                   ,2708                   ,2315                   ,2299                   ,69                      ,74                      ,76                      ,80                      ,32                      ,61                      ,64                      ,64                      ,66                      ,64                      ,"(D)",42                      ,44                      ,44                      ,45                      ,47                      ,"(D)","(D)","(D)","(D)","(D)","(D)",4077                   ,4308                   ,5169                   ,4444                   ,4011                   ,4734                   ,4617                   ,4191                   ,3569                   ,4486                   ,4543                   ,546                     ,544                     ,513                     ,787                     ,793                     ,772                     ,798                     ,815                     ,890                     ,"(D)",1556                   ,785                     ,780                     ,827                     ,1304                   ,1340                   ,2139                   ,1341                   ,2200                   ,2446                   ,2124                   ,1669                   ,4525                   ,4231                   ,5098                   ,4294                   ,4408                   ,9071                   ,6074                   ,5557                   ,7325                   ,4960                   ,5102                   ,3195                   ,2992                   ,2957                   ,3134                   ,3084                   ,2945                   ,2679                   ,2471                   ,2209                   ,4067                   ,6552                   ,31086                  ,30288                  ,30588                  ,25395                  ,27232                  ,"(D)","(D)","(D)","(D)","(D)","(D)"
