"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,Majority-owned Nonbank Foreign Affiliates (data up to 2008),Net Property, Plant, and Equipment" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"All Countries Total",592891                 ,613921                 ,637352                 ,660675                 ,715690                 ,766865                 ,778400                 ,865718                 ,986600                 ,979396                 ,116148                 ,116009                 ,136197                 ,146245                 ,164047                 ,177903                 ,199208                 ,226679                 ,268109                 ,282520                 ,57549                  ,54465                  ,58030                  ,51799                  ,52387                  ,40298                  ,41561                  ,42052                  ,34702                  ,31002                  ,262396                 ,262887                 ,254361                 ,267440                 ,294341                 ,331894                 ,315326                 ,344518                 ,378256                 ,362714                 ,17963                  ,17665                  ,17559                  ,17741                  ,20250                  ,25263                  ,25754                  ,27646                  ,30807                  ,27843                  ,59620                  ,58279                  ,61980                  ,68911                  ,74893                  ,76456                  ,75887                  ,80941                  ,88353                  ,87950                  ,15390                  ,17494                  ,14874                  ,14696                  ,16374                  ,16856                  ,17191                  ,21889                  ,27454                  ,27358                  ,10175                  ,9607                   ,9129                   ,9527                   ,10338                  ,10832                  ,11488                  ,12916                  ,14838                  ,15189                  ,28282                  ,29673                  ,28680                  ,27495                  ,26021                  ,26795                  ,26105                  ,31891                  ,34461                  ,33300                  ,5150                   ,5749                   ,5563                   ,5852                   ,7057                   ,7518                   ,7433                   ,8246                   ,7946                   ,7083                   ,47663                  ,48312                  ,41080                  ,41882                  ,48913                  ,66068                  ,58121                  ,61773                  ,63765                  ,57808                  ,27399                  ,33940                  ,33509                  ,31048                  ,31813                  ,31426                  ,31906                  ,33959                  ,37795                  ,36127                  ,30935                  ,34434                  ,38380                  ,41407                  ,36598                  ,27401                  ,24207                  ,29793                  ,38125                  ,35662                  ,18846                  ,15453                  ,16785                  ,18257                  ,21642                  ,21411                  ,23412                  ,26217                  ,31557                  ,17524                  ,10930                  ,11380                  ,11080                  ,11304                  ,12102                  ,12850                  ,13966                  ,15726                  ,17782                  ,17775                  ,68689                  ,85354                  ,89010                  ,93175                  ,102760                 ,123681                 ,128814                 ,146774                 ,180275                 ,196073                 
"Canada",75693                  ,84552                  ,92252                  ,93699                  ,110856                 ,122110                 ,133615                 ,141165                 ,159168                 ,138375                 ,13827                  ,16767                  ,25881                  ,27625                  ,31992                  ,33992                  ,44777                  ,49436                  ,55994                  ,52102                  ,1289                   ,"(D)",758                     ,777                     ,3434                   ,3271                   ,7562                   ,7743                   ,4699                   ,4784                   ,39962                  ,45592                  ,44158                  ,43703                  ,49238                  ,52192                  ,44227                  ,45314                  ,50487                  ,45267                  ,2102                   ,2161                   ,2350                   ,2496                   ,2736                   ,2893                   ,2795                   ,3070                   ,3031                   ,3224                   ,4563                   ,4694                   ,5024                   ,5058                   ,5485                   ,4709                   ,4859                   ,5471                   ,6317                   ,5578                   ,2524                   ,4122                   ,3905                   ,2928                   ,2949                   ,2730                   ,2732                   ,3039                   ,5211                   ,3453                   ,594                     ,588                     ,669                     ,656                     ,739                     ,656                     ,676                     ,631                     ,620                     ,624                     ,1071                   ,1528                   ,1404                   ,1280                   ,1199                   ,1133                   ,337                     ,343                     ,386                     ,351                     ,401                     ,435                     ,399                     ,345                     ,298                     ,265                     ,211                     ,255                     ,211                     ,184                     ,10431                  ,11429                  ,9455                   ,8527                   ,10127                  ,12359                  ,12837                  ,13721                  ,13857                  ,12531                  ,2458                   ,2891                   ,2865                   ,2958                   ,3564                   ,4022                   ,4546                   ,4977                   ,5954                   ,5857                   ,674                     ,735                     ,1047                   ,982                     ,994                     ,696                     ,429                     ,611                     ,744                     ,776                     ,5943                   ,4391                   ,4465                   ,5073                   ,6349                   ,7238                   ,9419                   ,10318                  ,13063                  ,2632                   ,561                     ,706                     ,628                     ,466                     ,596                     ,571                     ,1565                   ,1410                   ,1694                   ,1468                   ,10980                  ,"(D)",12450                  ,12115                  ,14690                  ,20127                  ,21090                  ,21355                  ,26533                  ,25489                  
"Europe",274515                 ,283767                 ,284792                 ,311484                 ,331911                 ,364575                 ,343028                 ,388963                 ,439868                 ,425386                 ,39599                  ,38298                  ,40082                  ,45566                  ,48790                  ,52123                  ,50136                  ,56908                  ,65774                  ,67735                  ,25909                  ,25783                  ,23138                  ,18352                  ,12922                  ,12072                  ,9401                   ,11287                  ,11971                  ,10577                  ,131617                 ,124390                 ,120503                 ,135684                 ,152718                 ,180739                 ,166816                 ,186504                 ,199555                 ,186905                 ,9046                   ,8407                   ,8216                   ,8835                   ,10918                  ,15505                  ,15196                  ,15855                  ,17624                  ,13963                  ,33958                  ,32444                  ,34709                  ,41053                  ,45132                  ,48654                  ,47114                  ,50629                  ,54966                  ,52343                  ,6397                   ,6816                   ,6587                   ,7568                   ,8563                   ,8979                   ,8495                   ,11813                  ,13412                  ,14658                  ,5746                   ,5361                   ,5035                   ,5645                   ,6209                   ,7050                   ,6808                   ,7789                   ,8921                   ,8556                   ,11620                  ,11637                  ,11407                  ,11316                  ,11502                  ,10854                  ,11195                  ,14887                  ,14858                  ,13955                  ,3139                   ,3518                   ,3393                   ,3729                   ,4443                   ,4915                   ,4820                   ,5113                   ,4200                   ,3743                   ,25771                  ,25611                  ,20400                  ,22836                  ,27074                  ,40297                  ,30078                  ,31286                  ,31995                  ,27625                  ,12599                  ,17511                  ,17193                  ,15529                  ,16133                  ,15087                  ,14632                  ,16256                  ,18456                  ,16922                  ,18637                  ,21355                  ,25516                  ,30489                  ,27525                  ,19030                  ,17078                  ,23321                  ,26851                  ,22958                  ,6721                   ,6277                   ,7035                   ,7747                   ,9648                   ,8310                   ,8114                   ,9312                   ,11377                  ,7449                   ,6018                   ,6335                   ,6295                   ,6945                   ,7604                   ,8289                   ,8054                   ,9134                   ,9727                   ,9366                   ,33415                  ,43818                  ,45030                  ,51173                  ,56572                  ,68924                  ,68797                  ,76240                  ,96156                  ,103473                 
"  Austria",2524                   ,2629                   ,2723                   ,2301                   ,2682                   ,3455                   ,3661                   ,3792                   ,4206                   ,3909                   ,"(D)","(*)","(*)","(*)","(*)",1                       ,1                       ,1                       ,1                       ,1                       ,0                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)",0                       ,0                       ,1551                   ,1595                   ,1757                   ,1151                   ,1312                   ,1967                   ,2319                   ,2450                   ,2793                   ,2455                   ,117                     ,111                     ,123                     ,131                     ,147                     ,148                     ,136                     ,142                     ,155                     ,133                     ,53                      ,116                     ,207                     ,238                     ,"(D)",297                     ,301                     ,313                     ,500                     ,141                     ,41                      ,33                      ,31                      ,33                      ,39                      ,21                      ,23                      ,21                      ,"(D)","(D)",26                      ,39                      ,34                      ,25                      ,22                      ,23                      ,126                     ,158                     ,185                     ,269                     ,172                     ,169                     ,183                     ,179                     ,206                     ,189                     ,"(D)",174                     ,217                     ,248                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",85                      ,761                     ,789                     ,759                     ,102                     ,108                     ,647                     ,985                     ,964                     ,914                     ,827                     ,305                     ,258                     ,259                     ,248                     ,263                     ,201                     ,195                     ,208                     ,239                     ,215                     ,210                     ,290                     ,298                     ,383                     ,462                     ,464                     ,405                     ,"(D)","(D)",512                     ,77                      ,"(D)",85                      ,"(D)","(D)",114                     ,112                     ,113                     ,119                     ,12                      ,87                      ,114                     ,65                      ,50                      ,48                      ,92                      ,86                      ,119                     ,129                     ,120                     ,"(D)","(D)",259                     ,369                     ,479                     ,"(D)","(D)","(D)","(D)",594                     
"  Belgium",9800                   ,9827                   ,8777                   ,10216                  ,11879                  ,12290                  ,11032                  ,12532                  ,16093                  ,16035                  ,"(D)",4                       ,4                       ,5                       ,7                       ,13                      ,14                      ,9                       ,9                       ,"(D)",0                       ,0                       ,0                       ,0                       ,0                       ,"(*)","(*)","(*)","(*)","(*)",7159                   ,6580                   ,6185                   ,7634                   ,8897                   ,9577                   ,8731                   ,9996                   ,11741                  ,11938                  ,768                     ,740                     ,752                     ,873                     ,813                     ,858                     ,829                     ,858                     ,907                     ,950                     ,3190                   ,2930                   ,3042                   ,3657                   ,4109                   ,4193                   ,3285                   ,4010                   ,4764                   ,4790                   ,124                     ,115                     ,115                     ,94                      ,111                     ,107                     ,113                     ,195                     ,486                     ,513                     ,232                     ,257                     ,214                     ,231                     ,252                     ,314                     ,332                     ,396                     ,448                     ,470                     ,22                      ,12                      ,"(D)",13                      ,33                      ,77                      ,68                      ,43                      ,40                      ,54                      ,228                     ,240                     ,205                     ,297                     ,300                     ,325                     ,253                     ,295                     ,256                     ,277                     ,1261                   ,830                     ,914                     ,1289                   ,"(D)",1995                   ,1603                   ,1662                   ,1751                   ,1531                   ,584                     ,944                     ,950                     ,790                     ,768                     ,569                     ,652                     ,733                     ,885                     ,698                     ,636                     ,883                     ,194                     ,147                     ,150                     ,180                     ,179                     ,158                     ,1729                   ,1634                   ,133                     ,120                     ,40                      ,71                      ,28                      ,106                     ,108                     ,112                     ,170                     ,105                     ,259                     ,371                     ,389                     ,460                     ,451                     ,510                     ,449                     ,409                     ,437                     ,391                     ,"(D)",923                     ,1015                   ,1109                   ,1579                   ,1335                   ,899                     ,1115                   ,1122                   ,"(D)"
"  Czech Republic",1589                   ,1640                   ,1885                   ,2086                   ,2286                   ,2977                   ,2585                   ,3014                   ,3616                   ,3787                   ,"(*)","(*)","(*)","(*)","(*)","(D)","(D)","(D)",0                       ,0                       ,"(D)","(D)","(D)","(D)",349                     ,"(D)","(D)","(D)","(D)","(D)",853                     ,1004                   ,1223                   ,1418                   ,1579                   ,2167                   ,1960                   ,2233                   ,2565                   ,2718                   ,26                      ,25                      ,28                      ,32                      ,22                      ,"(D)","(D)","(D)","(D)","(D)",177                     ,222                     ,269                     ,340                     ,290                     ,414                     ,308                     ,347                     ,461                     ,515                     ,20                      ,44                      ,45                      ,47                      ,42                      ,43                      ,81                      ,93                      ,126                     ,98                      ,31                      ,31                      ,31                      ,42                      ,99                      ,204                     ,160                     ,164                     ,173                     ,201                     ,95                      ,145                     ,195                     ,168                     ,162                     ,163                     ,183                     ,152                     ,208                     ,209                     ,13                      ,14                      ,15                      ,37                      ,53                      ,120                     ,115                     ,136                     ,"(D)",52                      ,286                     ,307                     ,387                     ,466                     ,572                     ,819                     ,688                     ,902                     ,1020                   ,990                     ,71                      ,67                      ,67                      ,31                      ,47                      ,90                      ,104                     ,130                     ,160                     ,119                     ,106                     ,140                     ,153                     ,123                     ,120                     ,138                     ,141                     ,"(D)",469                     ,449                     ,11                      ,11                      ,12                      ,12                      ,11                      ,9                       ,8                       ,7                       ,8                       ,5                       ,13                      ,14                      ,14                      ,14                      ,12                      ,5                       ,23                      ,28                      ,10                      ,11                      ,"(D)","(D)","(D)","(D)",168                     ,"(D)",184                     ,274                     ,"(D)","(D)"
