"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All Majority-owned Foreign Affiliates (data for 2009 and forward),Net Property, Plant, and Equipment" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Countries Total",1114490               ,1120553               ,1203721               ,1288446               ,1366495               ,1456249               ,1384982               ,1369281               ,1402391               ,1369747               ,1424469               ,322299                 ,338683                 ,380084                 ,435010                 ,488814                 ,489697                 ,448467                 ,422253                 ,400291                 ,372147                 ,351500                 ,397283                 ,387883                 ,398477                 ,405425                 ,422956                 ,441102                 ,421111                 ,435463                 ,471349                 ,479029                 ,496773                 ,29598                  ,30480                  ,32782                  ,34429                  ,34434                  ,35448                  ,34211                  ,34691                  ,39784                  ,39798                  ,41877                  ,96699                  ,95815                  ,98811                  ,99455                  ,102597                 ,103823                 ,99166                  ,105288                 ,107431                 ,107560                 ,112304                 ,28812                  ,25786                  ,27584                  ,24475                  ,25541                  ,29080                  ,26979                  ,28062                  ,28904                  ,27301                  ,27708                  ,19036                  ,19233                  ,21075                  ,22489                  ,23910                  ,25760                  ,25873                  ,25544                  ,26346                  ,27056                  ,26569                  ,35827                  ,37274                  ,39894                  ,47347                  ,51315                  ,59641                  ,58081                  ,60471                  ,72454                  ,85690                  ,87973                  ,7200                   ,7452                   ,7869                   ,7784                   ,7451                   ,8448                   ,8682                   ,8392                   ,8582                   ,8498                   ,8405                   ,59713                  ,52339                  ,48885                  ,48047                  ,57222                  ,55591                  ,53805                  ,56497                  ,62745                  ,60865                  ,63482                  ,38540                  ,38051                  ,41004                  ,46955                  ,46862                  ,45495                  ,41975                  ,45647                  ,50266                  ,52436                  ,53091                  ,47605                  ,50904                  ,53864                  ,65406                  ,65490                  ,64191                  ,60460                  ,61021                  ,63437                  ,61710                  ,68151                  ,37901                  ,39273                  ,43956                  ,46353                  ,54526                  ,54842                  ,55306                  ,53133                  ,55886                  ,58294                  ,60338                  ,38369                  ,37035                  ,38903                  ,36376                  ,33404                  ,35362                  ,33685                  ,34862                  ,34925                  ,33465                  ,51172                  ,19341                  ,19803                  ,21520                  ,22582                  ,22559                  ,23858                  ,25480                  ,27377                  ,29759                  ,30740                  ,36905                  ,213151                 ,208920                 ,225913                 ,230339                 ,231884                 ,301701                 ,298497                 ,289525                 ,296477                 ,281927                 ,306540                 
"Canada",163052                 ,167619                 ,182662                 ,212010                 ,224039                 ,230289                 ,206859                 ,200091                 ,211847                 ,193594                 ,165206                 ,58533                  ,63146                  ,79279                  ,97437                  ,118330                 ,103076                 ,88738                  ,81138                  ,86473                  ,78432                  ,65956                  ,45835                  ,44429                  ,41440                  ,41734                  ,36484                  ,40159                  ,36315                  ,34593                  ,36894                  ,33179                  ,32052                  ,3243                   ,3413                   ,3702                   ,3854                   ,2974                   ,3255                   ,3279                   ,3226                   ,3457                   ,3261                   ,3580                   ,6319                   ,7588                   ,7349                   ,7183                   ,7239                   ,5559                   ,5242                   ,5102                   ,5473                   ,5251                   ,5457                   ,3960                   ,3919                   ,3570                   ,3544                   ,3013                   ,4040                   ,3582                   ,3393                   ,3482                   ,3193                   ,2698                   ,839                     ,845                     ,1312                   ,1449                   ,1331                   ,1467                   ,1216                   ,1152                   ,1180                   ,1199                   ,986                     ,445                     ,541                     ,570                     ,649                     ,728                     ,2238                   ,2351                   ,2405                   ,2448                   ,702                     ,783                     ,166                     ,194                     ,235                     ,311                     ,328                     ,305                     ,325                     ,335                     ,349                     ,309                     ,266                     ,10460                  ,9723                   ,6466                   ,6257                   ,5460                   ,5894                   ,5689                   ,6249                   ,6741                   ,6429                   ,4812                   ,5595                   ,6128                   ,6679                   ,9373                   ,6588                   ,7557                   ,7527                   ,8761                   ,9443                   ,7625                   ,7927                   ,11521                  ,12317                  ,14265                  ,18757                  ,15986                  ,12591                  ,12670                  ,13769                  ,14473                  ,13669                  ,14297                  ,1005                   ,1109                   ,1190                   ,926                     ,845                     ,944                     ,897                     ,1303                   ,1296                   ,1229                   ,1574                   ,7967                   ,5362                   ,4026                   ,4402                   ,2485                   ,2347                   ,2165                   ,1892                   ,1860                   ,1224                   ,1659                   ,1699                   ,1772                   ,1852                   ,1936                   ,1903                   ,2004                   ,2014                   ,1924                   ,1948                   ,1815                   ,2209                   ,30895                  ,33355                  ,33932                  ,37444                  ,41418                  ,61611                  ,56533                  ,56711                  ,59461                  ,56421                  ,39532                  
"Europe",450592                 ,429502                 ,452844                 ,465955                 ,496893                 ,516041                 ,508823                 ,497571                 ,520936                 ,511276                 ,569270                 ,70196                  ,73305                  ,76501                  ,81348                  ,84426                  ,82502                  ,84674                  ,80457                  ,74592                  ,73225                  ,72204                  ,194324                 ,172692                 ,173204                 ,176297                 ,193549                 ,192851                 ,180640                 ,182313                 ,200844                 ,198720                 ,203945                 ,14156                  ,12322                  ,13225                  ,13640                  ,14163                  ,13997                  ,13228                  ,13382                  ,16786                  ,16375                  ,17230                  ,53628                  ,47080                  ,47207                  ,47745                  ,50336                  ,48936                  ,46668                  ,49989                  ,52133                  ,51259                  ,53513                  ,13580                  ,13439                  ,13875                  ,13110                  ,13804                  ,13996                  ,11732                  ,12145                  ,12651                  ,12854                  ,13063                  ,9495                   ,9403                   ,10223                  ,10276                  ,11351                  ,12206                  ,12842                  ,12167                  ,12640                  ,12794                  ,12535                  ,12264                  ,11664                  ,10832                  ,17734                  ,20368                  ,26587                  ,23987                  ,21620                  ,24255                  ,24340                  ,23479                  ,3709                   ,3827                   ,4023                   ,3784                   ,3799                   ,4865                   ,5003                   ,4744                   ,4596                   ,4361                   ,4237                   ,31283                  ,22947                  ,22247                  ,19396                  ,26663                  ,23243                  ,21894                  ,21636                  ,24281                  ,23564                  ,24644                  ,18277                  ,16904                  ,17937                  ,20954                  ,22108                  ,21800                  ,18947                  ,19885                  ,22383                  ,23322                  ,23587                  ,17533                  ,18730                  ,19927                  ,22659                  ,23766                  ,23946                  ,23061                  ,22154                  ,23834                  ,24261                  ,28355                  ,23909                  ,27337                  ,30325                  ,31763                  ,40088                  ,38717                  ,39569                  ,36925                  ,38210                  ,38266                  ,38091                  ,15710                  ,14435                  ,16100                  ,14090                  ,14398                  ,16810                  ,17435                  ,18292                  ,17366                  ,17168                  ,30152                  ,9208                   ,8681                   ,9093                   ,9259                   ,9573                   ,9565                   ,10761                  ,11983                  ,13794                  ,14077                  ,16727                  ,101434                 ,97418                  ,109755                 ,109583                 ,108984                 ,129849                 ,133736                 ,125563                 ,129913                 ,122238                 ,156209                 
"  Austria",4250                   ,3641                   ,4086                   ,4327                   ,4602                   ,3975                   ,4007                   ,4259                   ,4827                   ,4530                   ,4446                   ,17                      ,17                      ,17                      ,17                      ,18                      ,"(D)","(D)","(D)","(D)","(D)",2                       ,2772                   ,2327                   ,2652                   ,2715                   ,2857                   ,2391                   ,2378                   ,2688                   ,3088                   ,2751                   ,2429                   ,141                     ,123                     ,129                     ,144                     ,168                     ,178                     ,165                     ,158                     ,170                     ,160                     ,159                     ,224                     ,162                     ,145                     ,169                     ,108                     ,83                      ,110                     ,999                     ,1117                   ,1042                   ,1284                   ,50                      ,47                      ,78                      ,64                      ,67                      ,73                      ,70                      ,170                     ,181                     ,148                     ,133                     ,285                     ,286                     ,290                     ,309                     ,308                     ,274                     ,329                     ,312                     ,218                     ,219                     ,220                     ,326                     ,301                     ,282                     ,240                     ,251                     ,262                     ,136                     ,122                     ,130                     ,123                     ,111                     ,105                     ,102                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",26                      ,646                     ,303                     ,614                     ,616                     ,774                     ,448                     ,554                     ,651                     ,796                     ,"(D)",266                     ,170                     ,108                     ,108                     ,120                     ,155                     ,112                     ,119                     ,139                     ,203                     ,383                     ,496                     ,154                     ,144                     ,144                     ,151                     ,159                     ,213                     ,204                     ,149                     ,197                     ,190                     ,343                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",323                     ,91                      ,77                      ,42                      ,30                      ,35                      ,38                      ,6                       ,"(D)","(D)","(D)","(D)",73                      ,120                     ,115                     ,98                      ,110                     ,97                      ,36                      ,37                      ,115                     ,119                     ,124                     ,169                     ,"(D)","(D)","(D)","(D)","(D)","(D)",790                     ,644                     ,718                     ,677                     ,844                     
"  Belgium",18092                  ,15643                  ,16217                  ,15978                  ,16726                  ,15183                  ,14240                  ,15852                  ,17268                  ,17576                  ,18170                  ,1                       ,1                       ,2                       ,2                       ,1                       ,"(D)","(D)","(D)",13                      ,12                      ,"(D)",13477                  ,11454                  ,11987                  ,11496                  ,12080                  ,10420                  ,9787                   ,10793                  ,11313                  ,11734                  ,11514                  ,1205                   ,1115                   ,1161                   ,1032                   ,710                     ,899                     ,871                     ,891                     ,762                     ,745                     ,719                     ,4927                   ,4474                   ,5027                   ,4864                   ,5917                   ,4459                   ,4176                   ,4971                   ,5179                   ,5426                   ,5447                   ,263                     ,267                     ,224                     ,278                     ,296                     ,308                     ,347                     ,346                     ,213                     ,186                     ,202                     ,519                     ,504                     ,534                     ,550                     ,556                     ,538                     ,548                     ,449                     ,223                     ,229                     ,157                     ,104                     ,74                      ,113                     ,155                     ,104                     ,137                     ,151                     ,193                     ,194                     ,176                     ,143                     ,248                     ,206                     ,230                     ,104                     ,94                      ,82                      ,"(D)",75                      ,87                      ,"(D)","(D)",2551                   ,1275                   ,1046                   ,1066                   ,986                     ,669                     ,279                     ,308                     ,412                     ,508                     ,325                     ,908                     ,765                     ,818                     ,960                     ,1171                   ,1103                   ,1103                   ,1091                   ,1231                   ,1139                   ,1496                   ,99                      ,42                      ,60                      ,67                      ,52                      ,178                     ,179                     ,114                     ,"(D)",136                     ,125                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",210                     ,277                     ,294                     ,260                     ,194                     ,247                     ,256                     ,246                     ,296                     ,310                     ,341                     ,404                     ,342                     ,347                     ,369                     ,380                     ,333                     ,319                     ,425                     ,539                     ,485                     ,762                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",614                     ,"(D)","(D)"
"  Czech Republic",4074                   ,3883                   ,3737                   ,4585                   ,4574                   ,4896                   ,3431                   ,3608                   ,4133                   ,3879                   ,3699                   ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,"(D)",2953                   ,2847                   ,2705                   ,3604                   ,3777                   ,4165                   ,2764                   ,2972                   ,3391                   ,3143                   ,3204                   ,"(D)","(D)",227                     ,223                     ,383                     ,417                     ,426                     ,408                     ,430                     ,395                     ,412                     ,417                     ,382                     ,407                     ,400                     ,423                     ,293                     ,250                     ,240                     ,"(D)",150                     ,263                     ,121                     ,120                     ,115                     ,118                     ,124                     ,565                     ,146                     ,317                     ,276                     ,257                     ,267                     ,225                     ,242                     ,227                     ,291                     ,276                     ,194                     ,216                     ,265                     ,368                     ,307                     ,294                     ,204                     ,276                     ,233                     ,"(D)","(D)",1126                   ,261                     ,206                     ,300                     ,356                     ,377                     ,56                      ,48                      ,47                      ,55                      ,58                      ,125                     ,101                     ,"(D)","(D)",46                      ,46                      ,949                     ,1007                   ,844                     ,844                     ,735                     ,747                     ,677                     ,695                     ,821                     ,750                     ,708                     ,138                     ,139                     ,147                     ,146                     ,142                     ,143                     ,112                     ,72                      ,103                     ,98                      ,84                      ,"(D)","(D)","(D)","(D)","(D)",52                      ,50                      ,51                      ,42                      ,42                      ,49                      ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",34                      ,59                      ,73                      ,68                      ,53                      ,"(D)","(D)","(D)",5                       ,12                      ,12                      ,25                      ,28                      ,30                      ,46                      ,46                      ,42                      ,40                      ,51                      ,66                      ,47                      ,44                      ,32                      ,443                     ,399                     ,403                     ,398                     ,268                     ,259                     ,240                     ,"(D)","(D)","(D)","(D)"
"  Denmark",4642                   ,4159                   ,4241                   ,4678                   ,6780                   ,5779                   ,5799                   ,5438                   ,5714                   ,6014                   ,6390                   ,2627                   ,2331                   ,2493                   ,2677                   ,2912                   ,"(D)","(D)","(D)","(D)","(D)","(D)",924                     ,824                     ,801                     ,1079                   ,2824                   ,3407                   ,3136                   ,3148                   ,3898                   ,3969                   ,3269                   ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",50                      ,45                      ,48                      ,96                      ,"(D)",2265                   ,2222                   ,2137                   ,861                     ,859                     ,221                     ,59                      ,54                      ,53                      ,83                      ,71                      ,71                      ,69                      ,183                     ,179                     ,173                     ,158                     ,266                     ,219                     ,144                     ,277                     ,351                     ,364                     ,378                     ,365                     ,421                     ,395                     ,376                     ,102                     ,121                     ,165                     ,252                     ,320                     ,328                     ,220                     ,204                     ,88                      ,95                      ,66                      ,15                      ,16                      ,16                      ,17                      ,"(D)","(D)","(D)","(D)","(D)","(D)","(*)","(D)","(D)","(D)","(D)","(D)","(*)",1                       ,1                       ,2                       ,1                       ,2                       ,132                     ,140                     ,157                     ,110                     ,125                     ,158                     ,127                     ,113                     ,145                     ,145                     ,125                     ,32                      ,38                      ,39                      ,59                      ,64                      ,40                      ,41                      ,31                      ,35                      ,36                      ,"(D)",65                      ,63                      ,67                      ,126                     ,291                     ,94                      ,97                      ,96                      ,103                     ,"(D)",642                     ,10                      ,10                      ,9                       ,9                       ,20                      ,12                      ,16                      ,27                      ,"(D)",11                      ,22                      ,454                     ,418                     ,366                     ,357                     ,343                     ,285                     ,233                     ,204                     ,193                     ,370                     ,896                     ,398                     ,336                     ,307                     ,260                     ,200                     ,"(D)","(D)","(D)","(D)","(D)","(D)"
