"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,Majority-owned Nonbank Foreign Affiliates (data up to 2008),Compensation of Employees" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"All Countries Total",254923                 ,264241                 ,264707                 ,268919                 ,293618                 ,331593                 ,360844                 ,390969                 ,426977                 ,437372                 ,4952                   ,4983                   ,5333                   ,5797                   ,6365                   ,7234                   ,8032                   ,8776                   ,10691                  ,12220                  ,2059                   ,1879                   ,2057                   ,1880                   ,1822                   ,1415                   ,1959                   ,2630                   ,2198                   ,1241                   ,131389                 ,129510                 ,125889                 ,129358                 ,140686                 ,158696                 ,167329                 ,178032                 ,190561                 ,198165                 ,9585                   ,9939                   ,9562                   ,9505                   ,9958                   ,11016                  ,11441                  ,12891                  ,13675                  ,14628                  ,24062                  ,23364                  ,23654                  ,25599                  ,27945                  ,30018                  ,31222                  ,32743                  ,35884                  ,39435                  ,6903                   ,6520                   ,6657                   ,6779                   ,7906                   ,8463                   ,8392                   ,9082                   ,10274                  ,11307                  ,12006                  ,11218                  ,10543                  ,10366                  ,11205                  ,13187                  ,14850                  ,15853                  ,17912                  ,19427                  ,18376                  ,18678                  ,17901                  ,16415                  ,15182                  ,17670                  ,16916                  ,18557                  ,20678                  ,22405                  ,4517                   ,4606                   ,4475                   ,4578                   ,5381                   ,6517                   ,6685                   ,7273                   ,6627                   ,5974                   ,27783                  ,27590                  ,26344                  ,28663                  ,33428                  ,38768                  ,40069                  ,41567                  ,44047                  ,41768                  ,32047                  ,36551                  ,37040                  ,36460                  ,39138                  ,40454                  ,41916                  ,44689                  ,47717                  ,51260                  ,12584                  ,13124                  ,13949                  ,14459                  ,15366                  ,17710                  ,18776                  ,20702                  ,22908                  ,23850                  ,18163                  ,21816                  ,23176                  ,22741                  ,23789                  ,23976                  ,28611                  ,30068                  ,32862                  ,21411                  ,22965                  ,23300                  ,23401                  ,23821                  ,26097                  ,32896                  ,37928                  ,40281                  ,44866                  ,49105                  ,30764                  ,33079                  ,33861                  ,34403                  ,40354                  ,49213                  ,56292                  ,65791                  ,75174                  ,80119                  
"Canada",32230                  ,33079                  ,33391                  ,34144                  ,37627                  ,41598                  ,45299                  ,49252                  ,53245                  ,54045                  ,648                     ,661                     ,"(D)",917                     ,1111                   ,1356                   ,1543                   ,1670                   ,1735                   ,1785                   ,94                      ,62                      ,"(D)","(D)",240                     ,"(D)",419                     ,461                     ,303                     ,"(D)",18462                  ,18779                  ,18779                  ,19070                  ,21057                  ,22278                  ,22201                  ,23551                  ,23921                  ,23601                  ,1310                   ,1461                   ,1531                   ,1462                   ,1421                   ,1572                   ,1718                   ,1899                   ,1975                   ,2040                   ,1999                   ,1884                   ,1945                   ,2113                   ,2330                   ,2287                   ,2358                   ,2712                   ,2907                   ,3017                   ,1073                   ,1023                   ,1065                   ,1062                   ,1190                   ,1244                   ,1056                   ,1212                   ,1535                   ,1675                   ,808                     ,825                     ,830                     ,869                     ,960                     ,968                     ,991                     ,1085                   ,1213                   ,1193                   ,1402                   ,1567                   ,1845                   ,1614                   ,1596                   ,2155                   ,1050                   ,1147                   ,1196                   ,1298                   ,566                     ,557                     ,450                     ,395                     ,446                     ,481                     ,462                     ,440                     ,439                     ,363                     ,6091                   ,6240                   ,6044                   ,6193                   ,7097                   ,7043                   ,7645                   ,8257                   ,8251                   ,7153                   ,2878                   ,2975                   ,3256                   ,3263                   ,3378                   ,3616                   ,4017                   ,4451                   ,5094                   ,5460                   ,856                     ,946                     ,1037                   ,1128                   ,1106                   ,1078                   ,1029                   ,1301                   ,1495                   ,1512                   ,1546                   ,1737                   ,1424                   ,1514                   ,1680                   ,1620                   ,1759                   ,2007                   ,2495                   ,1842                   ,1411                   ,1450                   ,1215                   ,"(D)",1270                   ,1668                   ,3059                   ,3394                   ,4074                   ,4614                   ,6335                   ,6468                   ,6743                   ,6952                   ,7786                   ,"(D)",11272                  ,12415                  ,14128                  ,"(D)"
"Europe",152772                 ,155732                 ,154781                 ,159656                 ,178053                 ,203216                 ,218669                 ,234466                 ,254645                 ,257693                 ,1360                   ,1368                   ,1491                   ,1603                   ,1659                   ,1988                   ,2109                   ,1949                   ,2423                   ,2942                   ,1221                   ,1112                   ,1030                   ,814                     ,543                     ,476                     ,549                     ,1259                   ,1256                   ,582                     ,80567                  ,75525                  ,72672                  ,77292                  ,85697                  ,98666                  ,103137                 ,108223                 ,116476                 ,120830                 ,5392                   ,5385                   ,4989                   ,5232                   ,5769                   ,6386                   ,6629                   ,7244                   ,7408                   ,7199                   ,14653                  ,13792                  ,14267                  ,15722                  ,17661                  ,19415                  ,19793                  ,20602                  ,22701                  ,24945                  ,4391                   ,4155                   ,4369                   ,4502                   ,5352                   ,5806                   ,5783                   ,6236                   ,7040                   ,7703                   ,8658                   ,7734                   ,7182                   ,7182                   ,7803                   ,9614                   ,10851                  ,11422                  ,12865                  ,13638                  ,10673                  ,9976                   ,8982                   ,8384                   ,7283                   ,8124                   ,8250                   ,9199                   ,10809                  ,12099                  ,2927                   ,2934                   ,3016                   ,3146                   ,3678                   ,4531                   ,4651                   ,4925                   ,4262                   ,3563                   ,17568                  ,16075                  ,14615                  ,17372                  ,21002                  ,25732                  ,25068                  ,25018                  ,26622                  ,25661                  ,20078                  ,23358                  ,23231                  ,23193                  ,25281                  ,25665                  ,26728                  ,28417                  ,29979                  ,31859                  ,8100                   ,8341                   ,8682                   ,8965                   ,10040                  ,11969                  ,12620                  ,13895                  ,14933                  ,14945                  ,9752                   ,12044                  ,13234                  ,12866                  ,13829                  ,14093                  ,16994                  ,17518                  ,18442                  ,11532                  ,14118                  ,14714                  ,14918                  ,15140                  ,17003                  ,21737                  ,23910                  ,25026                  ,27694                  ,29894                  ,17575                  ,19271                  ,19524                  ,19783                  ,24000                  ,28622                  ,32622                  ,38178                  ,43442                  ,45108                  
"  Austria",1709                   ,1664                   ,1680                   ,1595                   ,1751                   ,2187                   ,2591                   ,2745                   ,3006                   ,3220                   ,1                       ,1                       ,1                       ,1                       ,1                       ,1                       ,1                       ,1                       ,1                       ,1                       ,0                       ,0                       ,0                       ,6                       ,6                       ,7                       ,5                       ,7                       ,0                       ,0                       ,925                     ,892                     ,875                     ,786                     ,875                     ,1091                   ,1325                   ,1443                   ,1687                   ,1766                   ,127                     ,124                     ,130                     ,138                     ,142                     ,142                     ,140                     ,147                     ,161                     ,108                     ,68                      ,88                      ,99                      ,116                     ,109                     ,135                     ,142                     ,140                     ,178                     ,152                     ,35                      ,18                      ,18                      ,18                      ,18                      ,18                      ,29                      ,17                      ,20                      ,19                      ,102                     ,99                      ,89                      ,73                      ,81                      ,83                      ,170                     ,213                     ,242                     ,244                     ,118                     ,109                     ,100                     ,113                     ,127                     ,139                     ,119                     ,151                     ,178                     ,199                     ,18                      ,15                      ,"(D)",42                      ,34                      ,37                      ,36                      ,30                      ,41                      ,"(D)",295                     ,282                     ,278                     ,103                     ,117                     ,295                     ,412                     ,422                     ,460                     ,573                     ,487                     ,436                     ,454                     ,470                     ,532                     ,600                     ,645                     ,672                     ,621                     ,681                     ,73                      ,72                      ,103                     ,114                     ,116                     ,128                     ,129                     ,123                     ,146                     ,156                     ,10                      ,4                       ,4                       ,5                       ,7                       ,21                      ,22                      ,40                      ,43                      ,46                      ,128                     ,166                     ,155                     ,122                     ,121                     ,151                     ,253                     ,282                     ,304                     ,286                     ,85                      ,94                      ,87                      ,90                      ,94                      ,188                     ,210                     ,177                     ,204                     ,282                     
"  Belgium",6484                   ,5847                   ,5850                   ,6202                   ,7214                   ,8236                   ,8597                   ,9403                   ,10513                  ,11257                  ,5                       ,5                       ,5                       ,5                       ,13                      ,13                      ,13                      ,12                      ,14                      ,8                       ,0                       ,0                       ,0                       ,0                       ,0                       ,"(*)","(*)","(*)","(*)","(*)",3892                   ,3147                   ,3001                   ,3559                   ,3744                   ,4530                   ,4674                   ,5092                   ,5488                   ,5761                   ,358                     ,337                     ,298                     ,392                     ,351                     ,352                     ,372                     ,409                     ,405                     ,372                     ,1236                   ,1157                   ,1152                   ,1242                   ,1289                   ,1312                   ,1334                   ,1481                   ,1745                   ,1963                   ,121                     ,116                     ,114                     ,105                     ,132                     ,120                     ,132                     ,173                     ,296                     ,321                     ,342                     ,301                     ,288                     ,300                     ,233                     ,450                     ,475                     ,507                     ,550                     ,598                     ,40                      ,21                      ,12                      ,11                      ,29                      ,104                     ,122                     ,95                      ,62                      ,55                      ,166                     ,138                     ,"(D)",155                     ,172                     ,234                     ,153                     ,197                     ,86                      ,116                     ,631                     ,251                     ,310                     ,618                     ,698                     ,982                     ,1161                   ,1126                   ,1112                   ,965                     ,1067                   ,1141                   ,1169                   ,922                     ,1256                   ,799                     ,1021                   ,1189                   ,1304                   ,1525                   ,233                     ,248                     ,222                     ,191                     ,234                     ,303                     ,367                     ,409                     ,622                     ,696                     ,188                     ,168                     ,164                     ,188                     ,215                     ,361                     ,355                     ,401                     ,405                     ,378                     ,513                     ,556                     ,605                     ,618                     ,852                     ,1137                   ,1011                   ,972                     ,1129                   ,1108                   ,589                     ,582                     ,684                     ,719                     ,899                     ,1094                   ,1156                   ,1327                   ,1552                   ,1780                   
"  Czech Republic",386                     ,422                     ,459                     ,488                     ,602                     ,1081                   ,1025                   ,1152                   ,1414                   ,1750                   ,0                       ,0                       ,0                       ,0                       ,0                       ,5                       ,5                       ,5                       ,0                       ,0                       ,7                       ,"(D)","(D)","(D)","(D)","(D)",5                       ,"(*)",4                       ,4                       ,254                     ,284                     ,312                     ,337                     ,426                     ,793                     ,701                     ,785                     ,939                     ,1213                   ,11                      ,11                      ,11                      ,13                      ,12                      ,10                      ,12                      ,13                      ,15                      ,"(D)",23                      ,27                      ,29                      ,38                      ,45                      ,58                      ,65                      ,60                      ,90                      ,103                     ,9                       ,15                      ,16                      ,17                      ,15                      ,26                      ,38                      ,39                      ,39                      ,46                      ,18                      ,17                      ,17                      ,13                      ,27                      ,54                      ,55                      ,60                      ,74                      ,75                      ,45                      ,50                      ,57                      ,32                      ,33                      ,79                      ,73                      ,73                      ,126                     ,170                     ,3                       ,3                       ,3                       ,7                       ,16                      ,38                      ,48                      ,51                      ,28                      ,44                      ,87                      ,102                     ,119                     ,145                     ,188                     ,428                     ,287                     ,353                     ,407                     ,526                     ,57                      ,51                      ,54                      ,60                      ,82                      ,133                     ,105                     ,120                     ,214                     ,243                     ,16                      ,17                      ,17                      ,10                      ,11                      ,35                      ,36                      ,41                      ,43                      ,48                      ,8                       ,8                       ,8                       ,9                       ,9                       ,10                      ,"(D)",26                      ,"(D)","(D)",27                      ,34                      ,37                      ,37                      ,37                      ,42                      ,72                      ,84                      ,54                      ,57                      ,16                      ,"(D)","(D)","(D)","(D)","(D)","(D)",91                      ,"(D)","(D)"
