"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All Majority-owned Foreign Affiliates (data for 2009 and forward),Compensation of Employees" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Countries Total",482041                 ,493629                 ,538721                 ,555862                 ,563542                 ,632546                 ,611564                 ,600163                 ,613340                 ,624266                 ,644468                 ,13393                  ,14446                  ,16536                  ,18571                  ,20508                  ,23737                  ,21631                  ,18564                  ,18242                  ,17745                  ,17012                  ,197095                 ,198086                 ,214705                 ,213152                 ,218076                 ,237856                 ,225822                 ,218992                 ,224027                 ,224639                 ,222202                 ,14637                  ,15563                  ,16320                  ,17186                  ,17562                  ,18337                  ,16382                  ,15198                  ,16095                  ,15716                  ,15192                  ,40505                  ,38734                  ,41714                  ,41632                  ,43115                  ,45350                  ,44845                  ,43888                  ,42641                  ,42789                  ,41577                  ,10134                  ,10157                  ,10593                  ,10135                  ,10067                  ,11897                  ,11085                  ,10760                  ,10753                  ,11063                  ,10362                  ,19358                  ,20250                  ,22882                  ,23481                  ,24163                  ,27780                  ,27732                  ,26112                  ,27052                  ,28052                  ,28129                  ,24016                  ,24842                  ,27656                  ,28743                  ,29639                  ,32925                  ,32948                  ,29757                  ,32254                  ,34506                  ,35590                  ,5679                   ,5648                   ,5974                   ,5804                   ,6149                   ,7471                   ,7174                   ,7259                   ,7257                   ,6851                   ,6826                   ,37715                  ,36389                  ,39171                  ,38513                  ,39966                  ,41281                  ,37027                  ,37142                  ,37005                  ,34369                  ,33504                  ,52603                  ,53587                  ,57690                  ,58472                  ,59958                  ,64152                  ,59925                  ,56877                  ,57239                  ,59396                  ,60744                  ,22211                  ,23399                  ,24890                  ,29664                  ,29842                  ,31808                  ,30568                  ,31774                  ,30483                  ,30131                  ,31811                  ,25777                  ,24132                  ,27081                  ,28486                  ,29152                  ,36778                  ,36607                  ,36842                  ,37365                  ,38793                  ,39208                  ,54438                  ,57938                  ,62436                  ,66641                  ,62676                  ,69654                  ,66833                  ,64808                  ,66272                  ,66415                  ,72343                  ,54759                  ,57059                  ,63108                  ,66009                  ,65496                  ,76521                  ,79508                  ,84477                  ,87352                  ,89480                  ,94753                  ,61765                  ,64982                  ,72274                  ,74867                  ,77834                  ,92040                  ,90670                  ,87830                  ,92360                  ,97668                  ,106394                 
"Canada",56345                  ,57434                  ,61730                  ,63497                  ,62549                  ,68578                  ,63111                  ,60655                  ,61828                  ,62821                  ,60768                  ,1758                   ,1789                   ,2172                   ,2696                   ,2843                   ,3059                   ,2701                   ,2211                   ,2124                   ,1912                   ,1776                   ,22036                  ,22465                  ,22766                  ,22242                  ,21593                  ,23406                  ,21081                  ,19746                  ,21198                  ,21823                  ,19959                  ,1953                   ,2116                   ,2262                   ,2350                   ,2359                   ,2420                   ,2129                   ,1888                   ,1983                   ,2095                   ,2037                   ,2952                   ,2976                   ,2967                   ,2877                   ,2946                   ,3058                   ,2728                   ,2681                   ,2610                   ,2669                   ,2588                   ,1442                   ,1418                   ,1322                   ,1370                   ,1307                   ,1599                   ,1476                   ,1224                   ,1260                   ,1410                   ,1279                   ,1347                   ,1346                   ,1613                   ,1741                   ,1779                   ,1982                   ,1740                   ,1449                   ,1453                   ,1781                   ,1795                   ,1321                   ,1377                   ,1632                   ,1638                   ,1469                   ,1890                   ,1943                   ,1806                   ,1894                   ,1864                   ,1852                   ,299                     ,323                     ,377                     ,547                     ,540                     ,627                     ,616                     ,644                     ,640                     ,675                     ,611                     ,5999                   ,6513                   ,5584                   ,5804                   ,5722                   ,5772                   ,5081                   ,4698                   ,5003                   ,4946                   ,4938                   ,5574                   ,5789                   ,6249                   ,6528                   ,6404                   ,6938                   ,6862                   ,6674                   ,6613                   ,6909                   ,6814                   ,7410                   ,7888                   ,9480                   ,10544                  ,9728                   ,8585                   ,8469                   ,8569                   ,8399                   ,8433                   ,8415                   ,1814                   ,1881                   ,2102                   ,2118                   ,2098                   ,2415                   ,2348                   ,2399                   ,2409                   ,2287                   ,2507                   ,3539                   ,3419                   ,3699                   ,3493                   ,3441                   ,3798                   ,3118                   ,3033                   ,3131                   ,3356                   ,3309                   ,5143                   ,4877                   ,5578                   ,5816                   ,5790                   ,7156                   ,6580                   ,6457                   ,6329                   ,5754                   ,5992                   ,9070                   ,9327                   ,9683                   ,10059                  ,10653                  ,13220                  ,11951                  ,11565                  ,11626                  ,12346                  ,11997                  
"Europe",270035                 ,265473                 ,284026                 ,284567                 ,286804                 ,318127                 ,309001                 ,304741                 ,308558                 ,318118                 ,328179                 ,3194                   ,3405                   ,3962                   ,4497                   ,5137                   ,5685                   ,5111                   ,4327                   ,4617                   ,4277                   ,4276                   ,117142                 ,111811                 ,119266                 ,114848                 ,117554                 ,125673                 ,119809                 ,116734                 ,115744                 ,116260                 ,115124                 ,7527                   ,7275                   ,7383                   ,7537                   ,7754                   ,8061                   ,7668                   ,7189                   ,7651                   ,7397                   ,6872                   ,25019                  ,22440                  ,23068                  ,22734                  ,24056                  ,25149                  ,25202                  ,24793                  ,23355                  ,23766                  ,23069                  ,6627                   ,6528                   ,6890                   ,6093                   ,6197                   ,7139                   ,6611                   ,6454                   ,6491                   ,6926                   ,6293                   ,12532                  ,12959                  ,14570                  ,14224                  ,14642                  ,16940                  ,17213                  ,16110                  ,16079                  ,16619                  ,16120                  ,12683                  ,12582                  ,13806                  ,14152                  ,13474                  ,14421                  ,14281                  ,12543                  ,13471                  ,14254                  ,14879                  ,3419                   ,3385                   ,3424                   ,3220                   ,3228                   ,3888                   ,3702                   ,3789                   ,3666                   ,3476                   ,3540                   ,22756                  ,19909                  ,21353                  ,19489                  ,20609                  ,20981                  ,18596                  ,19687                  ,18200                  ,16849                  ,16334                  ,31841                  ,31660                  ,33310                  ,33903                  ,34575                  ,34984                  ,31415                  ,29861                  ,29610                  ,30725                  ,31023                  ,9038                   ,8955                   ,8172                   ,10840                  ,11026                  ,12402                  ,12064                  ,13520                  ,11908                  ,12114                  ,12391                  ,15101                  ,13570                  ,14852                  ,15739                  ,16084                  ,20890                  ,20352                  ,20467                  ,20480                  ,21616                  ,21181                  ,28695                  ,30474                  ,32556                  ,33032                  ,30758                  ,36247                  ,35798                  ,34741                  ,35011                  ,36979                  ,40812                  ,30702                  ,29750                  ,32067                  ,32385                  ,31332                  ,36802                  ,38819                  ,41234                  ,43079                  ,44556                  ,46809                  ,34322                  ,35847                  ,39840                  ,39323                  ,40338                  ,45444                  ,45633                  ,43858                  ,48109                  ,51591                  ,56563                  
"  Austria",3317                   ,3288                   ,3568                   ,3671                   ,3815                   ,3991                   ,3972                   ,3571                   ,3792                   ,3691                   ,3453                   ,4                       ,4                       ,4                       ,4                       ,6                       ,3                       ,3                       ,3                       ,3                       ,3                       ,2                       ,1744                   ,1771                   ,1814                   ,1852                   ,1987                   ,2119                   ,1894                   ,1724                   ,1854                   ,1732                   ,1444                   ,100                     ,115                     ,122                     ,111                     ,87                      ,85                      ,85                      ,"(D)","(D)","(D)",68                      ,181                     ,180                     ,199                     ,176                     ,163                     ,167                     ,151                     ,323                     ,397                     ,463                     ,472                     ,16                      ,13                      ,25                      ,28                      ,53                      ,66                      ,40                      ,50                      ,50                      ,64                      ,54                      ,279                     ,280                     ,311                     ,325                     ,317                     ,293                     ,311                     ,273                     ,236                     ,241                     ,211                     ,195                     ,203                     ,211                     ,193                     ,196                     ,167                     ,161                     ,162                     ,189                     ,197                     ,195                     ,94                      ,95                      ,95                      ,95                      ,95                      ,121                     ,123                     ,123                     ,126                     ,130                     ,96                      ,436                     ,448                     ,328                     ,380                     ,488                     ,573                     ,427                     ,424                     ,467                     ,308                     ,151                     ,666                     ,619                     ,708                     ,737                     ,739                     ,723                     ,709                     ,419                     ,397                     ,481                     ,440                     ,49                      ,53                      ,55                      ,57                      ,61                      ,91                      ,86                      ,86                      ,134                     ,130                     ,138                     ,136                     ,125                     ,121                     ,124                     ,130                     ,122                     ,119                     ,102                     ,112                     ,84                      ,50                      ,91                      ,50                      ,51                      ,59                      ,69                      ,84                      ,322                     ,316                     ,311                     ,336                     ,331                     ,258                     ,309                     ,325                     ,318                     ,308                     ,381                     ,382                     ,607                     ,626                     ,578                     ,608                     ,369                     ,357                     ,490                     ,519                     ,515                     ,467                     ,456                     ,315                     ,355                     ,346                     ,441                     
"  Belgium",11543                  ,11080                  ,12232                  ,11907                  ,11792                  ,11719                  ,11364                  ,10779                  ,10912                  ,11105                  ,11246                  ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",50                      ,5731                   ,5232                   ,5538                   ,5320                   ,5360                   ,5356                   ,5176                   ,5160                   ,5036                   ,4937                   ,4872                   ,490                     ,500                     ,553                     ,609                     ,521                     ,411                     ,341                     ,350                     ,291                     ,241                     ,237                     ,1776                   ,1860                   ,1969                   ,1963                   ,1961                   ,1992                   ,2036                   ,2035                   ,1960                   ,1844                   ,1892                   ,255                     ,247                     ,191                     ,169                     ,173                     ,168                     ,204                     ,207                     ,170                     ,163                     ,184                     ,462                     ,488                     ,512                     ,501                     ,500                     ,560                     ,612                     ,493                     ,469                     ,517                     ,372                     ,65                      ,82                      ,252                     ,283                     ,214                     ,277                     ,318                     ,313                     ,332                     ,359                     ,324                     ,116                     ,93                      ,86                      ,39                      ,31                      ,37                      ,19                      ,40                      ,47                      ,29                      ,32                      ,1300                   ,839                     ,779                     ,567                     ,734                     ,691                     ,432                     ,504                     ,472                     ,452                     ,388                     ,1600                   ,1734                   ,1737                   ,1727                   ,1779                   ,1720                   ,1701                   ,1234                   ,1238                   ,1281                   ,1390                   ,166                     ,113                     ,94                      ,105                     ,99                      ,160                     ,156                     ,142                     ,158                     ,154                     ,135                     ,540                     ,477                     ,537                     ,506                     ,483                     ,424                     ,393                     ,481                     ,486                     ,497                     ,498                     ,672                     ,727                     ,850                     ,862                     ,820                     ,905                     ,835                     ,835                     ,852                     ,971                     ,1031                   ,1165                   ,1074                   ,1208                   ,1169                   ,1137                   ,1134                   ,1129                   ,1381                   ,1356                   ,1318                   ,1381                   ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1888                   
"  Czech Republic",2072                   ,2137                   ,2274                   ,2204                   ,2102                   ,2294                   ,2198                   ,2203                   ,2254                   ,2201                   ,2171                   ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,1274                   ,1260                   ,1280                   ,1211                   ,1120                   ,1246                   ,1180                   ,1262                   ,1275                   ,1232                   ,1207                   ,"(D)","(D)",43                      ,44                      ,29                      ,28                      ,29                      ,22                      ,22                      ,13                      ,13                      ,118                     ,95                      ,94                      ,90                      ,95                      ,98                      ,91                      ,84                      ,84                      ,101                     ,78                      ,46                      ,47                      ,37                      ,39                      ,33                      ,52                      ,54                      ,54                      ,52                      ,45                      ,55                      ,84                      ,122                     ,113                     ,119                     ,138                     ,138                     ,155                     ,168                     ,198                     ,193                     ,144                     ,214                     ,224                     ,220                     ,195                     ,154                     ,180                     ,145                     ,145                     ,160                     ,180                     ,209                     ,48                      ,42                      ,40                      ,39                      ,36                      ,67                      ,51                      ,41                      ,50                      ,"(D)",56                      ,445                     ,466                     ,523                     ,465                     ,418                     ,450                     ,429                     ,495                     ,435                     ,405                     ,400                     ,266                     ,290                     ,337                     ,330                     ,325                     ,331                     ,166                     ,158                     ,171                     ,145                     ,113                     ,"(D)","(D)","(D)","(D)","(D)",28                      ,29                      ,29                      ,16                      ,16                      ,39                      ,86                      ,92                      ,96                      ,103                     ,114                     ,101                     ,79                      ,77                      ,82                      ,86                      ,103                     ,213                     ,232                     ,222                     ,209                     ,196                     ,170                     ,151                     ,55                      ,49                      ,52                      ,97                      ,106                     ,109                     ,135                     ,141                     ,129                     ,197                     ,377                     ,425                     ,461                     ,452                     ,324                     ,"(D)","(D)","(D)","(D)","(D)",221                     ,215                     ,197                     ,201                     ,217                     ,289                     
"  Denmark",3055                   ,3051                   ,3073                   ,3337                   ,3961                   ,4591                   ,3861                   ,3834                   ,3907                   ,3947                   ,4229                   ,27                      ,28                      ,35                      ,46                      ,62                      ,52                      ,39                      ,42                      ,35                      ,36                      ,31                      ,992                     ,960                     ,907                     ,937                     ,1630                   ,1965                   ,1825                   ,1823                   ,1944                   ,2052                   ,1933                   ,58                      ,68                      ,38                      ,27                      ,34                      ,65                      ,53                      ,46                      ,"(D)","(D)","(D)",114                     ,110                     ,70                      ,94                      ,763                     ,886                     ,858                     ,855                     ,298                     ,309                     ,205                     ,65                      ,72                      ,72                      ,75                      ,69                      ,94                      ,95                      ,102                     ,93                      ,110                     ,116                     ,295                     ,205                     ,219                     ,243                     ,285                     ,364                     ,351                     ,347                     ,415                     ,415                     ,410                     ,92                      ,125                     ,146                     ,169                     ,169                     ,244                     ,244                     ,223                     ,231                     ,208                     ,183                     ,19                      ,19                      ,19                      ,19                      ,7                       ,7                       ,7                       ,7                       ,7                       ,7                       ,3                       ,5                       ,5                       ,5                       ,5                       ,5                       ,4                       ,4                       ,"(D)","(D)",9                       ,6                       ,438                     ,446                     ,484                     ,480                     ,460                     ,504                     ,449                     ,433                     ,427                     ,464                     ,413                     ,39                      ,42                      ,85                      ,94                      ,97                      ,99                      ,100                     ,93                      ,85                      ,84                      ,108                     ,116                     ,109                     ,106                     ,489                     ,540                     ,570                     ,439                     ,420                     ,482                     ,398                     ,146                     ,65                      ,65                      ,72                      ,77                      ,91                      ,449                     ,96                      ,89                      ,74                      ,74                      ,68                      ,1044                   ,1081                   ,1051                   ,991                     ,870                     ,733                     ,713                     ,665                     ,582                     ,563                     ,1264                   ,334                     ,320                     ,334                     ,224                     ,211                     ,221                     ,200                     ,269                     ,278                     ,275                     ,265                     
