"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,Majority-owned Nonbank Foreign Affiliates (data up to 2008),Employment" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Thousands of Employees) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"All Countries Total",7765.8                 ,8171.4                 ,8194.1                 ,8255.6                 ,8242.2                 ,8666.7                 ,9101.3                 ,9617.4                 ,10012.1                ,10025.8                ,129.4                   ,136.6                   ,149.1                   ,147.3                   ,161.6                   ,170.6                   ,171.9                   ,175.3                   ,189.8                   ,193.8                   ,68.4                    ,59.0                    ,78.1                    ,70.8                    ,67.5                    ,50.3                    ,55.6                    ,54.9                    ,42.1                    ,24.5                    ,4357.3                 ,4408.8                 ,4310.4                 ,4292.8                 ,4217.2                 ,4323.9                 ,4449.7                 ,4599.3                 ,4644.8                 ,4550.8                 ,339.8                   ,361.1                   ,376.2                   ,369.5                   ,364.5                   ,380.9                   ,379.3                   ,404.4                   ,407.7                   ,430.4                   ,568.7                   ,566.6                   ,572.6                   ,605.3                   ,592.3                   ,565.8                   ,572.5                   ,584.4                   ,613.7                   ,621.2                   ,223.5                   ,240.8                   ,235.9                   ,237.6                   ,243.9                   ,232.2                   ,225.8                   ,238.2                   ,230.9                   ,235.8                   ,346.9                   ,345.8                   ,336.9                   ,328.1                   ,331.2                   ,351.0                   ,362.5                   ,370.5                   ,398.6                   ,395.3                   ,767.0                   ,791.2                   ,723.2                   ,642.1                   ,581.7                   ,640.2                   ,639.5                   ,689.4                   ,690.7                   ,692.3                   ,264.6                   ,227.2                   ,224.8                   ,222.2                   ,234.0                   ,256.5                   ,240.1                   ,253.1                   ,238.8                   ,219.0                   ,865.7                   ,902.2                   ,888.0                   ,897.8                   ,940.0                   ,938.8                   ,957.4                   ,960.3                   ,962.7                   ,898.6                   ,669.9                   ,752.0                   ,787.1                   ,772.8                   ,759.9                   ,715.1                   ,715.7                   ,753.6                   ,778.1                   ,766.1                   ,295.6                   ,322.6                   ,342.3                   ,354.1                   ,325.4                   ,310.9                   ,316.7                   ,340.9                   ,357.6                   ,359.6                   ,253.0                   ,286.7                   ,294.7                   ,307.3                   ,287.1                   ,254.9                   ,276.1                   ,296.8                   ,322.7                   ,238.2                   ,395.9                   ,414.6                   ,418.3                   ,422.3                   ,430.2                   ,503.7                   ,561.1                   ,587.3                   ,641.6                   ,684.1                   ,1596.2                 ,1791.0                 ,1814.1                 ,1888.2                 ,1993.1                 ,2337.3                 ,2554.5                 ,2809.3                 ,3035.7                 ,3208.8                 
"Canada",1004.2                 ,1051.7                 ,1042.1                 ,1061.6                 ,1060.5                 ,1080.0                 ,1094.2                 ,1086.2                 ,1097.0                 ,1054.6                 ,12.9                    ,13.6                    ,"J",18.5                    ,20.1                    ,22.1                    ,21.5                    ,21.1                    ,22.0                    ,21.4                    ,4.3                     ,1.2                     ,"G","G",3.4                     ,"G",5.2                     ,5.8                     ,3.4                     ,"H",441.7                   ,454.3                   ,444.8                   ,446.0                   ,432.7                   ,405.3                   ,378.7                   ,369.4                   ,357.5                   ,327.1                   ,32.4                    ,36.3                    ,42.6                    ,41.9                    ,39.5                    ,38.5                    ,35.5                    ,38.4                    ,35.9                    ,35.1                    ,41.5                    ,39.5                    ,38.4                    ,43.8                    ,43.2                    ,35.5                    ,34.3                    ,42.5                    ,43.5                    ,37.7                    ,30.0                    ,28.5                    ,27.5                    ,26.4                    ,25.2                    ,23.6                    ,20.5                    ,21.6                    ,27.8                    ,24.8                    ,20.3                    ,22.0                    ,20.8                    ,21.5                    ,21.8                    ,18.8                    ,19.1                    ,20.2                    ,20.6                    ,19.3                    ,41.1                    ,48.6                    ,42.0                    ,42.5                    ,38.9                    ,38.0                    ,18.2                    ,19.7                    ,18.4                    ,20.3                    ,15.9                    ,16.9                    ,14.0                    ,11.6                    ,11.2                    ,11.2                    ,9.4                     ,8.6                     ,8.2                     ,6.2                     ,119.7                   ,125.2                   ,125.7                   ,121.7                   ,123.8                   ,107.5                   ,107.5                   ,98.4                    ,94.5                    ,78.6                    ,75.7                    ,76.8                    ,82.3                    ,80.3                    ,77.2                    ,71.6                    ,73.1                    ,74.5                    ,81.7                    ,82.4                    ,31.8                    ,32.9                    ,34.7                    ,35.5                    ,32.5                    ,25.9                    ,18.3                    ,20.6                    ,22.1                    ,20.4                    ,32.7                    ,34.3                    ,30.6                    ,31.8                    ,32.0                    ,24.9                    ,25.5                    ,26.2                    ,31.3                    ,21.7                    ,32.3                    ,34.6                    ,27.5                    ,"K",25.1                    ,30.9                    ,53.1                    ,55.5                    ,58.0                    ,66.4                    ,372.9                   ,404.0                   ,401.8                   ,422.2                   ,437.6                   ,"M",518.7                   ,513.1                   ,521.0                   ,"M"
"Europe",3530.5                 ,3713.8                 ,3746.9                 ,3727.6                 ,3703.8                 ,3812.6                 ,3946.5                 ,4143.4                 ,4197.9                 ,4162.6                 ,21.0                    ,22.2                    ,24.6                    ,25.7                    ,31.1                    ,34.0                    ,35.2                    ,31.2                    ,34.7                    ,35.4                    ,37.8                    ,31.8                    ,36.4                    ,26.0                    ,18.8                    ,15.0                    ,13.8                    ,22.2                    ,21.8                    ,8.3                     ,1925.3                 ,1897.4                 ,1869.6                 ,1858.0                 ,1840.9                 ,1866.2                 ,1891.6                 ,1914.1                 ,1900.0                 ,1892.4                 ,120.7                   ,129.2                   ,129.1                   ,126.8                   ,125.9                   ,136.4                   ,134.5                   ,137.0                   ,127.5                   ,136.9                   ,278.8                   ,277.6                   ,286.1                   ,304.6                   ,294.1                   ,284.7                   ,283.8                   ,276.2                   ,285.8                   ,294.4                   ,118.1                   ,139.6                   ,140.7                   ,140.8                   ,148.6                   ,140.9                   ,131.7                   ,144.1                   ,139.4                   ,143.7                   ,193.3                   ,186.1                   ,173.9                   ,169.7                   ,170.4                   ,188.8                   ,193.6                   ,202.6                   ,218.9                   ,213.7                   ,238.3                   ,229.4                   ,215.4                   ,188.1                   ,156.0                   ,162.2                   ,158.0                   ,171.1                   ,182.7                   ,187.9                   ,119.2                   ,94.2                    ,93.3                    ,94.5                    ,96.5                    ,110.7                   ,105.7                   ,108.8                   ,88.7                    ,73.4                    ,432.6                   ,433.7                   ,425.7                   ,427.4                   ,454.6                   ,466.8                   ,464.3                   ,449.0                   ,445.7                   ,426.9                   ,361.5                   ,419.4                   ,439.1                   ,422.1                   ,404.3                   ,365.6                   ,376.6                   ,397.3                   ,400.0                   ,390.7                   ,164.4                   ,170.6                   ,185.2                   ,185.0                   ,165.2                   ,166.9                   ,167.9                   ,177.5                   ,174.1                   ,171.0                   ,107.4                   ,115.7                   ,123.7                   ,127.6                   ,117.4                   ,106.8                   ,122.1                   ,124.0                   ,132.4                   ,93.5                    ,222.1                   ,240.0                   ,237.1                   ,230.0                   ,246.6                   ,276.6                   ,279.3                   ,283.8                   ,283.6                   ,284.8                   ,691.0                   ,816.8                   ,831.2                   ,853.2                   ,879.5                   ,981.6                   ,1060.0                 ,1193.4                 ,1251.3                 ,1286.5                 
"  Austria",32.8                    ,33.9                    ,35.8                    ,30.8                    ,30.7                    ,34.9                    ,40.2                    ,40.4                    ,40.0                    ,44.5                    ,"(*)","(*)","(*)","(*)","(*)","(*)","(*)","(*)","(*)","(*)",0.0                     ,0.0                     ,0.0                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.0                     ,0.0                     ,19.5                    ,20.1                    ,21.1                    ,16.2                    ,16.2                    ,17.0                    ,20.5                    ,22.6                    ,23.0                    ,26.9                    ,2.2                     ,2.2                     ,2.2                     ,1.9                     ,1.9                     ,1.8                     ,1.6                     ,1.7                     ,1.6                     ,1.5                     ,1.2                     ,1.7                     ,2.2                     ,2.3                     ,1.8                     ,1.8                     ,1.8                     ,1.9                     ,2.3                     ,2.0                     ,1.1                     ,0.7                     ,0.7                     ,0.7                     ,0.7                     ,0.5                     ,0.6                     ,0.5                     ,0.6                     ,0.6                     ,1.7                     ,2.1                     ,2.0                     ,1.6                     ,1.6                     ,1.5                     ,2.5                     ,3.0                     ,3.2                     ,3.2                     ,2.3                     ,2.3                     ,2.1                     ,2.3                     ,2.5                     ,2.4                     ,2.0                     ,2.4                     ,2.7                     ,2.7                     ,0.6                     ,0.7                     ,"F",0.8                     ,0.6                     ,0.5                     ,0.6                     ,0.5                     ,0.7                     ,"G",7.2                     ,7.0                     ,6.7                     ,2.4                     ,2.7                     ,4.8                     ,7.1                     ,7.2                     ,6.4                     ,10.0                    ,7.4                     ,7.2                     ,7.5                     ,7.7                     ,7.8                     ,7.1                     ,7.5                     ,7.7                     ,7.0                     ,7.0                     ,1.1                     ,1.0                     ,1.8                     ,2.0                     ,1.9                     ,1.9                     ,1.8                     ,1.7                     ,1.7                     ,2.0                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.2                     ,0.4                     ,0.4                     ,0.4                     ,0.4                     ,2.2                     ,2.7                     ,2.7                     ,2.1                     ,2.0                     ,1.8                     ,2.8                     ,3.0                     ,3.0                     ,2.9                     ,2.5                     ,2.7                     ,2.7                     ,2.6                     ,2.6                     ,6.7                     ,7.1                     ,4.8                     ,4.9                     ,5.2                     
"  Belgium",117.3                   ,120.2                   ,113.8                   ,113.2                   ,117.0                   ,118.5                   ,121.6                   ,125.8                   ,127.6                   ,131.1                   ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.2                     ,0.1                     ,0.1                     ,0.6                     ,0.6                     ,0.1                     ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,"(*)","(*)","(*)","(*)","(*)",71.8                    ,61.7                    ,58.3                    ,66.4                    ,63.5                    ,67.3                    ,70.7                    ,70.7                    ,68.1                    ,68.2                    ,7.4                     ,7.2                     ,6.6                     ,7.7                     ,6.7                     ,5.8                     ,6.1                     ,7.1                     ,5.5                     ,5.2                     ,19.0                    ,18.9                    ,18.8                    ,19.4                    ,18.3                    ,16.2                    ,16.0                    ,16.8                    ,17.2                    ,17.7                    ,2.6                     ,2.5                     ,2.6                     ,2.0                     ,2.2                     ,2.1                     ,2.2                     ,3.8                     ,3.9                     ,4.1                     ,6.3                     ,7.3                     ,6.2                     ,6.2                     ,5.6                     ,7.6                     ,7.6                     ,8.0                     ,8.4                     ,8.7                     ,0.9                     ,0.4                     ,0.3                     ,0.3                     ,0.6                     ,1.6                     ,1.7                     ,1.3                     ,1.1                     ,1.2                     ,4.0                     ,3.1                     ,"H",4.0                     ,3.7                     ,3.8                     ,2.7                     ,3.0                     ,1.4                     ,1.5                     ,14.5                    ,5.7                     ,6.1                     ,11.8                    ,11.8                    ,15.8                    ,17.9                    ,14.7                    ,13.9                    ,11.5                    ,16.3                    ,20.1                    ,20.9                    ,14.3                    ,17.2                    ,10.2                    ,13.6                    ,14.2                    ,15.0                    ,14.9                    ,3.6                     ,4.0                     ,3.3                     ,3.0                     ,2.9                     ,4.6                     ,5.2                     ,5.0                     ,5.3                     ,5.7                     ,2.3                     ,3.0                     ,2.2                     ,2.2                     ,2.6                     ,2.7                     ,2.7                     ,3.4                     ,3.6                     ,2.8                     ,7.6                     ,8.7                     ,8.8                     ,8.7                     ,9.4                     ,12.2                    ,10.4                    ,9.7                     ,9.8                     ,9.3                     ,15.7                    ,22.5                    ,20.1                    ,18.6                    ,21.2                    ,21.3                    ,18.8                    ,22.3                    ,25.2                    ,30.1                    
"  Czech Republic",43.5                    ,48.0                    ,51.0                    ,46.7                    ,50.1                    ,62.7                    ,64.9                    ,66.4                    ,70.3                    ,68.6                    ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,0.4                     ,0.4                     ,0.4                     ,0.0                     ,0.0                     ,0.9                     ,"G","G","G","G","G",0.4                     ,"(*)",0.1                     ,0.1                     ,33.8                    ,38.1                    ,41.7                    ,37.8                    ,41.0                    ,52.4                    ,52.4                    ,53.6                    ,54.3                    ,53.6                    ,1.1                     ,1.1                     ,1.0                     ,1.0                     ,0.6                     ,0.3                     ,0.4                     ,0.6                     ,0.5                     ,"G",2.7                     ,3.5                     ,3.4                     ,3.5                     ,3.0                     ,3.0                     ,2.4                     ,2.2                     ,3.2                     ,3.2                     ,1.5                     ,2.1                     ,2.1                     ,2.1                     ,1.4                     ,1.9                     ,2.5                     ,2.5                     ,2.4                     ,2.2                     ,2.1                     ,1.9                     ,1.8                     ,1.6                     ,3.1                     ,5.6                     ,5.0                     ,4.0                     ,4.0                     ,3.5                     ,8.1                     ,10.5                    ,11.5                    ,6.6                     ,6.7                     ,7.8                     ,8.1                     ,8.4                     ,9.3                     ,7.6                     ,0.3                     ,0.3                     ,0.3                     ,1.0                     ,1.7                     ,4.3                     ,4.7                     ,5.0                     ,2.5                     ,3.7                     ,12.9                    ,13.6                    ,15.7                    ,16.3                    ,18.2                    ,23.5                    ,21.5                    ,24.2                    ,24.9                    ,23.4                    ,3.5                     ,2.6                     ,2.5                     ,2.3                     ,2.8                     ,3.0                     ,3.6                     ,3.8                     ,5.4                     ,5.3                     ,0.8                     ,0.9                     ,0.9                     ,0.6                     ,0.5                     ,0.7                     ,0.7                     ,1.0                     ,0.9                     ,0.9                     ,0.4                     ,0.4                     ,0.4                     ,0.4                     ,0.4                     ,0.7                     ,"G",1.2                     ,"G","G",2.4                     ,2.3                     ,2.4                     ,2.5                     ,2.4                     ,1.3                     ,1.8                     ,2.1                     ,1.2                     ,1.2                     ,1.8                     ,"G","G","G","G","H","H",4.3                     ,"I","I"
