"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All Majority-owned Foreign Affiliates (data for 2009 and forward),Employment" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Thousands of Employees) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Countries Total",10793.9                ,11313.4                ,11850.2                ,12127.7                ,12419.0                ,14052.4                ,14081.0                ,14265.4                ,14381.7                ,14352.1                ,14610.6                ,199.5                   ,199.1                   ,207.8                   ,231.7                   ,241.7                   ,270.1                   ,247.1                   ,236.1                   ,232.8                   ,231.3                   ,228.9                   ,4538.9                 ,4652.9                 ,4793.2                 ,4765.5                 ,4887.2                 ,5439.2                 ,5428.3                 ,5406.4                 ,5446.0                 ,5412.1                 ,5369.4                 ,436.0                   ,450.3                   ,447.9                   ,474.6                   ,473.1                   ,483.2                   ,460.1                   ,453.4                   ,459.6                   ,444.8                   ,455.0                   ,634.8                   ,616.3                   ,620.7                   ,613.9                   ,621.0                   ,681.9                   ,671.5                   ,671.7                   ,637.4                   ,647.2                   ,624.2                   ,212.0                   ,217.5                   ,223.4                   ,209.1                   ,207.1                   ,257.0                   ,256.4                   ,255.0                   ,259.5                   ,254.6                   ,241.6                   ,396.8                   ,399.3                   ,435.6                   ,451.7                   ,445.3                   ,505.8                   ,543.3                   ,516.7                   ,528.2                   ,559.8                   ,560.4                   ,695.7                   ,716.8                   ,738.2                   ,737.2                   ,800.8                   ,879.5                   ,880.2                   ,840.6                   ,886.8                   ,917.2                   ,905.6                   ,197.8                   ,199.5                   ,207.0                   ,201.3                   ,218.9                   ,241.3                   ,234.2                   ,238.8                   ,237.9                   ,219.6                   ,215.4                   ,847.7                   ,884.7                   ,919.8                   ,934.5                   ,972.2                   ,1100.9                 ,1112.4                 ,1135.4                 ,1114.2                 ,1056.7                 ,1085.0                 ,781.8                   ,775.3                   ,804.0                   ,807.4                   ,849.5                   ,971.4                   ,955.1                   ,935.5                   ,980.5                   ,1002.6                 ,1014.7                 ,1171.4                 ,1214.9                 ,1226.0                 ,1352.0                 ,1389.9                 ,1489.6                 ,1454.8                 ,1579.1                 ,1561.8                 ,1497.9                 ,1497.0                 ,426.3                   ,406.7                   ,448.5                   ,469.5                   ,479.7                   ,603.6                   ,629.8                   ,633.1                   ,616.2                   ,622.2                   ,614.8                   ,608.2                   ,611.6                   ,626.6                   ,665.8                   ,680.5                   ,724.5                   ,718.6                   ,711.1                   ,725.6                   ,698.3                   ,716.2                   ,805.9                   ,961.6                   ,1045.9                 ,1107.1                 ,1126.5                 ,1320.8                 ,1377.3                 ,1466.2                 ,1542.4                 ,1529.8                 ,1615.4                 ,2262.1                 ,2491.3                 ,2698.2                 ,2728.9                 ,2764.2                 ,3233.3                 ,3270.0                 ,3297.9                 ,3276.7                 ,3358.0                 ,3554.3                 
"Canada",1082.7                 ,1085.5                 ,1116.1                 ,1144.8                 ,1128.6                 ,1194.7                 ,1158.6                 ,1201.9                 ,1218.0                 ,1223.1                 ,1207.2                 ,19.0                    ,20.3                    ,22.8                    ,37.7                    ,32.6                    ,29.8                    ,26.1                    ,23.0                    ,22.6                    ,20.7                    ,18.8                    ,297.6                   ,298.2                   ,287.3                   ,281.2                   ,267.5                   ,301.2                   ,283.4                   ,289.9                   ,301.8                   ,300.1                   ,275.8                   ,33.5                    ,34.4                    ,35.1                    ,36.1                    ,35.1                    ,37.5                    ,31.3                    ,30.8                    ,31.7                    ,32.4                    ,32.5                    ,35.6                    ,35.4                    ,32.7                    ,31.3                    ,31.5                    ,30.6                    ,28.7                    ,29.8                    ,30.7                    ,29.1                    ,29.0                    ,19.2                    ,18.7                    ,16.1                    ,15.9                    ,14.9                    ,19.9                    ,19.0                    ,19.2                    ,17.7                    ,18.4                    ,18.1                    ,19.1                    ,18.5                    ,19.7                    ,20.4                    ,20.1                    ,25.6                    ,25.2                    ,23.2                    ,22.6                    ,26.2                    ,26.0                    ,20.2                    ,20.3                    ,22.4                    ,21.9                    ,19.3                    ,23.3                    ,24.9                    ,25.3                    ,25.9                    ,25.4                    ,24.8                    ,4.7                     ,5.6                     ,5.8                     ,7.5                     ,7.6                     ,8.0                     ,7.9                     ,8.5                     ,8.6                     ,8.5                     ,7.7                     ,70.9                    ,74.4                    ,64.0                    ,63.7                    ,63.5                    ,70.2                    ,64.8                    ,64.9                    ,66.7                    ,64.2                    ,64.2                    ,87.2                    ,85.8                    ,86.4                    ,87.3                    ,86.3                    ,100.4                   ,103.9                   ,101.8                   ,103.6                   ,106.6                   ,106.7                   ,310.9                   ,317.8                   ,364.8                   ,386.2                   ,358.5                   ,332.9                   ,340.1                   ,384.4                   ,384.7                   ,379.8                   ,381.7                   ,23.0                    ,23.0                    ,23.7                    ,23.1                    ,23.6                    ,27.6                    ,26.7                    ,28.4                    ,28.5                    ,28.4                    ,28.8                    ,42.4                    ,36.7                    ,36.8                    ,34.9                    ,35.8                    ,38.8                    ,37.0                    ,38.1                    ,38.2                    ,38.8                    ,35.5                    ,68.7                    ,69.0                    ,64.9                    ,65.1                    ,67.3                    ,67.2                    ,73.8                    ,74.5                    ,79.2                    ,83.6                    ,87.2                    ,233.8                   ,234.6                   ,229.3                   ,229.2                   ,256.9                   ,296.9                   ,267.7                   ,261.8                   ,259.5                   ,265.1                   ,272.7                   
"Europe",4137.4                 ,4080.8                 ,4204.0                 ,4181.8                 ,4184.0                 ,4628.3                 ,4644.4                 ,4729.5                 ,4774.5                 ,4792.5                 ,4873.8                 ,35.3                    ,35.7                    ,38.9                    ,43.9                    ,47.0                    ,52.5                    ,49.8                    ,48.0                    ,51.8                    ,50.0                    ,53.8                    ,1802.0                 ,1744.3                 ,1782.5                 ,1736.4                 ,1732.8                 ,1889.2                 ,1879.2                 ,1891.4                 ,1884.3                 ,1855.5                 ,1857.0                 ,134.8                   ,133.6                   ,130.1                   ,130.7                   ,129.0                   ,132.0                   ,126.7                   ,128.0                   ,142.9                   ,143.7                   ,141.2                   ,295.0                   ,264.4                   ,261.0                   ,259.1                   ,267.6                   ,303.2                   ,296.0                   ,299.4                   ,276.4                   ,283.3                   ,274.3                   ,122.3                   ,120.6                   ,123.2                   ,113.0                   ,109.5                   ,121.2                   ,119.2                   ,116.6                   ,120.8                   ,123.0                   ,113.6                   ,190.8                   ,185.9                   ,207.1                   ,207.6                   ,206.7                   ,226.5                   ,254.9                   ,234.5                   ,233.0                   ,241.7                   ,237.2                   ,185.2                   ,182.9                   ,183.8                   ,185.4                   ,177.1                   ,194.4                   ,191.4                   ,188.4                   ,210.3                   ,213.6                   ,215.0                   ,69.5                    ,68.7                    ,68.2                    ,65.0                    ,64.4                    ,80.6                    ,77.2                    ,77.4                    ,71.2                    ,70.2                    ,68.9                    ,393.3                   ,372.1                   ,372.1                   ,359.8                   ,364.1                   ,380.4                   ,379.6                   ,404.2                   ,377.8                   ,335.8                   ,339.6                   ,374.1                   ,366.5                   ,371.5                   ,382.4                   ,386.4                   ,406.1                   ,378.0                   ,390.0                   ,401.9                   ,411.6                   ,409.9                   ,309.1                   ,337.5                   ,328.0                   ,373.0                   ,384.5                   ,403.2                   ,394.0                   ,458.3                   ,407.1                   ,404.7                   ,385.7                   ,174.8                   ,158.5                   ,163.6                   ,172.1                   ,169.4                   ,218.3                   ,224.7                   ,224.7                   ,232.9                   ,238.3                   ,232.5                   ,235.5                   ,242.9                   ,245.1                   ,243.2                   ,233.6                   ,252.6                   ,242.8                   ,239.8                   ,238.2                   ,244.3                   ,263.4                   ,301.8                   ,287.0                   ,297.4                   ,300.9                   ,298.0                   ,354.6                   ,389.9                   ,416.8                   ,442.0                   ,447.8                   ,466.7                   ,905.0                   ,908.4                   ,976.9                   ,929.9                   ,932.2                   ,1051.9                 ,1086.0                 ,1060.5                 ,1116.4                 ,1140.2                 ,1204.7                 
"  Austria",41.0                    ,40.3                    ,43.8                    ,46.1                    ,46.1                    ,47.9                    ,49.9                    ,47.9                    ,49.8                    ,47.0                    ,43.9                    ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,"(*)","A","(*)","(*)","(*)","(*)",22.9                    ,22.2                    ,23.8                    ,24.7                    ,25.2                    ,26.2                    ,24.4                    ,24.3                    ,24.9                    ,22.7                    ,18.4                    ,1.4                     ,1.3                     ,1.5                     ,1.5                     ,1.2                     ,1.2                     ,1.1                     ,1.2                     ,1.2                     ,1.2                     ,1.2                     ,2.3                     ,2.2                     ,2.1                     ,1.9                     ,1.9                     ,1.9                     ,1.7                     ,4.9                     ,5.3                     ,6.0                     ,6.1                     ,0.5                     ,0.4                     ,0.6                     ,0.6                     ,0.9                     ,1.1                     ,0.8                     ,1.0                     ,1.0                     ,1.0                     ,0.9                     ,3.2                     ,3.2                     ,3.8                     ,3.9                     ,3.7                     ,3.3                     ,3.6                     ,3.5                     ,3.1                     ,3.2                     ,2.8                     ,2.6                     ,2.4                     ,2.4                     ,2.3                     ,2.3                     ,1.9                     ,1.8                     ,1.8                     ,2.1                     ,2.1                     ,2.0                     ,1.8                     ,1.9                     ,2.1                     ,2.1                     ,2.1                     ,"G","G","G","G","G",1.1                     ,5.1                     ,5.1                     ,4.4                     ,4.8                     ,5.6                     ,6.8                     ,6.0                     ,5.8                     ,5.7                     ,3.8                     ,1.7                     ,6.4                     ,6.0                     ,6.0                     ,6.1                     ,6.1                     ,5.7                     ,5.6                     ,3.7                     ,3.7                     ,4.4                     ,4.8                     ,1.0                     ,1.1                     ,1.1                     ,1.2                     ,1.2                     ,2.1                     ,2.2                     ,2.2                     ,3.6                     ,3.3                     ,3.6                     ,1.5                     ,1.4                     ,1.4                     ,1.4                     ,1.4                     ,1.5                     ,1.5                     ,1.5                     ,1.9                     ,1.0                     ,0.8                     ,1.0                     ,0.6                     ,0.6                     ,0.7                     ,0.8                     ,1.0                     ,"H",4.5                     ,4.1                     ,4.2                     ,4.2                     ,2.1                     ,2.7                     ,2.8                     ,2.7                     ,2.6                     ,2.9                     ,3.1                     ,4.5                     ,4.2                     ,4.1                     ,4.1                     ,6.0                     ,6.2                     ,8.1                     ,9.2                     ,8.8                     ,8.4                     ,"I",7.2                     ,7.5                     ,7.1                     ,8.0                     
"  Belgium",135.8                   ,132.5                   ,132.2                   ,130.5                   ,125.9                   ,129.6                   ,130.1                   ,123.5                   ,123.7                   ,125.0                   ,124.4                   ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.6                     ,0.6                     ,0.6                     ,70.8                    ,64.1                    ,63.8                    ,62.2                    ,60.7                    ,61.9                    ,58.6                    ,59.8                    ,57.3                    ,56.5                    ,54.3                    ,7.2                     ,6.8                     ,7.1                     ,7.3                     ,5.7                     ,6.4                     ,5.0                     ,5.2                     ,4.0                     ,4.1                     ,4.1                     ,17.2                    ,17.8                    ,17.7                    ,17.4                    ,18.9                    ,18.5                    ,18.9                    ,19.4                    ,18.8                    ,17.8                    ,18.2                    ,3.4                     ,3.2                     ,2.5                     ,2.4                     ,2.3                     ,3.2                     ,3.1                     ,3.1                     ,1.8                     ,1.8                     ,1.7                     ,7.2                     ,7.3                     ,7.3                     ,7.4                     ,7.2                     ,7.8                     ,8.5                     ,6.5                     ,6.0                     ,6.7                     ,4.5                     ,1.2                     ,1.2                     ,2.3                     ,2.8                     ,1.7                     ,2.4                     ,3.0                     ,3.9                     ,3.1                     ,3.3                     ,3.0                     ,1.5                     ,1.4                     ,1.3                     ,0.6                     ,0.4                     ,0.4                     ,0.2                     ,0.5                     ,0.5                     ,0.2                     ,0.4                     ,17.6                    ,12.7                    ,10.5                    ,9.8                     ,9.7                     ,8.9                     ,5.5                     ,6.4                     ,6.2                     ,5.7                     ,4.8                     ,15.8                    ,15.6                    ,15.0                    ,16.0                    ,16.3                    ,14.8                    ,15.4                    ,12.3                    ,11.4                    ,11.6                    ,13.8                    ,2.2                     ,1.6                     ,1.6                     ,1.7                     ,1.5                     ,2.2                     ,2.2                     ,2.2                     ,2.5                     ,2.4                     ,1.9                     ,4.2                     ,3.9                     ,4.0                     ,4.0                     ,3.9                     ,4.0                     ,4.1                     ,5.1                     ,5.2                     ,5.2                     ,5.1                     ,5.5                     ,6.2                     ,5.9                     ,5.6                     ,4.9                     ,6.9                     ,7.2                     ,7.0                     ,6.5                     ,6.8                     ,7.4                     ,9.2                     ,8.8                     ,9.1                     ,9.0                     ,8.6                     ,8.1                     ,8.0                     ,8.9                     ,9.3                     ,9.5                     ,10.1                    ,27.8                    ,32.2                    ,32.8                    ,32.0                    ,30.0                    ,31.6                    ,34.6                    ,28.1                    ,30.9                    ,32.4                    ,31.2                    
"  Czech Republic",72.0                    ,80.2                    ,86.0                    ,84.9                    ,84.8                    ,93.8                    ,94.4                    ,87.4                    ,85.4                    ,78.9                    ,72.9                    ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,0.0                     ,51.1                    ,51.5                    ,52.1                    ,49.8                    ,45.1                    ,52.3                    ,53.3                    ,56.9                    ,55.6                    ,49.3                    ,44.6                    ,"G","G","G",2.0                     ,1.9                     ,1.8                     ,1.6                     ,1.5                     ,1.6                     ,1.6                     ,1.5                     ,2.9                     ,3.0                     ,2.9                     ,2.8                     ,3.0                     ,3.5                     ,3.4                     ,3.1                     ,3.0                     ,3.3                     ,2.2                     ,1.8                     ,1.7                     ,1.4                     ,1.4                     ,1.5                     ,2.3                     ,2.6                     ,3.2                     ,3.7                     ,3.4                     ,3.8                     ,4.1                     ,5.1                     ,5.2                     ,5.8                     ,5.6                     ,5.4                     ,6.8                     ,6.3                     ,7.3                     ,6.1                     ,4.3                     ,7.4                     ,8.5                     ,8.3                     ,7.9                     ,5.9                     ,7.3                     ,7.5                     ,7.1                     ,8.2                     ,8.2                     ,8.8                     ,3.1                     ,3.0                     ,2.7                     ,2.6                     ,2.3                     ,3.2                     ,2.1                     ,"G","G","G",1.8                     ,21.1                    ,20.7                    ,21.6                    ,19.5                    ,16.9                    ,19.4                    ,19.7                    ,23.3                    ,19.2                    ,15.4                    ,13.2                    ,6.0                     ,6.4                     ,6.5                     ,7.6                     ,7.5                     ,8.1                     ,4.9                     ,4.1                     ,4.2                     ,3.9                     ,2.8                     ,0.6                     ,0.7                     ,0.7                     ,0.7                     ,0.7                     ,1.0                     ,1.1                     ,1.1                     ,0.7                     ,0.7                     ,1.1                     ,1.9                     ,1.9                     ,2.0                     ,2.3                     ,2.4                     ,2.0                     ,1.8                     ,1.7                     ,1.7                     ,1.6                     ,1.3                     ,5.0                     ,5.9                     ,4.7                     ,4.5                     ,4.3                     ,4.0                     ,3.9                     ,1.0                     ,0.8                     ,0.8                     ,1.6                     ,2.0                     ,2.0                     ,2.4                     ,2.5                     ,2.5                     ,4.3                     ,7.7                     ,8.9                     ,8.9                     ,8.7                     ,6.9                     ,5.5                     ,11.6                    ,17.5                    ,17.6                    ,22.3                    ,22.2                    ,21.7                    ,13.7                    ,13.6                    ,13.8                    ,14.5                    
"  Denmark",34.2                    ,32.6                    ,32.0                    ,34.4                    ,39.9                    ,44.9                    ,40.8                    ,40.3                    ,40.8                    ,44.5                    ,41.1                    ,0.3                     ,0.3                     ,0.3                     ,0.3                     ,0.4                     ,0.3                     ,0.2                     ,0.2                     ,0.2                     ,0.2                     ,0.2                     ,14.0                    ,13.2                    ,11.6                    ,12.0                    ,19.0                    ,21.9                    ,21.6                    ,21.1                    ,23.0                    ,27.2                    ,26.0                    ,1.3                     ,1.4                     ,0.5                     ,0.3                     ,0.4                     ,0.9                     ,0.9                     ,0.8                     ,8.8                     ,9.3                     ,9.0                     ,1.5                     ,1.5                     ,0.8                     ,1.0                     ,8.2                     ,9.4                     ,9.9                     ,9.2                     ,2.3                     ,6.2                     ,5.5                     ,0.8                     ,0.8                     ,1.0                     ,1.0                     ,0.8                     ,1.1                     ,1.1                     ,1.2                     ,1.2                     ,1.2                     ,1.3                     ,4.4                     ,2.8                     ,2.7                     ,3.2                     ,3.6                     ,4.4                     ,4.4                     ,4.4                     ,5.3                     ,5.2                     ,5.1                     ,1.0                     ,1.4                     ,1.6                     ,2.2                     ,2.1                     ,2.3                     ,2.3                     ,2.3                     ,2.3                     ,2.1                     ,1.9                     ,0.3                     ,0.3                     ,0.3                     ,0.3                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,"(*)",0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,0.1                     ,3.9                     ,3.8                     ,4.3                     ,4.2                     ,4.2                     ,4.5                     ,4.2                     ,4.2                     ,4.0                     ,4.0                     ,3.7                     ,0.9                     ,0.9                     ,1.2                     ,1.1                     ,1.2                     ,1.1                     ,1.2                     ,1.1                     ,1.1                     ,1.0                     ,1.3                     ,0.9                     ,0.9                     ,0.9                     ,4.3                     ,4.1                     ,4.3                     ,4.1                     ,4.4                     ,4.4                     ,3.9                     ,1.7                     ,0.5                     ,0.5                     ,0.7                     ,0.7                     ,0.8                     ,3.5                     ,0.8                     ,0.7                     ,0.6                     ,0.6                     ,0.5                     ,8.5                     ,7.9                     ,7.8                     ,7.4                     ,6.5                     ,4.8                     ,4.3                     ,3.9                     ,3.2                     ,3.4                     ,4.8                     ,5.3                     ,5.1                     ,5.3                     ,4.3                     ,3.8                     ,4.6                     ,4.3                     ,4.7                     ,4.4                     ,4.1                     ,2.9                     
