"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,Majority-owned Nonbank Foreign Affiliates (data up to 2008),Capital Expenditures" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"All Countries Total",113304                 ,110637                 ,110758                 ,110275                 ,109588                 ,123479                 ,130140                 ,155078                 ,170544                 ,178051                 ,20492                  ,17627                  ,22900                  ,28682                  ,28909                  ,30059                  ,38354                  ,43244                  ,43729                  ,58064                  ,6976                   ,4010                   ,5090                   ,3823                   ,3437                   ,2620                   ,2650                   ,3052                   ,3736                   ,3765                   ,47545                  ,47432                  ,46125                  ,43679                  ,44149                  ,51012                  ,51602                  ,57440                  ,62359                  ,62214                  ,2917                   ,2700                   ,2787                   ,2573                   ,3657                   ,3744                   ,3296                   ,3517                   ,4502                   ,4867                   ,10962                  ,9842                   ,10428                  ,9889                   ,8787                   ,9676                   ,8332                   ,10644                  ,12606                  ,14339                  ,2463                   ,2131                   ,1520                   ,1540                   ,1561                   ,1989                   ,2842                   ,3937                   ,4465                   ,4229                   ,1799                   ,1468                   ,1392                   ,1451                   ,1440                   ,1544                   ,1744                   ,2330                   ,2760                   ,3024                   ,8708                   ,9949                   ,7977                   ,6205                   ,5858                   ,6885                   ,8206                   ,8091                   ,7455                   ,6873                   ,1146                   ,1103                   ,1036                   ,916                     ,1049                   ,1233                   ,1302                   ,1483                   ,1469                   ,1398                   ,9582                   ,8681                   ,9677                   ,10324                  ,10075                  ,11897                  ,12767                  ,13693                  ,12991                  ,11433                  ,6443                   ,7829                   ,7184                   ,5514                   ,5969                   ,6513                   ,6621                   ,7194                   ,7484                   ,7569                   ,8483                   ,9982                   ,7377                   ,5812                   ,3912                   ,4097                   ,3889                   ,5803                   ,6744                   ,7277                   ,4424                   ,4762                   ,6086                   ,7171                   ,9086                   ,7005                   ,7540                   ,9612                   ,9481                   ,3945                   ,3686                   ,4139                   ,3533                   ,2539                   ,2672                   ,3699                   ,3121                   ,3757                   ,4279                   ,4077                   ,15255                  ,14856                  ,12462                  ,13054                  ,11453                  ,18475                  ,16363                  ,24977                  ,32731                  ,31140                  
"Canada",13962                  ,17638                  ,18309                  ,16941                  ,20404                  ,24548                  ,26200                  ,27508                  ,24820                  ,21845                  ,2296                   ,3022                   ,5264                   ,4080                   ,5336                   ,6651                   ,8135                   ,8531                   ,7423                   ,8741                   ,132                     ,96                      ,151                     ,147                     ,390                     ,"(D)",616                     ,"(D)",488                     ,563                     ,5477                   ,8039                   ,7462                   ,7372                   ,7226                   ,8590                   ,7580                   ,7835                   ,6685                   ,6187                   ,324                     ,320                     ,350                     ,355                     ,335                     ,337                     ,479                     ,356                     ,374                     ,443                     ,748                     ,927                     ,755                     ,499                     ,602                     ,582                     ,600                     ,819                     ,835                     ,817                     ,191                     ,193                     ,154                     ,162                     ,180                     ,"(D)",181                     ,236                     ,215                     ,165                     ,108                     ,136                     ,107                     ,106                     ,133                     ,92                      ,83                      ,81                      ,137                     ,138                     ,241                     ,"(D)","(D)",117                     ,260                     ,312                     ,45                      ,65                      ,78                      ,61                      ,117                     ,72                      ,54                      ,26                      ,26                      ,"(D)",20                      ,32                      ,58                      ,47                      ,1876                   ,2389                   ,2139                   ,3003                   ,2485                   ,3796                   ,4002                   ,4042                   ,2765                   ,2423                   ,869                     ,1124                   ,769                     ,597                     ,1253                   ,1029                   ,1221                   ,1396                   ,1418                   ,1302                   ,344                     ,167                     ,176                     ,183                     ,125                     ,116                     ,87                      ,105                     ,184                     ,159                     ,1056                   ,1957                   ,2090                   ,"(D)","(D)","(D)","(D)","(D)",3953                   ,553                     ,260                     ,393                     ,230                     ,84                      ,98                      ,165                     ,350                     ,410                     ,523                     ,346                     ,3528                   ,2840                   ,2165                   ,"(D)","(D)",4033                   ,"(D)",3601                   ,4146                   ,3994                   
"Europe",55615                  ,51873                  ,50254                  ,52373                  ,50062                  ,54164                  ,54337                  ,63663                  ,74761                  ,70364                  ,8010                   ,6107                   ,6000                   ,9693                   ,8743                   ,7606                   ,10163                  ,10227                  ,10877                  ,13545                  ,4082                   ,1344                   ,1578                   ,945                     ,976                     ,990                     ,754                     ,906                     ,1300                   ,1671                   ,23544                  ,22455                  ,23063                  ,22663                  ,23983                  ,26138                  ,25167                  ,27510                  ,31354                  ,29262                  ,1333                   ,1242                   ,1234                   ,1356                   ,2475                   ,2494                   ,1502                   ,1807                   ,2562                   ,2582                   ,5903                   ,5434                   ,5863                   ,6308                   ,5578                   ,6176                   ,5183                   ,6165                   ,7109                   ,7055                   ,1330                   ,922                     ,881                     ,862                     ,949                     ,1280                   ,1598                   ,2358                   ,2646                   ,1895                   ,959                     ,831                     ,811                     ,866                     ,910                     ,1004                   ,1022                   ,1532                   ,1702                   ,1782                   ,3342                   ,3839                   ,3890                   ,2534                   ,2859                   ,2034                   ,2987                   ,2633                   ,3090                   ,2486                   ,641                     ,739                     ,685                     ,632                     ,720                     ,831                     ,704                     ,799                     ,647                     ,609                     ,5133                   ,4377                   ,5107                   ,5224                   ,5171                   ,5513                   ,5656                   ,5734                   ,6005                   ,5146                   ,3397                   ,4001                   ,3980                   ,3073                   ,2830                   ,3597                   ,3300                   ,3580                   ,3770                   ,3614                   ,5916                   ,6264                   ,4984                   ,3768                   ,2384                   ,2878                   ,2851                   ,4189                   ,4329                   ,4351                   ,2162                   ,1896                   ,2839                   ,3673                   ,4147                   ,2021                   ,1510                   ,3656                   ,3902                   ,1794                   ,1941                   ,2469                   ,2037                   ,1622                   ,1854                   ,2173                   ,1771                   ,2177                   ,2291                   ,2173                   ,6564                   ,7337                   ,5774                   ,6937                   ,5147                   ,8760                   ,8819                   ,11418                  ,16937                  ,13954                  
"  Austria",798                     ,631                     ,484                     ,453                     ,609                     ,804                     ,499                     ,539                     ,675                     ,724                     ,0                       ,0                       ,0                       ,0                       ,0                       ,"(*)","(*)","(*)","(*)","(*)",0                       ,0                       ,0                       ,1                       ,"(D)",2                       ,"(*)",1                       ,0                       ,0                       ,336                     ,322                     ,263                     ,179                     ,293                     ,330                     ,262                     ,302                     ,375                     ,462                     ,14                      ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",13                      ,11                      ,25                      ,6                       ,43                      ,47                      ,52                      ,29                      ,31                      ,29                      ,41                      ,18                      ,"(D)",4                       ,"(D)",4                       ,4                       ,3                       ,2                       ,1                       ,1                       ,7                       ,5                       ,8                       ,5                       ,5                       ,6                       ,4                       ,4                       ,8                       ,29                      ,36                      ,"(D)",49                      ,"(D)",38                      ,50                      ,30                      ,"(D)","(D)","(D)","(D)","(*)",1                       ,"(D)",3                       ,1                       ,3                       ,9                       ,5                       ,8                       ,"(D)",139                     ,196                     ,68                      ,18                      ,25                      ,"(D)",136                     ,107                     ,103                     ,106                     ,66                      ,41                      ,34                      ,24                      ,23                      ,38                      ,38                      ,36                      ,48                      ,41                      ,"(D)",157                     ,135                     ,103                     ,108                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",18                      ,"(D)","(D)","(D)","(D)","(D)","(D)",1                       ,38                      ,56                      ,14                      ,10                      ,9                       ,23                      ,18                      ,20                      ,14                      ,12                      ,40                      ,"(D)",21                      ,"(D)","(D)",180                     ,45                      ,53                      ,65                      ,"(D)"
"  Belgium",1437                   ,2078                   ,1255                   ,1512                   ,1776                   ,1596                   ,1361                   ,1855                   ,2472                   ,2766                   ,0                       ,0                       ,0                       ,0                       ,"(*)",2                       ,2                       ,1                       ,1                       ,"(*)",0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,987                     ,1231                   ,808                     ,1043                   ,1388                   ,1183                   ,961                     ,1204                   ,1739                   ,1804                   ,75                      ,165                     ,122                     ,164                     ,115                     ,127                     ,49                      ,93                      ,154                     ,169                     ,415                     ,351                     ,433                     ,507                     ,524                     ,412                     ,438                     ,475                     ,772                     ,677                     ,9                       ,13                      ,14                      ,9                       ,13                      ,17                      ,32                      ,43                      ,77                      ,105                     ,36                      ,44                      ,32                      ,36                      ,44                      ,70                      ,67                      ,93                      ,111                     ,121                     ,6                       ,2                       ,2                       ,2                       ,3                       ,5                       ,"(D)",4                       ,2                       ,"(D)",40                      ,36                      ,24                      ,29                      ,31                      ,40                      ,"(D)",30                      ,35                      ,38                      ,228                     ,55                      ,33                      ,"(D)",437                     ,235                     ,104                     ,118                     ,104                     ,55                      ,127                     ,248                     ,192                     ,135                     ,127                     ,85                      ,109                     ,245                     ,284                     ,250                     ,146                     ,275                     ,23                      ,16                      ,21                      ,24                      ,33                      ,34                      ,69                      ,"(D)",28                      ,8                       ,17                      ,21                      ,10                      ,48                      ,45                      ,47                      ,57                      ,42                      ,81                      ,86                      ,96                      ,86                      ,88                      ,130                     ,104                     ,87                      ,67                      ,75                      ,68                      ,229                     ,120                     ,211                     ,142                     ,125                     ,107                     ,236                     ,255                     ,"(D)"
"  Czech Republic",324                     ,299                     ,334                     ,271                     ,267                     ,508                     ,422                     ,494                     ,685                     ,714                     ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,"(D)","(D)","(D)",9                       ,5                       ,"(D)",7                       ,"(*)",6                       ,7                       ,143                     ,208                     ,251                     ,215                     ,217                     ,390                     ,310                     ,338                     ,357                     ,429                     ,1                       ,2                       ,2                       ,4                       ,4                       ,"(D)",6                       ,4                       ,5                       ,"(D)",13                      ,33                      ,49                      ,38                      ,30                      ,34                      ,49                      ,68                      ,62                      ,87                      ,10                      ,18                      ,"(D)",12                      ,7                       ,7                       ,9                       ,12                      ,12                      ,12                      ,6                       ,6                       ,6                       ,7                       ,12                      ,50                      ,28                      ,18                      ,14                      ,12                      ,17                      ,59                      ,64                      ,24                      ,22                      ,56                      ,16                      ,21                      ,32                      ,53                      ,4                       ,4                       ,4                       ,7                       ,7                       ,14                      ,8                       ,17                      ,5                       ,8                       ,74                      ,60                      ,74                      ,83                      ,99                      ,166                     ,125                     ,147                     ,187                     ,173                     ,22                      ,15                      ,10                      ,7                       ,11                      ,45                      ,30                      ,28                      ,38                      ,39                      ,5                       ,"(D)","(D)",6                       ,6                       ,"(D)","(D)","(D)","(D)","(D)",1                       ,"(D)",5                       ,"(D)","(D)",5                       ,3                       ,2                       ,3                       ,2                       ,2                       ,8                       ,2                       ,2                       ,2                       ,1                       ,"(D)","(D)",2                       ,3                       ,"(D)","(D)",7                       ,"(D)","(D)",34                      ,29                      ,75                      ,"(D)","(D)"
