"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,Majority-owned Nonbank Foreign Affiliates (data up to 2008),Net Income" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"All Countries Total",162759                 ,199864                 ,177317                 ,212564                 ,325684                 ,450760                 ,597261                 ,667349                 ,766006                 ,854673                 ,10646                  ,19213                  ,14502                  ,14283                  ,23348                  ,33293                  ,48149                  ,60351                  ,70002                  ,91360                  ,3201                   ,2499                   ,1536                   ,-1722                  ,1558                   ,1997                   ,2291                   ,1968                   ,2109                   ,2701                   ,54246                  ,65524                  ,49937                  ,50830                  ,68827                  ,78241                  ,95674                  ,115613                 ,140943                 ,129476                 ,3378                   ,3325                   ,3746                   ,3280                   ,5306                   ,5544                   ,6341                   ,7789                   ,7148                   ,9695                   ,18957                  ,19698                  ,17424                  ,23478                  ,28162                  ,22011                  ,31635                  ,31455                  ,46374                  ,42815                  ,1815                   ,1981                   ,1494                   ,884                     ,2508                   ,3777                   ,2521                   ,4948                   ,5643                   ,5001                   ,2656                   ,2877                   ,2798                   ,2776                   ,3297                   ,4204                   ,5325                   ,7316                   ,13968                  ,13316                  ,8788                   ,15897                  ,8950                   ,5184                   ,6964                   ,11457                  ,15183                  ,22546                  ,19629                  ,17791                  ,1099                   ,1157                   ,782                     ,338                     ,996                     ,1122                   ,1731                   ,2682                   ,3823                   ,3526                   ,6233                   ,6556                   ,784                     ,753                     ,4098                   ,2807                   ,1122                   ,4731                   ,6640                   ,2484                   ,19045                  ,26832                  ,17347                  ,22622                  ,33867                  ,37344                  ,41212                  ,45976                  ,60521                  ,60988                  ,1420                   ,-91                     ,-14931                 ,-2838                  ,3459                   ,7048                   ,10086                  ,9302                   ,11797                  ,8676                   ,19245                  ,23240                  ,19155                  ,20182                  ,35053                  ,42022                  ,44442                  ,64214                  ,52597                  ,19627                  ,3812                   ,6972                   ,5410                   ,2752                   ,7122                   ,10749                  ,25499                  ,17392                  ,16056                  ,20655                  ,51145                  ,55676                  ,84361                  ,106455                 ,152450                 ,240067                 ,329908                 ,352533                 ,411981                 ,521190                 
"Canada",14874                  ,17727                  ,15639                  ,14040                  ,22340                  ,38806                  ,39228                  ,50135                  ,52634                  ,60203                  ,930                     ,1920                   ,1492                   ,1909                   ,5890                   ,6916                   ,11666                  ,14136                  ,10646                  ,16043                  ,157                     ,44                      ,93                      ,-92                     ,371                     ,290                     ,92                      ,-795                    ,-139                    ,-255                    ,8068                   ,9535                   ,6540                   ,5450                   ,6229                   ,9359                   ,7944                   ,10648                  ,10618                  ,5840                   ,482                     ,446                     ,492                     ,439                     ,629                     ,961                     ,883                     ,1043                   ,1056                   ,927                     ,1008                   ,1199                   ,1508                   ,1403                   ,1362                   ,950                     ,645                     ,2050                   ,3050                   ,2746                   ,338                     ,364                     ,458                     ,375                     ,388                     ,603                     ,387                     ,521                     ,1065                   ,1003                   ,272                     ,294                     ,341                     ,368                     ,371                     ,321                     ,389                     ,566                     ,573                     ,688                     ,502                     ,736                     ,337                     ,45                      ,322                     ,644                     ,506                     ,63                      ,277                     ,786                     ,142                     ,190                     ,81                      ,150                     ,100                     ,124                     ,162                     ,158                     ,98                      ,175                     ,3138                   ,3239                   ,1303                   ,747                     ,226                     ,1072                   ,678                     ,274                     ,-531                    ,-2520                  ,1103                   ,1286                   ,999                     ,639                     ,1460                   ,1749                   ,1997                   ,2262                   ,3109                   ,3148                   ,156                     ,45                      ,60                      ,97                      ,55                      ,262                     ,416                     ,509                     ,371                     ,473                     ,1296                   ,1301                   ,2287                   ,1724                   ,2954                   ,4184                   ,-1753                  ,5097                   ,5768                   ,11064                  ,148                     ,210                     ,-130                    ,-198                    ,-129                    ,150                     ,1304                   ,995                     ,947                     ,1356                   ,3016                   ,3388                   ,4297                   ,4513                   ,5509                   ,15897                  ,17561                  ,17283                  ,21314                  ,22534                  
"Europe",93292                  ,108136                 ,98146                  ,123126                 ,196791                 ,256885                 ,353805                 ,376482                 ,413907                 ,483239                 ,2876                   ,6645                   ,5302                   ,4671                   ,7978                   ,8374                   ,14044                  ,16050                  ,20691                  ,28749                  ,1627                   ,1406                   ,-195                    ,-1054                  ,181                     ,759                     ,629                     ,921                     ,837                     ,1459                   ,32287                  ,34138                  ,27656                  ,31234                  ,42599                  ,40443                  ,54903                  ,61073                  ,81296                  ,75092                  ,2161                   ,2107                   ,2456                   ,2676                   ,3169                   ,3206                   ,3954                   ,4596                   ,4224                   ,5573                   ,14273                  ,14715                  ,12287                  ,18308                  ,21189                  ,14590                  ,22856                  ,19079                  ,30965                  ,26375                  ,870                     ,780                     ,467                     ,-86                     ,1267                   ,1942                   ,804                     ,2556                   ,2451                   ,1916                   ,2016                   ,1660                   ,1758                   ,1605                   ,1750                   ,2300                   ,3348                   ,4723                   ,10301                  ,9042                   ,3564                   ,4815                   ,2643                   ,2044                   ,2448                   ,3524                   ,7687                   ,10565                  ,9028                   ,7955                   ,719                     ,571                     ,498                     ,-157                    ,310                     ,493                     ,748                     ,1598                   ,2250                   ,2422                   ,2516                   ,2005                   ,-97                     ,-1009                  ,2437                   ,-690                    ,-2321                  ,678                     ,1694                   ,-91                     ,13313                  ,17213                  ,8427                   ,10502                  ,18554                  ,20975                  ,24837                  ,27069                  ,31944                  ,31684                  ,1035                   ,-195                    ,-13473                 ,-1249                  ,2187                   ,4771                   ,6827                   ,6003                   ,7587                   ,4055                   ,8292                   ,10618                  ,6219                   ,5624                   ,15999                  ,16724                  ,19293                  ,23760                  ,6558                   ,-4024                  ,1136                   ,4206                   ,4301                   ,1147                   ,4626                   ,7488                   ,20081                  ,12507                  ,10879                  ,14066                  ,32727                  ,34104                  ,59910                  ,72251                  ,104667                 ,157351                 ,213192                 ,229099                 ,254114                 ,332159                 
"  Austria",588                     ,652                     ,482                     ,484                     ,1321                   ,1414                   ,8877                   ,3534                   ,3824                   ,4896                   ,"(*)","(*)","(*)","(*)","(*)","(*)","(*)","(*)","(*)","(*)",0                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)",0                       ,0                       ,410                     ,382                     ,285                     ,285                     ,353                     ,568                     ,537                     ,593                     ,814                     ,755                     ,45                      ,43                      ,30                      ,56                      ,56                      ,80                      ,55                      ,68                      ,97                      ,83                      ,24                      ,38                      ,22                      ,30                      ,27                      ,53                      ,63                      ,57                      ,85                      ,27                      ,14                      ,2                       ,1                       ,2                       ,4                       ,6                       ,18                      ,17                      ,39                      ,"(D)",10                      ,5                       ,21                      ,22                      ,32                      ,30                      ,106                     ,127                     ,195                     ,229                     ,66                      ,69                      ,55                      ,129                     ,163                     ,168                     ,94                      ,91                      ,108                     ,153                     ,"(D)","(D)","(D)","(D)","(D)",29                      ,9                       ,"(D)","(D)",116                     ,189                     ,147                     ,131                     ,23                      ,15                      ,119                     ,102                     ,98                      ,90                      ,34                      ,158                     ,189                     ,151                     ,169                     ,342                     ,252                     ,300                     ,274                     ,372                     ,491                     ,-13                     ,-46                     ,-76                     ,-104                    ,"(D)",76                      ,160                     ,3                       ,-143                    ,-163                    ,5                       ,"(D)","(*)",1                       ,"(D)",70                      ,141                     ,100                     ,120                     ,23                      ,-11                     ,33                      ,80                      ,27                      ,38                      ,33                      ,42                      ,77                      ,50                      ,-24                     ,40                      ,"(D)",43                      ,"(D)",534                     ,"(D)","(D)","(D)",2609                   ,3814                   
"  Belgium",2687                   ,6165                   ,5829                   ,5003                   ,6740                   ,7568                   ,16880                  ,13165                  ,14954                  ,14997                  ,"(D)","(*)","(*)","(*)",-1                      ,"(D)","(D)","(D)","(D)","(D)",0                       ,0                       ,0                       ,0                       ,0                       ,"(*)","(*)","(*)","(*)","(*)",1095                   ,1320                   ,1165                   ,1744                   ,1468                   ,1499                   ,2467                   ,2375                   ,2827                   ,1234                   ,45                      ,55                      ,70                      ,124                     ,114                     ,119                     ,259                     ,320                     ,276                     ,473                     ,806                     ,751                     ,732                     ,911                     ,636                     ,816                     ,1061                   ,1141                   ,1140                   ,270                     ,30                      ,42                      ,-27                     ,-9                      ,19                      ,32                      ,6                       ,43                      ,-11                     ,-29                     ,81                      ,57                      ,69                      ,50                      ,74                      ,99                      ,421                     ,111                     ,194                     ,128                     ,-12                     ,4                       ,4                       ,4                       ,35                      ,6                       ,6                       ,1                       ,-15                     ,-5                      ,18                      ,48                      ,35                      ,75                      ,-6                      ,-21                     ,41                      ,72                      ,48                      ,46                      ,4                       ,55                      ,20                      ,85                      ,57                      ,31                      ,82                      ,61                      ,39                      ,-23                     ,542                     ,392                     ,735                     ,661                     ,887                     ,721                     ,1786                   ,1281                   ,1688                   ,1267                   ,14                      ,34                      ,-212                    ,-174                    ,-118                    ,-62                     ,22                      ,61                      ,-26                     ,-37                     ,304                     ,581                     ,1232                   ,1325                   ,2142                   ,3147                   ,3010                   ,2700                   ,4567                   ,5490                   ,161                     ,2915                   ,2685                   ,1086                   ,1439                   ,1897                   ,9221                   ,5669                   ,5266                   ,6553                   ,"(D)",922                     ,224                     ,360                     ,922                     ,"(D)","(D)","(D)","(D)","(D)"
"  Czech Republic",127                     ,218                     ,345                     ,164                     ,402                     ,554                     ,971                     ,948                     ,845                     ,833                     ,"(*)","(*)","(*)","(*)","(*)","(D)","(D)","(D)",0                       ,0                       ,"(D)","(D)","(D)","(D)",-1                      ,"(D)","(D)","(D)","(D)","(D)",147                     ,131                     ,255                     ,308                     ,315                     ,371                     ,666                     ,483                     ,596                     ,617                     ,-1                      ,"(*)",1                       ,3                       ,5                       ,"(D)","(D)","(D)","(D)","(D)",16                      ,17                      ,25                      ,27                      ,-11                     ,8                       ,75                      ,66                      ,127                     ,125                     ,5                       ,8                       ,7                       ,9                       ,5                       ,6                       ,8                       ,14                      ,14                      ,12                      ,4                       ,4                       ,6                       ,1                       ,6                       ,4                       ,4                       ,42                      ,48                      ,89                      ,"(*)","(D)","(D)",14                      ,8                       ,18                      ,17                      ,22                      ,8                       ,41                      ,2                       ,2                       ,2                       ,3                       ,5                       ,12                      ,21                      ,22                      ,"(D)",5                       ,58                      ,28                      ,122                     ,124                     ,128                     ,131                     ,191                     ,215                     ,222                     ,228                     ,3                       ,83                      ,97                      ,35                      ,46                      ,79                      ,79                      ,114                     ,136                     ,106                     ,-11                     ,-21                     ,-23                     ,-125                    ,13                      ,38                      ,27                      ,23                      ,17                      ,-9                      ,3                       ,13                      ,20                      ,-3                      ,17                      ,38                      ,64                      ,60                      ,105                     ,137                     ,11                      ,16                      ,-12                     ,-7                      ,-4                      ,-24                     ,7                       ,17                      ,12                      ,17                      ,"(D)","(D)","(D)","(D)",16                      ,36                      ,124                     ,253                     ,"(D)","(D)"
