"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All Majority-owned Foreign Affiliates (data for 2009 and forward),Net Income" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Countries Total",778787                 ,1026365               ,1098520               ,1066376               ,1044636               ,1166223               ,1064921               ,1023223               ,1266171               ,1442282               ,1406661               ,47589                  ,77476                  ,90655                  ,74879                  ,77880                  ,58256                  ,4378                   ,-86                     ,24522                  ,43617                  ,37957                  ,105544                 ,162571                 ,195769                 ,179207                 ,165224                 ,176474                 ,223589                 ,194411                 ,236350                 ,246445                 ,173869                 ,8993                   ,9541                   ,9281                   ,9802                   ,9426                   ,8857                   ,7881                   ,6528                   ,15685                  ,8097                   ,10267                  ,47947                  ,53104                  ,63694                  ,64672                  ,47851                  ,54301                  ,58083                  ,63180                  ,65544                  ,79285                  ,31289                  ,-1282                  ,2145                   ,3349                   ,2132                   ,2110                   ,3326                   ,3858                   ,4053                   ,5499                   ,4846                   ,3970                   ,10608                  ,11681                  ,14480                  ,12935                  ,15575                  ,15882                  ,38168                  ,26633                  ,25911                  ,14257                  ,16842                  ,14481                  ,27723                  ,34344                  ,36197                  ,35006                  ,40845                  ,42501                  ,29726                  ,52135                  ,75285                  ,57062                  ,3801                   ,4815                   ,4566                   ,5098                   ,5030                   ,5391                   ,14891                  ,17184                  ,18342                  ,4708                   ,4087                   ,-5611                  ,6590                   ,12003                  ,796                     ,8120                   ,7727                   ,13842                  ,6254                   ,9674                   ,14743                  ,8604                   ,53983                  ,59589                  ,69914                  ,69973                  ,74515                  ,71689                  ,63413                  ,57842                  ,63480                  ,75460                  ,81753                  ,8741                   ,8779                   ,10673                  ,9257                   ,5552                   ,13654                  ,13622                  ,14957                  ,12182                  ,14986                  ,15022                  ,13260                  ,15362                  ,23357                  ,24817                  ,16541                  ,24801                  ,21929                  ,29453                  ,27904                  ,57649                  ,61503                  ,99458                  ,103945                 ,92008                  ,95676                  ,104332                 ,161243                 ,134338                 ,132150                 ,154466                 ,162849                 ,174727                 ,25722                  ,24844                  ,21241                  ,16717                  ,20828                  ,31449                  ,35534                  ,43727                  ,55193                  ,43995                  ,36388                  ,424490                 ,573800                 ,594904                 ,595851                 ,579765                 ,628656                 ,568118                 ,550767                 ,692072                 ,797280                 ,825440                 
"Canada",35181                  ,77847                  ,87740                  ,64754                  ,69512                  ,71035                  ,43517                  ,27755                  ,42351                  ,43938                  ,54233                  ,2170                   ,14165                  ,6264                   ,633                     ,6014                   ,59                      ,-1667                  ,-4647                  ,3694                   ,1219                   ,4189                   ,2352                   ,15061                  ,23769                  ,15691                  ,16912                  ,20586                  ,18544                  ,14177                  ,18015                  ,20431                  ,16472                  ,1041                   ,1489                   ,1520                   ,1297                   ,1533                   ,766                     ,951                     ,26                      ,1295                   ,-261                    ,1639                   ,2909                   ,3547                   ,3984                   ,4410                   ,4461                   ,5910                   ,3918                   ,3111                   ,3946                   ,3534                   ,3727                   ,-670                    ,-311                    ,273                     ,-444                    ,-792                    ,63                      ,"(D)",288                     ,458                     ,561                     ,403                     ,563                     ,526                     ,819                     ,812                     ,876                     ,1944                   ,1771                   ,512                     ,545                     ,452                     ,713                     ,-198                    ,422                     ,670                     ,665                     ,885                     ,479                     ,918                     ,571                     ,873                     ,914                     ,909                     ,94                      ,46                      ,222                     ,518                     ,857                     ,1361                   ,1089                   ,814                     ,833                     ,585                     ,202                     ,-3238                  ,-2555                  ,3301                   ,-185                    ,2344                   ,1727                   ,1983                   ,1774                   ,2391                   ,4330                   ,2045                   ,3120                   ,2372                   ,4006                   ,7493                   ,5839                   ,6175                   ,2880                   ,3870                   ,3202                   ,4477                   ,3705                   ,1692                   ,2169                   ,3797                   ,2644                   ,-72                     ,1541                   ,1543                   ,1727                   ,-439                    ,1066                   ,3000                   ,515                     ,529                     ,626                     ,1007                   ,1075                   ,1150                   ,1111                   ,1253                   ,1158                   ,1206                   ,960                     ,5258                   ,14707                  ,8089                   ,5550                   ,5317                   ,6452                   ,3872                   ,1833                   ,4493                   ,1085                   ,4734                   ,1189                   ,1442                   ,1611                   ,1854                   ,1836                   ,1752                   ,1622                   ,1372                   ,1430                   ,1061                   ,1268                   ,18886                  ,27403                  ,39577                  ,29882                  ,32592                  ,33321                  ,15612                  ,8170                   ,10797                  ,13394                  ,19904                  
"Europe",469949                 ,590196                 ,603152                 ,608095                 ,588052                 ,649657                 ,669603                 ,664860                 ,796504                 ,870765                 ,908169                 ,14666                  ,19064                  ,26064                  ,21378                  ,22814                  ,15803                  ,6237                   ,4029                   ,7575                   ,12686                  ,15314                  ,62540                  ,86583                  ,99465                  ,95782                  ,85347                  ,87382                  ,133935                 ,121250                 ,138080                 ,108285                 ,100467                 ,5159                   ,4671                   ,3413                   ,4026                   ,3554                   ,3502                   ,4593                   ,3567                   ,11158                  ,4201                   ,4321                   ,29274                  ,28659                  ,38521                  ,42761                  ,27972                  ,30519                  ,33237                  ,41581                  ,39930                  ,44249                  ,39474                  ,-1056                  ,1423                   ,1960                   ,1444                   ,1873                   ,2247                   ,2221                   ,2113                   ,2482                   ,1800                   ,946                     ,8047                   ,7465                   ,8636                   ,7165                   ,8481                   ,7927                   ,32135                  ,20842                  ,19160                  ,7525                   ,9404                   ,7188                   ,17656                  ,18129                  ,19126                  ,19674                  ,20105                  ,20477                  ,16311                  ,25740                  ,25630                  ,26588                  ,2538                   ,3058                   ,2619                   ,2716                   ,2405                   ,2351                   ,12232                  ,14970                  ,16125                  ,1951                   ,1504                   ,-3298                  ,1770                   ,2479                   ,-5448                  ,1313                   ,2938                   ,8328                   ,3127                   ,4423                   ,5410                   ,1856                   ,28139                  ,28846                  ,35132                  ,34749                  ,37867                  ,33913                  ,36046                  ,33491                  ,37386                  ,46403                  ,47844                  ,4751                   ,4010                   ,3991                   ,4189                   ,3732                   ,6738                   ,7159                   ,8353                   ,8182                   ,7720                   ,6016                   ,9472                   ,10368                  ,17266                  ,22177                  ,15902                  ,19935                  ,15294                  ,26705                  ,20240                  ,47771                  ,51923                  ,48049                  ,39257                  ,43722                  ,41451                  ,54617                  ,68950                  ,62687                  ,68082                  ,80490                  ,89075                  ,81808                  ,17732                  ,15738                  ,10862                  ,6259                   ,10207                  ,14691                  ,13008                  ,22193                  ,28459                  ,14200                  ,19178                  ,284599                 ,386330                 ,366651                 ,382110                 ,357566                 ,402245                 ,395238                 ,380757                 ,476093                 ,544624                 ,585620                 
"  Austria",2669                   ,3753                   ,2980                   ,2365                   ,3003                   ,4198                   ,2803                   ,2100                   ,1902                   ,1363                   ,1111                   ,1                       ,1                       ,1                       ,1                       ,3                       ,-1                      ,-1                      ,-1                      ,-1                      ,-1                      ,2                       ,628                     ,982                     ,843                     ,242                     ,751                     ,616                     ,"(D)",681                     ,907                     ,653                     ,607                     ,75                      ,67                      ,73                      ,"(D)",64                      ,"(D)",71                      ,93                      ,"(D)",59                      ,49                      ,65                      ,106                     ,120                     ,95                      ,78                      ,95                      ,96                      ,151                     ,215                     ,154                     ,225                     ,15                      ,-9                      ,7                       ,"(*)",19                      ,-4                      ,5                       ,19                      ,20                      ,20                      ,18                      ,153                     ,450                     ,275                     ,-103                    ,186                     ,166                     ,183                     ,178                     ,191                     ,170                     ,"(D)",113                     ,49                      ,"(D)",39                      ,48                      ,6                       ,8                       ,-89                     ,49                      ,36                      ,44                      ,69                      ,182                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",-8                      ,5                       ,2                       ,38                      ,-42                     ,150                     ,83                      ,77                      ,225                     ,196                     ,"(D)",-18                     ,349                     ,317                     ,234                     ,162                     ,88                      ,189                     ,118                     ,106                     ,103                     ,85                      ,195                     ,50                      ,32                      ,42                      ,44                      ,45                      ,44                      ,7                       ,27                      ,46                      ,42                      ,29                      ,"(D)",-45                     ,"(D)",-74                     ,-14                     ,89                      ,72                      ,63                      ,49                      ,79                      ,-3                      ,136                     ,1                       ,-1                      ,7                       ,-27                     ,50                      ,"(D)",71                      ,126                     ,-10                     ,-46                     ,44                      ,-75                     ,-68                     ,38                      ,75                      ,90                      ,62                      ,69                      ,57                      ,77                      ,129                     ,"(D)",2539                   ,"(D)",1944                   ,2082                   ,3121                   ,2594                   ,1083                   ,615                     ,439                     ,197                     
"  Belgium",14054                  ,18133                  ,11979                  ,10265                  ,9573                   ,13032                  ,7767                   ,13155                  ,9379                   ,9585                   ,11654                  ,3                       ,3                       ,3                       ,3                       ,4                       ,2                       ,3                       ,"(D)","(D)","(D)",-35                     ,604                     ,2951                   ,3247                   ,2827                   ,1945                   ,2034                   ,2645                   ,3568                   ,3252                   ,3241                   ,3206                   ,646                     ,291                     ,290                     ,186                     ,223                     ,251                     ,182                     ,168                     ,252                     ,130                     ,174                     ,-343                    ,947                     ,1608                   ,1217                   ,1320                   ,1621                   ,1483                   ,2721                   ,1910                   ,2218                   ,840                     ,-229                    ,182                     ,110                     ,64                      ,80                      ,132                     ,-3                      ,28                      ,-2                      ,46                      ,42                      ,-8                      ,186                     ,168                     ,146                     ,137                     ,114                     ,107                     ,108                     ,67                      ,111                     ,103                     ,-79                     ,39                      ,62                      ,115                     ,74                      ,31                      ,490                     ,-17                     ,-43                     ,33                      ,26                      ,34                      ,68                      ,44                      ,56                      ,-10                     ,35                      ,-31                     ,"(D)","(D)",15                      ,5                       ,137                     ,220                     ,514                     ,157                     ,-254                    ,-442                    ,-100                    ,21                      ,-11                     ,"(*)",196                     ,1373                   ,877                     ,1618                   ,753                     ,1025                   ,1742                   ,1347                   ,1029                   ,1194                   ,1479                   ,2112                   ,-19                     ,"(D)",-38                     ,-38                     ,-138                    ,-184                    ,-78                     ,-2                      ,-14                     ,-20                     ,-24                     ,139                     ,197                     ,224                     ,224                     ,168                     ,104                     ,145                     ,51                      ,157                     ,180                     ,227                     ,4772                   ,4889                   ,2671                   ,3324                   ,2399                   ,2078                   ,2027                   ,1913                   ,2195                   ,1843                   ,2975                   ,"(D)","(D)","(D)","(D)","(D)","(D)",1506                   ,"(D)",2191                   ,2143                   ,2535                   ,"(D)","(D)","(D)","(D)","(D)","(D)",172                     ,"(D)","(D)","(D)",660                     
"  Czech Republic",921                     ,1248                   ,1313                   ,1241                   ,1110                   ,1308                   ,"(D)",686                     ,934                     ,900                     ,618                     ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,"(*)",561                     ,622                     ,813                     ,696                     ,695                     ,850                     ,757                     ,699                     ,857                     ,833                     ,697                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",16                      ,18                      ,19                      ,20                      ,93                      ,114                     ,131                     ,111                     ,118                     ,103                     ,59                      ,69                      ,92                      ,115                     ,100                     ,-29                     ,-39                     ,-25                     ,-14                     ,-25                     ,27                      ,49                      ,42                      ,46                      ,53                      ,54                      ,"(D)",84                      ,83                      ,81                      ,101                     ,91                      ,133                     ,153                     ,190                     ,162                     ,150                     ,22                      ,19                      ,"(D)",98                      ,100                     ,120                     ,61                      ,34                      ,22                      ,66                      ,58                      ,7                       ,10                      ,12                      ,"(D)",12                      ,24                      ,25                      ,"(D)","(D)",8                       ,20                      ,48                      ,47                      ,244                     ,80                      ,174                     ,175                     ,194                     ,169                     ,248                     ,161                     ,47                      ,129                     ,96                      ,85                      ,81                      ,69                      ,72                      ,53                      ,73                      ,67                      ,-10                     ,23                      ,1                       ,"(D)","(D)","(D)","(D)",8                       ,6                       ,6                       ,6                       ,7                       ,16                      ,-16                     ,99                      ,21                      ,5                       ,-121                    ,-10                     ,"(D)",-19                     ,-12                     ,16                      ,-19                     ,186                     ,388                     ,277                     ,274                     ,271                     ,279                     ,205                     ,40                      ,44                      ,55                      ,69                      ,64                      ,"(D)",44                      ,57                      ,67                      ,50                      ,62                      ,68                      ,75                      ,77                      ,-228                    ,-4                      ,-43                     ,"(D)","(D)","(D)",60                      ,93                      ,-182                    ,-103                    ,-78                     ,60                      
"  Denmark",5399                   ,7065                   ,2664                   ,2799                   ,4902                   ,2777                   ,1921                   ,1198                   ,2577                   ,1542                   ,815                     ,1187                   ,1254                   ,1691                   ,1424                   ,2067                   ,399                     ,-121                    ,-400                    ,-30                     ,"(D)","(D)",337                     ,462                     ,575                     ,363                     ,803                     ,449                     ,924                     ,659                     ,953                     ,651                     ,301                     ,27                      ,26                      ,"(D)",22                      ,27                      ,58                      ,46                      ,54                      ,503                     ,84                      ,177                     ,69                      ,65                      ,55                      ,70                      ,479                     ,414                     ,454                     ,400                     ,108                     ,143                     ,-228                    ,14                      ,14                      ,23                      ,26                      ,15                      ,27                      ,24                      ,23                      ,"(D)","(D)","(D)",70                      ,22                      ,125                     ,164                     ,149                     ,222                     ,166                     ,97                      ,215                     ,139                     ,251                     ,85                      ,177                     ,26                      ,-13                     ,12                      ,-373                    ,75                      ,-116                    ,143                     ,375                     ,194                     ,-6                      ,-3                      ,-3                      ,-3                      ,-3                      ,5                       ,5                       ,5                       ,5                       ,5                       ,"(*)","(D)","(D)",1                       ,1                       ,1                       ,-2                      ,-2                      ,-4                      ,-4                      ,"(D)",-2                      ,-36                     ,205                     ,-125                    ,224                     ,299                     ,-416                    ,215                     ,37                      ,71                      ,44                      ,118                     ,-16                     ,-13                     ,-72                     ,-59                     ,-49                     ,-18                     ,-34                     ,-37                     ,-23                     ,-23                     ,-10                     ,41                      ,8                       ,6                       ,78                      ,9                       ,61                      ,64                      ,-27                     ,-40                     ,-123                    ,20                      ,-95                     ,-116                    ,3                       ,140                     ,8                       ,112                     ,57                      ,29                      ,49                      ,35                      ,30                      ,116                     ,-4                      ,13                      ,-144                    ,67                      ,71                      ,-32                     ,64                      ,-70                     ,-36                     ,-43                     ,3863                   ,5268                   ,573                     ,774                     ,1698                   ,2118                   ,848                     ,872                     ,1666                   ,"(D)","(D)"
