"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,Majority-owned Nonbank Foreign Affiliates (data up to 2008),Total Sales" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"All Countries Total",2218945               ,2507433               ,2524459               ,2515641               ,2865226               ,3312531               ,3786867               ,4169002               ,4742600               ,5189656               ,65303                  ,92406                  ,91074                  ,95237                  ,114476                 ,140990                 ,174134                 ,205510                 ,258649                 ,334633                 ,32839                  ,59340                  ,75043                  ,40594                  ,31832                  ,33404                  ,45399                  ,46863                  ,41695                  ,47425                  ,1107365               ,1175063               ,1146905               ,1177141               ,1328754               ,1560028               ,1741273               ,1894934               ,2099964               ,2319117               ,84880                  ,83794                  ,84445                  ,88685                  ,101801                 ,111113                 ,122185                 ,131635                 ,153398                 ,194682                 ,189611                 ,201076                 ,204873                 ,225338                 ,253209                 ,293146                 ,334288                 ,354904                 ,411424                 ,455371                 ,40329                  ,39342                  ,39671                  ,38920                  ,46426                  ,52583                  ,56016                  ,69873                  ,77916                  ,88174                  ,62175                  ,64279                  ,60473                  ,58445                  ,67567                  ,79195                  ,93782                  ,107484                 ,131895                 ,150263                 ,194416                 ,224315                 ,202272                 ,190582                 ,199507                 ,231332                 ,263801                 ,297636                 ,304588                 ,341019                 ,25342                  ,28274                  ,26914                  ,26052                  ,31751                  ,36865                  ,39243                  ,43773                  ,46581                  ,45609                  ,244776                 ,254486                 ,253669                 ,265720                 ,295031                 ,331142                 ,373779                 ,394885                 ,436478                 ,409510                 ,556610                 ,660846                 ,667056                 ,620169                 ,740728                 ,837570                 ,963604                 ,1040537               ,1215129               ,1365855               ,70648                  ,72744                  ,76970                  ,86219                  ,96925                  ,106753                 ,115958                 ,133423                 ,157636                 ,184406                 ,151357                 ,194139                 ,193742                 ,205388                 ,221980                 ,229496                 ,268438                 ,306301                 ,362673                 ,282628                 ,77836                  ,80523                  ,82035                  ,80502                  ,95067                  ,108442                 ,127785                 ,138302                 ,160537                 ,175680                 ,156987                 ,172373                 ,191633                 ,210393                 ,235466                 ,295848                 ,350274                 ,403133                 ,446316                 ,479913                 
"Canada",281251                 ,338058                 ,339254                 ,323755                 ,373751                 ,430026                 ,469703                 ,492917                 ,540930                 ,589906                 ,9562                   ,17198                  ,18393                  ,19909                  ,28862                  ,33583                  ,39528                  ,33693                  ,43766                  ,56360                  ,4399                   ,15361                  ,20982                  ,10517                  ,9659                   ,11924                  ,19858                  ,20744                  ,19690                  ,24629                  ,162917                 ,184994                 ,175074                 ,178249                 ,204377                 ,231796                 ,224204                 ,235019                 ,239375                 ,260871                 ,10674                  ,11575                  ,13253                  ,12782                  ,14083                  ,16291                  ,16813                  ,17999                  ,19121                  ,27633                  ,15807                  ,16927                  ,16251                  ,17536                  ,19325                  ,21827                  ,25752                  ,28009                  ,31672                  ,36261                  ,5901                   ,6810                   ,6489                   ,6266                   ,7084                   ,7242                   ,7672                   ,9114                   ,10693                  ,13207                  ,4388                   ,5470                   ,5589                   ,5565                   ,6421                   ,5131                   ,6147                   ,6514                   ,7193                   ,7745                   ,8668                   ,10440                  ,9800                   ,8151                   ,8457                   ,9201                   ,4960                   ,5724                   ,5648                   ,6683                   ,3731                   ,4583                   ,3362                   ,2681                   ,2927                   ,3094                   ,2659                   ,3277                   ,3207                   ,3059                   ,73950                  ,76337                  ,66861                  ,70719                  ,73917                  ,81420                  ,84265                  ,87953                  ,84949                  ,72422                  ,46979                  ,56928                  ,60491                  ,48188                  ,54574                  ,65808                  ,81764                  ,88585                  ,103439                 ,115663                 ,3187                   ,3999                   ,4036                   ,4353                   ,4324                   ,4166                   ,4029                   ,4988                   ,5608                   ,5552                   ,14375                  ,16026                  ,15972                  ,16318                  ,19177                  ,20181                  ,21960                  ,25112                  ,33007                  ,20370                  ,4321                   ,5233                   ,4550                   ,4822                   ,3929                   ,3955                   ,9958                   ,10803                  ,13505                  ,14134                  ,35512                  ,38318                  ,39757                  ,41399                  ,48849                  ,58613                  ,68403                  ,73971                  ,82540                  ,92326                  
"Europe",1220468               ,1300200               ,1319671               ,1313101               ,1514279               ,1749687               ,2000839               ,2177263               ,2505582               ,2712467               ,20743                  ,30337                  ,29696                  ,29995                  ,32666                  ,39587                  ,47607                  ,57833                  ,68393                  ,98579                  ,19186                  ,33594                  ,40196                  ,14572                  ,5843                   ,8125                   ,6278                   ,8503                   ,8946                   ,10319                  ,620381                 ,606385                 ,596027                 ,619979                 ,706566                 ,847631                 ,973785                 ,1044284               ,1182749               ,1301440               ,46858                  ,44393                  ,42757                  ,46271                  ,55493                  ,59421                  ,63796                  ,66694                  ,78718                  ,91282                  ,117351                 ,121371                 ,123784                 ,140008                 ,158610                 ,185063                 ,206611                 ,215351                 ,252749                 ,275200                 ,24650                  ,22702                  ,24140                  ,24037                  ,29569                  ,33063                  ,34108                  ,44559                  ,50629                  ,56605                  ,41855                  ,39901                  ,36660                  ,36603                  ,41770                  ,53009                  ,61411                  ,69844                  ,86504                  ,96496                  ,88781                  ,96828                  ,84101                  ,72830                  ,74447                  ,88738                  ,108265                 ,120722                 ,128736                 ,145030                 ,15234                  ,16044                  ,16177                  ,15911                  ,19102                  ,22546                  ,24605                  ,26609                  ,26788                  ,24759                  ,127233                 ,123013                 ,127398                 ,133480                 ,156328                 ,177791                 ,198412                 ,202340                 ,231911                 ,218929                 ,328850                 ,366478                 ,369416                 ,341273                 ,423407                 ,461733                 ,517545                 ,545927                 ,642364                 ,721117                 ,44905                  ,43453                  ,46775                  ,56381                  ,66689                  ,69482                  ,78380                  ,91898                  ,107221                 ,128438                 ,72097                  ,96953                  ,96731                  ,94491                  ,102042                 ,102720                 ,122231                 ,143418                 ,175767                 ,131475                 ,43216                  ,43482                  ,47578                  ,47635                  ,61169                  ,71794                  ,79397                  ,85910                  ,98661                  ,103344                 ,71089                  ,79518                  ,93252                  ,108774                 ,115898                 ,148616                 ,175616                 ,199488                 ,221480                 ,217755                 
"  Austria",13261                  ,12617                  ,12934                  ,10126                  ,12330                  ,15837                  ,18631                  ,19503                  ,22231                  ,23357                  ,3                       ,4                       ,4                       ,4                       ,5                       ,6                       ,6                       ,6                       ,6                       ,6                       ,0                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)",0                       ,0                       ,6526                   ,5865                   ,6182                   ,4229                   ,4900                   ,7031                   ,8372                   ,9217                   ,10675                  ,10939                  ,818                     ,690                     ,755                     ,833                     ,882                     ,1008                   ,1099                   ,1102                   ,1344                   ,1169                   ,424                     ,528                     ,608                     ,713                     ,586                     ,673                     ,700                     ,796                     ,1092                   ,1140                   ,153                     ,102                     ,98                      ,107                     ,128                     ,113                     ,159                     ,159                     ,218                     ,"(D)",434                     ,450                     ,313                     ,260                     ,325                     ,354                     ,944                     ,1127                   ,1382                   ,1519                   ,626                     ,625                     ,498                     ,668                     ,862                     ,1125                   ,837                     ,877                     ,1080                   ,1153                   ,"(D)","(D)","(D)","(D)","(D)",144                     ,146                     ,"(D)","(D)",617                     ,3367                   ,2757                   ,3087                   ,989                     ,1160                   ,2715                   ,3430                   ,3656                   ,3801                   ,3461                   ,5317                   ,5177                   ,4964                   ,4221                   ,5331                   ,5698                   ,6195                   ,6569                   ,7334                   ,8147                   ,310                     ,307                     ,442                     ,607                     ,"(D)",1126                   ,1181                   ,720                     ,836                     ,941                     ,77                      ,"(D)",67                      ,58                      ,"(D)",171                     ,260                     ,256                     ,297                     ,157                     ,540                     ,737                     ,684                     ,341                     ,315                     ,421                     ,554                     ,690                     ,736                     ,888                     ,488                     ,"(D)",591                     ,"(D)",786                     ,"(D)","(D)","(D)",2346                   ,2277                   
"  Belgium",57081                  ,57130                  ,48751                  ,51455                  ,60919                  ,70573                  ,88216                  ,99566                  ,117917                 ,138360                 ,"(D)",8                       ,9                       ,9                       ,38                      ,"(D)","(D)","(D)","(D)","(D)",0                       ,0                       ,0                       ,0                       ,0                       ,"(*)","(*)","(*)","(*)","(*)",29711                  ,29003                  ,26258                  ,30323                  ,33756                  ,41826                  ,52458                  ,62218                  ,72821                  ,87469                  ,3066                   ,2641                   ,2529                   ,3107                   ,2814                   ,3001                   ,2929                   ,3195                   ,3440                   ,5007                   ,9127                   ,8987                   ,8866                   ,10233                  ,11214                  ,12495                  ,13412                  ,16830                  ,19234                  ,21660                  ,444                     ,538                     ,536                     ,431                     ,449                     ,530                     ,605                     ,1030                   ,1723                   ,1865                   ,1672                   ,1679                   ,1282                   ,1009                   ,971                     ,1660                   ,1789                   ,2105                   ,2527                   ,3862                   ,247                     ,85                      ,60                      ,42                      ,160                     ,375                     ,453                     ,355                     ,398                     ,369                     ,829                     ,646                     ,613                     ,824                     ,856                     ,1043                   ,734                     ,821                     ,470                     ,568                     ,4683                   ,3269                   ,4382                   ,5553                   ,6482                   ,7763                   ,9312                   ,9244                   ,9816                   ,8687                   ,21301                  ,21300                  ,14744                  ,13279                  ,17215                  ,15236                  ,22037                  ,22869                  ,28078                  ,30875                  ,900                     ,930                     ,727                     ,682                     ,796                     ,993                     ,1371                   ,1331                   ,2127                   ,2598                   ,1616                   ,1668                   ,2714                   ,2913                   ,3382                   ,4750                   ,5273                   ,5790                   ,7369                   ,8888                   ,1981                   ,2255                   ,1968                   ,1854                   ,2848                   ,3624                   ,2522                   ,2509                   ,3247                   ,3329                   ,"(D)",1966                   ,2332                   ,2394                   ,2886                   ,"(D)","(D)","(D)","(D)","(D)"
"  Czech Republic",4657                   ,4670                   ,5289                   ,5825                   ,7339                   ,10049                  ,12123                  ,13545                  ,15311                  ,17086                  ,"(*)","(*)","(*)","(*)","(*)","(D)","(D)","(D)",0                       ,0                       ,"(D)","(D)","(D)","(D)",212                     ,"(D)","(D)","(D)","(D)","(D)",2960                   ,2885                   ,3335                   ,3942                   ,4810                   ,6428                   ,7655                   ,8663                   ,10778                  ,11886                  ,147                     ,142                     ,126                     ,134                     ,105                     ,"(D)","(D)","(D)","(D)","(D)",429                     ,504                     ,520                     ,645                     ,733                     ,927                     ,1098                   ,1225                   ,1730                   ,1945                   ,60                      ,115                     ,119                     ,128                     ,99                      ,182                     ,247                     ,287                     ,372                     ,358                     ,92                      ,104                     ,112                     ,103                     ,312                     ,312                     ,449                     ,527                     ,642                     ,764                     ,145                     ,"(D)","(D)",157                     ,188                     ,895                     ,965                     ,1154                   ,1712                   ,1308                   ,30                      ,37                      ,39                      ,74                      ,131                     ,326                     ,463                     ,503                     ,"(D)",587                     ,1052                   ,1188                   ,1479                   ,1870                   ,2238                   ,2688                   ,3088                   ,3668                   ,4283                   ,4829                   ,1046                   ,1004                   ,1056                   ,850                     ,1168                   ,1853                   ,2033                   ,2136                   ,2945                   ,3358                   ,78                      ,87                      ,110                     ,98                      ,118                     ,199                     ,227                     ,277                     ,352                     ,412                     ,77                      ,94                      ,116                     ,135                     ,157                     ,243                     ,294                     ,357                     ,415                     ,484                     ,164                     ,181                     ,199                     ,210                     ,211                     ,119                     ,363                     ,418                     ,168                     ,199                     ,"(D)","(D)","(D)","(D)",664                     ,1029                   ,1487                   ,1642                   ,"(D)","(D)"
