"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All Majority-owned Foreign Affiliates (data for 2009 and forward),Total Sales" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Countries Total",4783647               ,5168635               ,5912702               ,5942859               ,6001943               ,6504909               ,5950947               ,5800836               ,6189163               ,6739148               ,6756326               ,246550                 ,283347                 ,351526                 ,343937                 ,344483                 ,313884                 ,209707                 ,169916                 ,200771                 ,230299                 ,222169                 ,2029390               ,2228596               ,2570154               ,2526553               ,2541283               ,2724874               ,2565170               ,2454438               ,2629973               ,2839785               ,2739257               ,185643                 ,187582                 ,214519                 ,227674                 ,232541                 ,237041                 ,195649                 ,191471                 ,203636                 ,214969                 ,208012                 ,429875                 ,449561                 ,508253                 ,509471                 ,505246                 ,539553                 ,518412                 ,528481                 ,579964                 ,647787                 ,617419                 ,64630                  ,73144                  ,85941                  ,80539                  ,80450                  ,93125                  ,84894                  ,81427                  ,89365                  ,97903                  ,94742                  ,131292                 ,140356                 ,165847                 ,164802                 ,170170                 ,191959                 ,191312                 ,165769                 ,192837                 ,214153                 ,209203                 ,302680                 ,357558                 ,394957                 ,443500                 ,477973                 ,545202                 ,589156                 ,506232                 ,548840                 ,603811                 ,585937                 ,41792                  ,47715                  ,53541                  ,53339                  ,52063                  ,57286                  ,57973                  ,56547                  ,57001                  ,61039                  ,58965                  ,342853                 ,369336                 ,419693                 ,395422                 ,408628                 ,429916                 ,414448                 ,426585                 ,415241                 ,411402                 ,399346                 ,1142009               ,1237761               ,1454158               ,1444411               ,1445942               ,1532326               ,1349620               ,1319365               ,1394635               ,1541537               ,1538420               ,233394                 ,262695                 ,313098                 ,354635                 ,358413                 ,383217                 ,337831                 ,339741                 ,354612                 ,372215                 ,375343                 ,184047                 ,186081                 ,210765                 ,224885                 ,234410                 ,286427                 ,285882                 ,302678                 ,305162                 ,354318                 ,390718                 ,480296                 ,478368                 ,463775                 ,464501                 ,473302                 ,527930                 ,493809                 ,493097                 ,529759                 ,557667                 ,595140                 ,185278                 ,191638                 ,214838                 ,229990                 ,232453                 ,280725                 ,286658                 ,297614                 ,320685                 ,338300                 ,350644                 ,282684                 ,300149                 ,334390                 ,353948                 ,371657                 ,455526                 ,422270                 ,423986                 ,453566                 ,505026                 ,544635                 
"Canada",505833                 ,575184                 ,664129                 ,664152                 ,641358                 ,677696                 ,562767                 ,542974                 ,583419                 ,642291                 ,631547                 ,35292                  ,45107                  ,60309                  ,40382                  ,41383                  ,41396                  ,24471                  ,17889                  ,25505                  ,30545                  ,33785                  ,211002                 ,240888                 ,282831                 ,279649                 ,261473                 ,275188                 ,236058                 ,230198                 ,248994                 ,263966                 ,252364                 ,24767                  ,25320                  ,29637                  ,32441                  ,34005                  ,34205                  ,27073                  ,27087                  ,27802                  ,28803                  ,28182                  ,31310                  ,33089                  ,35394                  ,35379                  ,33228                  ,32317                  ,28252                  ,26877                  ,27896                  ,29285                  ,28313                  ,7535                   ,9088                   ,9365                   ,9408                   ,8531                   ,10799                  ,10707                  ,9311                   ,9520                   ,10819                  ,8241                   ,7738                   ,7533                   ,9125                   ,8989                   ,8639                   ,10702                  ,9921                   ,9342                   ,9506                   ,10579                  ,10267                  ,5778                   ,9097                   ,11258                  ,11479                  ,11323                  ,12445                  ,13152                  ,12257                  ,13259                  ,14497                  ,14729                  ,2451                   ,2812                   ,3492                   ,4377                   ,4712                   ,5426                   ,5245                   ,5327                   ,5282                   ,5100                   ,4207                   ,63262                  ,73522                  ,82428                  ,83747                  ,79302                  ,79638                  ,75959                  ,78429                  ,80169                  ,78256                  ,78862                  ,98544                  ,114861                 ,133518                 ,154377                 ,154880                 ,158129                 ,127898                 ,122444                 ,130698                 ,159602                 ,158456                 ,61700                  ,67588                  ,78350                  ,83512                  ,76903                  ,80610                  ,72661                  ,74816                  ,78769                  ,83050                  ,83480                  ,7002                   ,7425                   ,8235                   ,8747                   ,8417                   ,9359                   ,9038                   ,10162                  ,10001                  ,10346                  ,11191                  ,32958                  ,35464                  ,34254                  ,28784                  ,26673                  ,28176                  ,21989                  ,22979                  ,23728                  ,26765                  ,26441                  ,13889                  ,16210                  ,19634                  ,21066                  ,21539                  ,22699                  ,20356                  ,19543                  ,19087                  ,17750                  ,19886                  ,45446                  ,47643                  ,46997                  ,47634                  ,50090                  ,62138                  ,50295                  ,44942                  ,46637                  ,50265                  ,45946                  
"Europe",2455060               ,2506916               ,2819923               ,2771965               ,2768764               ,3036358               ,2821272               ,2812490               ,2970525               ,3285214               ,3314896               ,65518                  ,74580                  ,95253                  ,99969                  ,101201                 ,83336                  ,52810                  ,41794                  ,49818                  ,56634                  ,52765                  ,1097022               ,1135942               ,1286370               ,1227667               ,1207946               ,1293515               ,1221540               ,1187307               ,1243861               ,1346417               ,1297128               ,87933                  ,80056                  ,88532                  ,88970                  ,92391                  ,94858                  ,78870                  ,77960                  ,84601                  ,88239                  ,81777                  ,252030                 ,248683                 ,274132                 ,264639                 ,255275                 ,275902                 ,279566                 ,295718                 ,331297                 ,380412                 ,370931                 ,41354                  ,44821                  ,53730                  ,48302                  ,49145                  ,53042                  ,47151                  ,44855                  ,49385                  ,55047                  ,54122                  ,82097                  ,80765                  ,94766                  ,92209                  ,93746                  ,107259                 ,111571                 ,92436                  ,103028                 ,113991                 ,108234                 ,126021                 ,147265                 ,157698                 ,173342                 ,168801                 ,210241                 ,218404                 ,193834                 ,206233                 ,218293                 ,214683                 ,22565                  ,24397                  ,26649                  ,25401                  ,24002                  ,27182                  ,28392                  ,27349                  ,26290                  ,27470                  ,26721                  ,176688                 ,169252                 ,187953                 ,154446                 ,167400                 ,180201                 ,179753                 ,187873                 ,160358                 ,157770                 ,148102                 ,610964                 ,633889                 ,718575                 ,690359                 ,689614                 ,742184                 ,658156                 ,654646                 ,685715                 ,774069                 ,771289                 ,87320                  ,91720                  ,115513                 ,134740                 ,139141                 ,147175                 ,126325                 ,129365                 ,133018                 ,143275                 ,138515                 ,123235                 ,120910                 ,135430                 ,144859                 ,150055                 ,194328                 ,192729                 ,204502                 ,205226                 ,243449                 ,282854                 ,230124                 ,211725                 ,206482                 ,203491                 ,200973                 ,228884                 ,223258                 ,222006                 ,244341                 ,267754                 ,286196                 ,103261                 ,100129                 ,107277                 ,109600                 ,111031                 ,137768                 ,145757                 ,158891                 ,173722                 ,186412                 ,202846                 ,137616                 ,138022                 ,155022                 ,161282                 ,168804                 ,209168                 ,200697                 ,213979                 ,234824                 ,267202                 ,283304                 
"  Austria",20984                  ,20125                  ,21909                  ,20922                  ,21353                  ,22467                  ,20159                  ,22053                  ,23775                  ,24793                  ,24874                  ,14                      ,14                      ,14                      ,14                      ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",10014                  ,10442                  ,11667                  ,11278                  ,11284                  ,11343                  ,10062                  ,10106                  ,10697                  ,10279                  ,9126                   ,1138                   ,1222                   ,1392                   ,1371                   ,1480                   ,1464                   ,1202                   ,1164                   ,1202                   ,1261                   ,1011                   ,1101                   ,1079                   ,1321                   ,1284                   ,1268                   ,1367                   ,1166                   ,1720                   ,1723                   ,1997                   ,2149                   ,211                     ,132                     ,227                     ,273                     ,356                     ,393                     ,281                     ,312                     ,319                     ,344                     ,324                     ,1630                   ,1514                   ,1662                   ,1673                   ,1557                   ,1452                   ,1401                   ,1383                   ,1314                   ,1374                   ,1303                   ,1072                   ,1045                   ,1082                   ,1059                   ,1131                   ,889                     ,890                     ,907                     ,1115                   ,1143                   ,1097                   ,752                     ,865                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",207                     ,2342                   ,2771                   ,2163                   ,2082                   ,2007                   ,2505                   ,2344                   ,2299                   ,2262                   ,1593                   ,917                     ,7024                   ,5910                   ,6041                   ,5789                   ,6110                   ,6492                   ,5955                   ,7001                   ,7124                   ,8415                   ,8407                   ,922                     ,1053                   ,1312                   ,841                     ,768                     ,1220                   ,815                     ,699                     ,1505                   ,1674                   ,1891                   ,756                     ,657                     ,668                     ,641                     ,650                     ,631                     ,563                     ,572                     ,621                     ,488                     ,211                     ,377                     ,198                     ,192                     ,243                     ,289                     ,307                     ,461                     ,719                     ,731                     ,788                     ,907                     ,736                     ,630                     ,743                     ,749                     ,795                     ,932                     ,931                     ,1615                   ,1574                   ,1633                   ,2662                   ,1141                   ,1221                   ,1272                   ,1369                   ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Belgium",117077                 ,123228                 ,145515                 ,138314                 ,134902                 ,141254                 ,119465                 ,137898                 ,159989                 ,173105                 ,181122                 ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",71750                  ,75923                  ,93983                  ,88482                  ,86702                  ,90089                  ,69852                  ,80433                  ,101200                 ,112374                 ,108279                 ,5504                   ,4614                   ,5942                   ,6267                   ,5508                   ,6620                   ,5656                   ,5845                   ,5357                   ,5963                   ,5910                   ,17048                  ,19584                  ,23356                  ,22883                  ,25545                  ,27228                  ,24349                  ,36455                  ,52813                  ,59488                  ,62927                  ,1146                   ,1216                   ,1332                   ,1198                   ,1121                   ,1041                   ,1333                   ,1264                   ,989                     ,1067                   ,1099                   ,2553                   ,2571                   ,2982                   ,2454                   ,2472                   ,2694                   ,2332                   ,2855                   ,2928                   ,2634                   ,2325                   ,728                     ,790                     ,1273                   ,1522                   ,1425                   ,1368                   ,1444                   ,1513                   ,1689                   ,1757                   ,1536                   ,587                     ,432                     ,415                     ,281                     ,278                     ,314                     ,242                     ,248                     ,466                     ,380                     ,381                     ,12091                  ,9315                   ,10092                  ,7144                   ,6306                   ,5915                   ,3264                   ,4385                   ,4143                   ,3180                   ,3967                   ,25498                  ,28778                  ,31530                  ,30813                  ,30518                  ,32359                  ,30158                  ,37876                  ,37197                  ,36548                  ,48818                  ,1005                   ,678                     ,717                     ,793                     ,659                     ,806                     ,708                     ,675                     ,855                     ,857                     ,817                     ,2526                   ,2576                   ,2708                   ,3045                   ,2648                   ,3074                   ,2699                   ,3404                   ,3619                   ,3763                   ,3682                   ,8552                   ,8089                   ,8605                   ,7206                   ,6446                   ,6133                   ,8035                   ,7812                   ,8419                   ,9835                   ,9836                   ,3130                   ,2394                   ,2549                   ,2571                   ,2459                   ,2477                   ,2498                   ,3336                   ,3415                   ,3572                   ,3636                   ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Czech Republic",16715                  ,16605                  ,18222                  ,18403                  ,17619                  ,19003                  ,15535                  ,15257                  ,16839                  ,16056                  ,15262                  ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,1                       ,11015                  ,10501                  ,11749                  ,12424                  ,11975                  ,13571                  ,10535                  ,10288                  ,11695                  ,10613                  ,10227                  ,"(D)","(D)",1039                   ,1067                   ,995                     ,1115                   ,987                     ,447                     ,401                     ,395                     ,420                     ,1687                   ,1179                   ,1183                   ,1097                   ,1243                   ,1517                   ,1209                   ,984                     ,973                     ,1143                   ,1149                   ,315                     ,312                     ,226                     ,211                     ,225                     ,361                     ,452                     ,461                     ,532                     ,574                     ,627                     ,774                     ,847                     ,930                     ,954                     ,890                     ,925                     ,1109                   ,1477                   ,2032                   ,1802                   ,1481                   ,902                     ,931                     ,1134                   ,2850                   ,2704                   ,2752                   ,953                     ,618                     ,1094                   ,1200                   ,1306                   ,495                     ,503                     ,560                     ,575                     ,511                     ,759                     ,606                     ,544                     ,560                     ,142                     ,198                     ,3962                   ,4065                   ,4696                   ,3747                   ,3380                   ,3967                   ,3514                   ,3937                   ,4127                   ,3511                   ,3333                   ,3165                   ,3233                   ,3579                   ,3144                   ,2961                   ,2619                   ,2031                   ,2368                   ,2453                   ,2594                   ,2087                   ,104                     ,"(D)","(D)","(D)","(D)",228                     ,215                     ,204                     ,163                     ,167                     ,437                     ,471                     ,454                     ,481                     ,436                     ,443                     ,379                     ,306                     ,307                     ,339                     ,371                     ,190                     ,1179                   ,1351                   ,1178                   ,1145                   ,1020                   ,930                     ,841                     ,354                     ,363                     ,397                     ,468                     ,274                     ,292                     ,334                     ,351                     ,344                     ,435                     ,795                     ,926                     ,950                     ,951                     ,765                     ,507                     ,"(D)","(D)","(D)","(D)",842                     ,811                     ,811                     ,876                     ,963                     ,1087                   
"  Denmark",18527                  ,19075                  ,21079                  ,20023                  ,23185                  ,23123                  ,18587                  ,18336                  ,19741                  ,21450                  ,21501                  ,4879                   ,5346                   ,6486                   ,5497                   ,5427                   ,2519                   ,651                     ,610                     ,661                     ,599                     ,553                     ,5370                   ,5162                   ,5485                   ,5401                   ,8867                   ,9962                   ,9376                   ,9441                   ,10606                  ,11435                  ,11108                  ,549                     ,526                     ,607                     ,"(D)","(D)",973                     ,774                     ,737                     ,4318                   ,4605                   ,4123                   ,717                     ,723                     ,559                     ,818                     ,3981                   ,4244                   ,4337                   ,4419                   ,1410                   ,2179                   ,1941                   ,276                     ,282                     ,329                     ,334                     ,285                     ,359                     ,440                     ,446                     ,445                     ,418                     ,429                     ,1492                   ,1094                   ,1239                   ,1278                   ,1424                   ,1803                   ,1660                   ,1570                   ,1973                   ,1922                   ,2410                   ,430                     ,610                     ,678                     ,691                     ,1090                   ,1076                   ,1005                   ,1018                   ,1197                   ,889                     ,823                     ,113                     ,127                     ,136                     ,136                     ,68                      ,57                      ,58                      ,56                      ,57                      ,58                      ,"(D)",47                      ,50                      ,52                      ,52                      ,53                      ,"(D)","(D)","(D)","(D)","(D)","(D)",3672                   ,4172                   ,4285                   ,3798                   ,4025                   ,4377                   ,4132                   ,3933                   ,3799                   ,4024                   ,3759                   ,266                     ,291                     ,334                     ,377                     ,360                     ,345                     ,296                     ,250                     ,399                     ,407                     ,558                     ,409                     ,392                     ,416                     ,1228                   ,1238                   ,1257                   ,1155                   ,1216                   ,1414                   ,1550                   ,521                     ,404                     ,388                     ,465                     ,414                     ,387                     ,1913                   ,409                     ,368                     ,377                     ,339                     ,368                     ,2617                   ,2418                   ,2599                   ,2529                   ,2134                   ,2065                   ,1933                   ,1727                   ,1651                   ,2221                   ,3723                   ,911                     ,907                     ,1009                   ,780                     ,746                     ,687                     ,635                     ,791                     ,835                     ,875                     ,910                     
