"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,Majority-owned Nonbank Foreign Affiliates (data up to 2008),Value Added (Gross Product)" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Utilities","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Finance (except depository institutions) and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"All Countries Total",566396                 ,606626                 ,585657                 ,601606                 ,697778                 ,818256                 ,911490                 ,1001206               ,1119720               ,1188238               ,38552                  ,57622                  ,56900                  ,58088                  ,71130                  ,91781                  ,116464                 ,140985                 ,165209                 ,214743                 ,10466                  ,11046                  ,11066                  ,8102                   ,10340                  ,8798                   ,11700                  ,11788                  ,9102                   ,8220                   ,316300                 ,315697                 ,299393                 ,308965                 ,344406                 ,410875                 ,427690                 ,455675                 ,503848                 ,519364                 ,18750                  ,19231                  ,18834                  ,18761                  ,21706                  ,24454                  ,25454                  ,28519                  ,29735                  ,34112                  ,58894                  ,57745                  ,57664                  ,68371                  ,74043                  ,82320                  ,86014                  ,86816                  ,102869                 ,109530                 ,12086                  ,12316                  ,11918                  ,11627                  ,13775                  ,15800                  ,16000                  ,18581                  ,21906                  ,21967                  ,18581                  ,17763                  ,16794                  ,16563                  ,17796                  ,21202                  ,24723                  ,28180                  ,33408                  ,36801                  ,37616                  ,42940                  ,36123                  ,33019                  ,33014                  ,39320                  ,40321                  ,48008                  ,48133                  ,50661                  ,7344                   ,7566                   ,7040                   ,7147                   ,9259                   ,10553                  ,10754                  ,12505                  ,12032                  ,11069                  ,49019                  ,50083                  ,43751                  ,45232                  ,51441                  ,56838                  ,57947                  ,62539                  ,71455                  ,61736                  ,76774                  ,99554                  ,92223                  ,92784                  ,106909                 ,112720                 ,132580                 ,139494                 ,145538                 ,156786                 ,20667                  ,20635                  ,19466                  ,24687                  ,29099                  ,34116                  ,37431                  ,40565                  ,47640                  ,48512                  ,25292                  ,19655                  ,22965                  ,23997                  ,32213                  ,29493                  ,33885                  ,34671                  ,51394                  ,33261                  ,31117                  ,33043                  ,31499                  ,31251                  ,37582                  ,47408                  ,54806                  ,57154                  ,62953                  ,69910                  ,47228                  ,49374                  ,52145                  ,53733                  ,66099                  ,83065                  ,96933                  ,120874                 ,134037                 ,137443                 
"Canada",65780                  ,73483                  ,71499                  ,70182                  ,83958                  ,98665                  ,107700                 ,108051                 ,116317                 ,123566                 ,3686                   ,6106                   ,"(D)",8151                   ,12488                  ,15217                  ,20879                  ,17033                  ,19308                  ,20620                  ,384                     ,501                     ,"(D)","(D)",862                     ,"(D)",1094                   ,653                     ,716                     ,"(D)",40686                  ,45961                  ,41575                  ,39777                  ,44351                  ,51812                  ,48079                  ,50923                  ,50593                  ,51076                  ,2274                   ,2497                   ,2534                   ,2491                   ,2663                   ,3537                   ,3516                   ,3773                   ,3801                   ,3538                   ,4218                   ,4598                   ,4577                   ,5006                   ,4926                   ,5584                   ,4625                   ,5933                   ,6355                   ,7599                   ,1857                   ,2092                   ,1957                   ,1826                   ,2113                   ,2331                   ,2023                   ,2243                   ,3095                   ,2993                   ,1386                   ,1329                   ,1381                   ,1369                   ,1514                   ,1627                   ,1571                   ,1893                   ,2035                   ,2170                   ,2460                   ,3245                   ,2781                   ,2052                   ,2505                   ,3404                   ,1541                   ,1333                   ,1541                   ,2079                   ,951                     ,895                     ,643                     ,640                     ,666                     ,727                     ,757                     ,715                     ,682                     ,609                     ,13156                  ,14230                  ,12253                  ,10731                  ,10892                  ,11537                  ,11516                  ,12476                  ,10827                  ,9374                   ,5711                   ,5670                   ,5601                   ,5311                   ,6062                   ,7461                   ,8266                   ,9383                   ,10944                  ,11844                  ,1301                   ,1268                   ,1423                   ,1675                   ,1599                   ,1842                   ,1805                   ,2157                   ,2241                   ,2292                   ,1537                   ,1501                   ,2009                   ,1767                   ,2508                   ,2670                   ,2619                   ,1293                   ,2505                   ,3879                   ,1828                   ,1953                   ,1316                   ,"(D)",1366                   ,2054                   ,4878                   ,4748                   ,5806                   ,6851                   ,10648                  ,10521                  ,11219                  ,11946                  ,14723                  ,"(D)",20080                  ,21859                  ,24205                  ,"(D)"
"Europe",324634                 ,328862                 ,316716                 ,341703                 ,393567                 ,458379                 ,512235                 ,546313                 ,607826                 ,628656                 ,12513                  ,20214                  ,19355                  ,19091                  ,22234                  ,28764                  ,34007                  ,40391                  ,48365                  ,71191                  ,5704                   ,5616                   ,4495                   ,3076                   ,2880                   ,2598                   ,2902                   ,4121                   ,4027                   ,3434                   ,196636                 ,175520                 ,167141                 ,182915                 ,204707                 ,248526                 ,268104                 ,273959                 ,305928                 ,310298                 ,10800                  ,10696                  ,10050                  ,11008                  ,12236                  ,13685                  ,14002                  ,15244                  ,15622                  ,16103                  ,37854                  ,36083                  ,35829                  ,45409                  ,49717                  ,54960                  ,56439                  ,53567                  ,64457                  ,65933                  ,7217                   ,6703                   ,6767                   ,6898                   ,8430                   ,9732                   ,9739                   ,11354                  ,12969                  ,13056                  ,12641                  ,11269                  ,10564                  ,10691                  ,11348                  ,14028                  ,17105                  ,19329                  ,22485                  ,24124                  ,18408                  ,17943                  ,15421                  ,14526                  ,12784                  ,15565                  ,19133                  ,21754                  ,22720                  ,24364                  ,4811                   ,4606                   ,4665                   ,4563                   ,6013                   ,6907                   ,6908                   ,8026                   ,6986                   ,6347                   ,26850                  ,24838                  ,21043                  ,23713                  ,29536                  ,32844                  ,32560                  ,33557                  ,40938                  ,32881                  ,45398                  ,61591                  ,55360                  ,60485                  ,68135                  ,68002                  ,84706                  ,87026                  ,85028                  ,91876                  ,12225                  ,12293                  ,11858                  ,16749                  ,19634                  ,22925                  ,25626                  ,27255                  ,31829                  ,30299                  ,9611                   ,7277                   ,11312                  ,10333                  ,15307                  ,11471                  ,13616                  ,11429                  ,22161                  ,13895                  ,17434                  ,19204                  ,19242                  ,19008                  ,24131                  ,30890                  ,32722                  ,34137                  ,36946                  ,40178                  ,25113                  ,27148                  ,27954                  ,30048                  ,36541                  ,45203                  ,50551                  ,67996                  ,73542                  ,67485                  
"  Austria",3419                   ,3390                   ,3324                   ,3135                   ,3624                   ,4899                   ,5435                   ,5342                   ,5947                   ,6177                   ,1                       ,1                       ,1                       ,1                       ,1                       ,2                       ,2                       ,2                       ,2                       ,2                       ,0                       ,0                       ,0                       ,9                       ,12                      ,27                      ,24                      ,27                      ,0                       ,0                       ,1822                   ,1749                   ,1666                   ,1588                   ,1606                   ,2193                   ,2392                   ,2692                   ,3242                   ,3289                   ,229                     ,224                     ,313                     ,332                     ,273                     ,313                     ,302                     ,341                     ,403                     ,350                     ,120                     ,165                     ,157                     ,317                     ,175                     ,227                     ,246                     ,242                     ,352                     ,243                     ,52                      ,27                      ,25                      ,26                      ,29                      ,29                      ,60                      ,44                      ,75                      ,66                      ,125                     ,123                     ,130                     ,108                     ,127                     ,154                     ,275                     ,348                     ,514                     ,540                     ,241                     ,235                     ,211                     ,318                     ,404                     ,433                     ,315                     ,312                     ,369                     ,423                     ,32                      ,25                      ,"(D)",49                      ,45                      ,67                      ,52                      ,44                      ,59                      ,"(D)",767                     ,669                     ,604                     ,170                     ,152                     ,597                     ,725                     ,788                     ,766                     ,853                     ,1095                   ,1041                   ,1014                   ,1050                   ,1344                   ,1512                   ,1535                   ,1522                   ,1497                   ,1542                   ,135                     ,114                     ,128                     ,137                     ,329                     ,510                     ,529                     ,286                     ,320                     ,385                     ,15                      ,-19                     ,-8                      ,-10                     ,-14                     ,44                      ,129                     ,72                      ,114                     ,76                      ,109                     ,220                     ,254                     ,163                     ,172                     ,203                     ,310                     ,391                     ,379                     ,295                     ,244                     ,284                     ,271                     ,198                     ,175                     ,408                     ,513                     ,350                     ,394                     ,588                     
"  Belgium",13219                  ,13474                  ,12612                  ,13406                  ,15972                  ,17741                  ,21426                  ,21584                  ,23504                  ,23944                  ,5                       ,5                       ,5                       ,5                       ,13                      ,19                      ,19                      ,16                      ,17                      ,8                       ,0                       ,0                       ,0                       ,0                       ,0                       ,"(*)","(*)","(*)","(*)","(*)",9163                   ,8248                   ,7384                   ,9401                   ,9728                   ,11586                  ,11877                  ,12535                  ,13731                  ,13158                  ,561                     ,553                     ,509                     ,699                     ,632                     ,819                     ,838                     ,834                     ,748                     ,816                     ,3124                   ,2872                   ,2857                   ,3506                   ,3377                   ,3648                   ,3870                   ,4339                   ,4592                   ,3813                   ,155                     ,153                     ,118                     ,125                     ,181                     ,213                     ,189                     ,285                     ,426                     ,547                     ,513                     ,447                     ,368                     ,403                     ,347                     ,639                     ,1033                   ,711                     ,833                     ,891                     ,43                      ,27                      ,18                      ,18                      ,69                      ,126                     ,147                     ,109                     ,63                      ,75                      ,283                     ,250                     ,"(D)",304                     ,220                     ,323                     ,269                     ,331                     ,194                     ,220                     ,1071                   ,495                     ,419                     ,1032                   ,943                     ,1332                   ,1535                   ,1455                   ,1526                   ,1407                   ,2310                   ,2634                   ,2781                   ,1886                   ,2531                   ,2129                   ,4327                   ,3971                   ,4867                   ,4936                   ,394                     ,446                     ,107                     ,76                      ,158                     ,315                     ,455                     ,525                     ,718                     ,813                     ,-63                     ,81                      ,-24                     ,-183                    ,138                     ,203                     ,964                     ,200                     ,1359                   ,2350                   ,641                     ,1021                   ,924                     ,917                     ,1695                   ,1568                   ,1140                   ,1161                   ,899                     ,601                     ,770                     ,1039                   ,1435                   ,1304                   ,1707                   ,1921                   ,2644                   ,3177                   ,1913                   ,2077                   
"  Czech Republic",1183                   ,1301                   ,1541                   ,1531                   ,1882                   ,3125                   ,3440                   ,3612                   ,4239                   ,4762                   ,"(*)","(*)","(*)","(*)","(*)",6                       ,6                       ,6                       ,0                       ,0                       ,39                      ,"(D)","(D)","(D)","(D)","(D)",20                      ,2                       ,20                      ,11                      ,962                     ,937                     ,1184                   ,1361                   ,1523                   ,2232                   ,2515                   ,2527                   ,3270                   ,3683                   ,15                      ,17                      ,19                      ,23                      ,22                      ,6                       ,13                      ,16                      ,18                      ,"(D)",68                      ,91                      ,116                     ,134                     ,78                      ,179                     ,233                     ,188                     ,359                     ,373                     ,18                      ,33                      ,32                      ,37                      ,27                      ,39                      ,63                      ,73                      ,81                      ,79                      ,24                      ,28                      ,30                      ,23                      ,53                      ,84                      ,97                      ,133                     ,180                     ,231                     ,55                      ,89                      ,112                     ,85                      ,79                      ,147                     ,134                     ,133                     ,228                     ,298                     ,6                       ,7                       ,7                       ,17                      ,31                      ,76                      ,93                      ,96                      ,44                      ,58                      ,205                     ,194                     ,348                     ,383                     ,428                     ,746                     ,644                     ,809                     ,872                     ,988                     ,65                      ,204                     ,233                     ,129                     ,146                     ,327                     ,321                     ,354                     ,466                     ,472                     ,13                      ,10                      ,25                      ,-95                     ,46                      ,145                     ,119                     ,90                      ,193                     ,244                     ,14                      ,22                      ,-9                      ,-1                      ,-4                      ,-27                     ,"(D)",-21                     ,"(D)","(D)",43                      ,53                      ,29                      ,34                      ,37                      ,28                      ,94                      ,117                     ,79                      ,88                      ,47                      ,"(D)","(D)","(D)","(D)","(D)","(D)",536                     ,"(D)","(D)"
