"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All Majority-owned Foreign Affiliates (data for 2009 and forward),Value Added (Gross Product)" 
"Bureau of Economic Analysis" 
"By Country and Industry (NAICS) (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Manufacturing","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Of Which","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Mining","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Total Manufacturing","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Food","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Chemicals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Primary and fabricated metals","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Machinery","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Computers and electronic products","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Transportation Equipment","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Wholesale Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Retail Trade","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Information","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Finance and insurance","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries","Other Industries"
"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All Countries Total",1144957               ,1242237               ,1415892               ,1414679               ,1394826               ,1490153               ,1358772               ,1302066               ,1416377               ,1458164               ,1436986               ,153655                 ,195846                 ,234013                 ,217114                 ,212839                 ,183284                 ,99321                  ,80247                  ,107151                 ,117758                 ,104170                 ,478164                 ,532172                 ,592658                 ,559664                 ,545962                 ,585999                 ,578577                 ,551349                 ,597482                 ,602837                 ,578085                 ,32853                  ,35457                  ,37127                  ,37306                  ,36739                  ,38396                  ,35041                  ,31131                  ,41998                  ,32100                  ,32573                  ,111722                 ,109787                 ,125701                 ,126856                 ,114360                 ,122758                 ,122562                 ,123671                 ,126037                 ,130324                 ,116723                 ,14113                  ,17185                  ,19198                  ,17576                  ,17637                  ,21682                  ,20052                  ,19899                  ,21718                  ,22335                  ,20027                  ,35118                  ,37873                  ,44015                  ,43501                  ,45935                  ,50782                  ,64405                  ,56664                  ,56520                  ,44860                  ,49324                  ,50200                  ,62724                  ,72630                  ,76022                  ,79684                  ,95201                  ,91697                  ,83223                  ,102143                 ,117624                 ,115569                 ,10362                  ,10953                  ,12520                  ,12653                  ,13054                  ,12747                  ,12546                  ,12965                  ,13054                  ,14172                  ,13657                  ,48073                  ,56612                  ,63106                  ,56780                  ,57502                  ,60996                  ,59762                  ,56039                  ,61748                  ,63606                  ,58193                  ,152706                 ,156735                 ,175601                 ,185010                 ,191639                 ,184230                 ,165471                 ,157594                 ,158906                 ,176584                 ,182885                 ,57099                  ,56955                  ,71925                  ,76500                  ,77598                  ,86210                  ,76896                  ,78758                  ,77234                  ,79018                  ,75812                  ,51047                  ,51355                  ,61252                  ,66328                  ,61027                  ,79177                  ,75040                  ,83983                  ,87357                  ,109423                 ,111349                 ,80699                  ,66887                  ,73697                  ,90510                  ,83336                  ,113203                 ,92045                  ,88572                  ,99909                  ,96960                  ,108014                 ,78542                  ,78464                  ,88223                  ,89523                  ,90117                  ,110116                 ,123725                 ,130302                 ,149519                 ,136082                 ,136744                 ,93045                  ,103823                 ,118523                 ,130030                 ,132309                 ,147934                 ,147698                 ,131262                 ,138820                 ,139503                 ,139927                 
"Canada",113675                 ,130571                 ,145804                 ,140854                 ,137105                 ,154279                 ,128981                 ,119377                 ,130401                 ,134320                 ,130731                 ,13507                  ,17931                  ,16694                  ,11698                  ,13809                  ,17119                  ,7653                   ,5151                   ,9277                   ,7849                   ,10290                  ,41013                  ,53283                  ,62208                  ,56144                  ,54947                  ,61518                  ,53698                  ,45589                  ,52606                  ,56271                  ,50214                  ,3906                   ,4638                   ,4779                   ,4467                   ,4629                   ,5174                   ,4020                   ,2734                   ,4323                   ,2245                   ,4742                   ,7353                   ,8622                   ,9258                   ,9371                   ,9323                   ,10451                  ,7301                   ,6642                   ,7031                   ,7580                   ,7062                   ,1182                   ,1683                   ,2084                   ,1809                   ,1342                   ,2354                   ,2096                   ,1931                   ,2096                   ,2567                   ,2122                   ,2256                   ,2208                   ,2753                   ,2748                   ,2859                   ,4093                   ,3746                   ,2307                   ,2063                   ,2445                   ,2589                   ,1323                   ,2174                   ,2892                   ,2764                   ,2880                   ,3619                   ,4124                   ,3505                   ,4080                   ,3830                   ,3970                   ,440                     ,356                     ,613                     ,975                     ,1279                   ,1312                   ,1346                   ,1350                   ,1397                   ,1342                   ,835                     ,4824                   ,6402                   ,9331                   ,10308                  ,9404                   ,9644                   ,9803                   ,8087                   ,9273                   ,11732                  ,9206                   ,11893                  ,11414                  ,13833                  ,17064                  ,14984                  ,14909                  ,12341                  ,13359                  ,13506                  ,14936                  ,13996                  ,14870                  ,16812                  ,19066                  ,20335                  ,18021                  ,17499                  ,17121                  ,17724                  ,18362                  ,17533                  ,18505                  ,2756                   ,2855                   ,3196                   ,3628                   ,3520                   ,4221                   ,3941                   ,4505                   ,4156                   ,4056                   ,4291                   ,6415                   ,3698                   ,5679                   ,5970                   ,4390                   ,6316                   ,4500                   ,3860                   ,4578                   ,6360                   ,5697                   ,7388                   ,7359                   ,8113                   ,8565                   ,8252                   ,9898                   ,8804                   ,8599                   ,8240                   ,7656                   ,7889                   ,15834                  ,17219                  ,17014                  ,17450                  ,19181                  ,22800                  ,20924                  ,20589                  ,19676                  ,19658                  ,19849                  
"Europe",599220                 ,601005                 ,668285                 ,669475                 ,665528                 ,706950                 ,679994                 ,667248                 ,701938                 ,703502                 ,685989                 ,45333                  ,51515                  ,66037                  ,59905                  ,58030                  ,48562                  ,26055                  ,19952                  ,27216                  ,30359                  ,27872                  ,276978                 ,289425                 ,313245                 ,294002                 ,285431                 ,299100                 ,305034                 ,296157                 ,307441                 ,291295                 ,284162                 ,16028                  ,14808                  ,14305                  ,14554                  ,14217                  ,15060                  ,16047                  ,14108                  ,22540                  ,14742                  ,13842                  ,66886                  ,59484                  ,68899                  ,72815                  ,62316                  ,67213                  ,68097                  ,72041                  ,70649                  ,75444                  ,68996                  ,9171                   ,10392                  ,11567                  ,10091                  ,10549                  ,12109                  ,10853                  ,10478                  ,11179                  ,11349                  ,9928                   ,22649                  ,22782                  ,26437                  ,24901                  ,25680                  ,28001                  ,43310                  ,37250                  ,35172                  ,22755                  ,26459                  ,24558                  ,33974                  ,36266                  ,37231                  ,40071                  ,41710                  ,38442                  ,39390                  ,44624                  ,43540                  ,44422                  ,5572                   ,5916                   ,6738                   ,6451                   ,6220                   ,6132                   ,5904                   ,6476                   ,6155                   ,6492                   ,6079                   ,26101                  ,27880                  ,30171                  ,21354                  ,27096                  ,28817                  ,30777                  ,27725                  ,29077                  ,27915                  ,23795                  ,88836                  ,86807                  ,92434                  ,100127                 ,106268                 ,98058                  ,91597                  ,86190                  ,85850                  ,101070                 ,101058                 ,26169                  ,23991                  ,31732                  ,37202                  ,39276                  ,42237                  ,38315                  ,40325                  ,37202                  ,37134                  ,33717                  ,30819                  ,30333                  ,36810                  ,42414                  ,40683                  ,51396                  ,48810                  ,56434                  ,56459                  ,76257                  ,76472                  ,42741                  ,31890                  ,33737                  ,41769                  ,39740                  ,54264                  ,44290                  ,40937                  ,51815                  ,45175                  ,44562                  ,42279                  ,38226                  ,42359                  ,40005                  ,40876                  ,48009                  ,54736                  ,60009                  ,73191                  ,60141                  ,66328                  ,46065                  ,48818                  ,51931                  ,54050                  ,55224                  ,65324                  ,71157                  ,67244                  ,62764                  ,62070                  ,51818                  
"  Austria",5795                   ,5748                   ,5156                   ,4450                   ,5882                   ,6169                   ,4905                   ,5670                   ,6548                   ,5747                   ,6108                   ,8                       ,8                       ,8                       ,8                       ,"(D)",5                       ,4                       ,4                       ,5                       ,5                       ,5                       ,3145                   ,3430                   ,3267                   ,2690                   ,3394                   ,3258                   ,3026                   ,3022                   ,3552                   ,2936                   ,2629                   ,275                     ,251                     ,281                     ,246                     ,250                     ,165                     ,191                     ,213                     ,179                     ,163                     ,137                     ,290                     ,343                     ,378                     ,330                     ,283                     ,304                     ,296                     ,637                     ,799                     ,711                     ,823                     ,41                      ,17                      ,54                      ,47                      ,87                      ,110                     ,63                      ,109                     ,114                     ,119                     ,89                      ,673                     ,874                     ,616                     ,339                     ,612                     ,577                     ,582                     ,542                     ,490                     ,475                     ,453                     ,338                     ,339                     ,338                     ,263                     ,279                     ,197                     ,211                     ,111                     ,284                     ,277                     ,281                     ,198                     ,306                     ,197                     ,170                     ,186                     ,"(D)",172                     ,159                     ,"(D)",169                     ,97                      ,616                     ,572                     ,523                     ,491                     ,826                     ,743                     ,605                     ,820                     ,848                     ,547                     ,324                     ,1300                   ,1027                   ,1097                   ,1035                   ,976                     ,1257                   ,1168                   ,865                     ,832                     ,966                     ,1628                   ,138                     ,135                     ,162                     ,145                     ,131                     ,151                     ,153                     ,170                     ,260                     ,282                     ,272                     ,222                     ,297                     ,265                     ,279                     ,329                     ,394                     ,335                     ,267                     ,271                     ,197                     ,58                      ,219                     ,20                      ,-9                      ,-17                     ,-53                     ,113                     ,-432                    ,269                     ,290                     ,227                     ,232                     ,331                     ,275                     ,356                     ,355                     ,402                     ,431                     ,452                     ,626                     ,646                     ,579                     ,777                     ,433                     ,556                     ,11                      ,-44                     ,"(D)",560                     ,198                     ,445                     ,693                     ,555                     ,507                     
"  Belgium",23110                  ,24741                  ,24679                  ,24858                  ,25247                  ,26349                  ,25106                  ,25350                  ,27046                  ,26991                  ,26134                  ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(*)",30                      ,"(D)",26                      ,10953                  ,12839                  ,13491                  ,12124                  ,11350                  ,11894                  ,12049                  ,13373                  ,12979                  ,13139                  ,10060                  ,886                     ,1027                   ,1111                   ,924                     ,908                     ,852                     ,696                     ,741                     ,704                     ,548                     ,727                     ,2917                   ,4273                   ,4750                   ,4652                   ,5003                   ,5460                   ,5616                   ,7068                   ,6333                   ,6491                   ,3054                   ,271                     ,319                     ,251                     ,242                     ,250                     ,219                     ,224                     ,278                     ,240                     ,251                     ,284                     ,669                     ,778                     ,828                     ,749                     ,749                     ,750                     ,769                     ,699                     ,738                     ,656                     ,469                     ,-83                     ,153                     ,349                     ,434                     ,311                     ,381                     ,877                     ,402                     ,365                     ,450                     ,414                     ,211                     ,205                     ,190                     ,127                     ,47                      ,94                      ,"(*)",1                       ,80                      ,64                      ,56                      ,1720                   ,1363                   ,1567                   ,1098                   ,703                     ,626                     ,376                     ,665                     ,704                     ,585                     ,580                     ,4764                   ,4484                   ,5236                   ,5454                   ,6561                   ,7119                   ,6244                   ,5231                   ,5928                   ,5872                   ,6789                   ,222                     ,356                     ,64                      ,97                      ,5                       ,3                       ,106                     ,167                     ,182                     ,170                     ,150                     ,925                     ,1391                   ,1478                   ,1574                   ,1319                   ,1386                   ,1267                   ,1538                   ,1647                   ,1445                   ,1439                   ,2708                   ,2455                   ,679                     ,1774                   ,2104                   ,2295                   ,2025                   ,2028                   ,2703                   ,2847                   ,3985                   ,1403                   ,983                     ,1333                   ,1349                   ,1319                   ,1320                   ,1351                   ,1462                   ,1688                   ,1443                   ,1804                   ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",1551                   ,1889                   ,"(D)",1882                   
"  Czech Republic",5086                   ,5514                   ,5860                   ,5634                   ,5425                   ,5504                   ,4986                   ,4424                   ,5088                   ,5025                   ,4539                   ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,1                       ,3620                   ,3818                   ,3969                   ,3736                   ,3659                   ,3858                   ,3487                   ,3365                   ,3935                   ,3910                   ,3613                   ,"(D)","(D)",204                     ,208                     ,126                     ,"(D)",207                     ,86                      ,92                      ,86                      ,82                      ,321                     ,308                     ,336                     ,305                     ,323                     ,278                     ,215                     ,214                     ,228                     ,275                     ,231                     ,36                      ,29                      ,33                      ,48                      ,31                      ,165                     ,140                     ,165                     ,159                     ,156                     ,140                     ,196                     ,286                     ,275                     ,291                     ,319                     ,294                     ,339                     ,384                     ,475                     ,430                     ,381                     ,309                     ,303                     ,305                     ,447                     ,418                     ,454                     ,260                     ,222                     ,395                     ,484                     ,502                     ,68                      ,65                      ,66                      ,97                      ,63                      ,123                     ,95                      ,"(D)","(D)",61                      ,93                      ,720                     ,843                     ,1024                   ,777                     ,787                     ,773                     ,780                     ,646                     ,820                     ,712                     ,579                     ,588                     ,530                     ,597                     ,584                     ,568                     ,510                     ,298                     ,286                     ,302                     ,194                     ,171                     ,"(D)","(D)","(D)","(D)","(D)",41                      ,42                      ,42                      ,28                      ,29                      ,64                      ,199                     ,286                     ,284                     ,251                     ,258                     ,168                     ,129                     ,121                     ,135                     ,157                     ,94                      ,311                     ,"(D)","(D)",514                     ,400                     ,431                     ,334                     ,24                      ,39                      ,58                      ,95                      ,189                     ,169                     ,192                     ,212                     ,210                     ,247                     ,449                     ,510                     ,548                     ,533                     ,101                     ,"(D)",129                     ,269                     ,"(D)","(D)",249                     ,247                     ,75                      ,100                     ,145                     ,401                     
"  Denmark",8759                   ,8986                   ,9994                   ,8579                   ,10446                  ,8018                   ,5981                   ,5489                   ,5337                   ,5345                   ,5846                   ,"(D)",4658                   ,5671                   ,4741                   ,4615                   ,1664                   ,257                     ,231                     ,292                     ,268                     ,"(D)",1565                   ,1663                   ,1699                   ,1514                   ,2879                   ,3258                   ,3219                   ,3061                   ,3342                   ,3073                   ,3021                   ,93                      ,113                     ,241                     ,59                      ,71                      ,118                     ,118                     ,124                     ,"(D)",1248                   ,"(D)",227                     ,204                     ,154                     ,207                     ,1415                   ,1608                   ,1622                   ,1492                   ,488                     ,475                     ,248                     ,92                      ,100                     ,111                     ,124                     ,101                     ,140                     ,138                     ,168                     ,-47                     ,-126                    ,-140                    ,437                     ,316                     ,399                     ,470                     ,530                     ,652                     ,583                     ,528                     ,707                     ,626                     ,772                     ,185                     ,283                     ,197                     ,217                     ,245                     ,284                     ,320                     ,269                     ,358                     ,373                     ,337                     ,20                      ,21                      ,21                      ,21                      ,6                       ,13                      ,13                      ,13                      ,13                      ,13                      ,3                       ,8                       ,8                       ,8                       ,8                       ,7                       ,3                       ,3                       ,7                       ,"(D)",3                       ,"(D)",636                     ,947                     ,687                     ,943                     ,1002                   ,1097                   ,953                     ,796                     ,786                     ,807                     ,680                     ,21                      ,28                      ,19                      ,47                      ,61                      ,87                      ,73                      ,65                      ,74                      ,73                      ,114                     ,142                     ,131                     ,126                     ,616                     ,637                     ,673                     ,548                     ,416                     ,460                     ,303                     ,185                     ,-3                      ,-84                     ,22                      ,169                     ,66                      ,548                     ,87                      ,67                      ,54                      ,37                      ,39                      ,1386                   ,1220                   ,1261                   ,1176                   ,1103                   ,890                     ,758                     ,797                     ,593                     ,602                     ,1483                   ,"(D)",423                     ,510                     ,-627                    ,84                      ,-198                    ,87                      ,56                      ,-263                    ,183                     ,"(D)"
