Data on activities of multinational enterprises
Data on activities of multinational enterprises
"By Country and Industry (NAICS) (Millions of Dollars) "
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
All Countries Total,167066,166384,188819,217951,223160,245247,214815,195087,189627,189611,191661,181195,60097,59089,65657,85562,95086,86146,66390,45530,36744,35117,34713,25594,54629,54289,60304,65778,64234,70876,62943,63275,68235,72932,73827,72567,4737,4736,4854,5736,5845,5453,5573,5774,5905,5641,6134,5941,13707,12653,12927,12067,11495,13299,12687,12492,14395,13770,13608,14126,2943,2468,2294,2178,2201,2768,2567,2364,2669,2913,3133,2849,3043,3142,5099,4528,4479,4332,4141,3172,3388,3565,3301,3373,5879,7347,10528,14540,12872,16948,12428,13176,14121,19923,20311,21383,1155,1249,1394,1309,1469,1616,1512,1347,1522,1560,1399,1278,7807,7876,9029,10144,10977,11404,10016,9735,10931,10706,8539,7326,6456,6908,8297,9407,8294,8895,7405,10568,9481,9929,7616,7514,5939,7100,8845,9096,7802,8329,7121,7808,6327,6338,6069,7169,7084,7214,8644,8962,9913,13885,15415,12593,13630,14066,17716,17832,6273,6586,6792,6256,5917,5989,6090,7255,6741,6694,6859,7184,4104,4156,4800,5122,5183,5181,6177,6224,6918,7297,8844,8558,22485,21044,25480,27767,26729,45948,43274,41834,41552,37238,36016,34777
Canada,20298,22863,25670,32022,33608,34817,26383,25147,20940,17329,18170,16814,9079,10398,11352,17325,19296,17546,10335,7458,5240,3494,4338,3483,4264,5103,4884,4809,4742,5157,5100,4257,4450,4345,4994,4121,424,422,484,573,673,651,563,596,617,591,817,786,792,892,933,973,977,646,848,577,762,833,678,823,273,184,136,207,172,359,414,343,334,349,656,389,153,144,380,390,326,314,134,153,140,103,92,96,70,87,(D),(D),(D),188,259,221,247,174,229,(D),36,46,47,33,75,52,58,51,59,70,66,19,858,1312,1226,818,1017,977,1214,1025,993,969,689,625,708,1121,1516,1402,1129,1001,800,2857,1317,932,1002,777,1634,1499,2893,2487,1794,(D),1523,2312,1755,1219,1313,1321,181,240,222,151,111,159,164,338,334,312,495,919,1184,877,694,1060,869,809,778,667,745,318,309,419,416,387,491,466,488,430,540,490,413,323,552,1079,2832,3239,3618,4322,5180,(D),7142,6768,6685,6385,5168,4695
Europe,62927,56430,64308,73551,78830,94718,80410,78922,79454,77627,78045,75012,14114,13169,12413,13881,18682,14569,11244,10101,9873,9494,10169,7882,24792,20740,23960,27869,29719,33836,25676,26082,27962,28208,27525,28597,2229,1622,1743,2152,2186,2211,1807,1955,2215,1991,2270,2345,6170,5166,5668,5304,5515,6681,6388,6774,7032,7624,7165,6877,1362,1341,1136,1018,1137,1492,1221,1103,1315,1503,1429,1479,1494,1506,2804,1860,2126,2061,2082,1543,1839,1906,1775,1806,1504,1609,2143,7025,6714,8704,3049,1691,2243,2687,2728,4447,412,487,511,555,739,891,783,772,772,804,600,515,4444,3253,4058,3840,4512,5507,3518,4382,4260,4070,3427,3137,3417,3072,3544,4363,4028,4103,3353,3781,4308,4854,3080,3221,2328,2188,2398,3270,2426,2580,2121,2044,1935,1988,1806,1962,4074,3940,4771,4977,5981,8958,10354,8057,8642,8293,10191,9438,2575,2564,3163,2683,2627,2334,2850,4050,3310,3664,3327,3637,2007,1629,1735,1946,2036,1843,2710,2596,3096,3489,3596,3747,9619,9129,12324,14563,13331,26494,22101,22210,20327,17637,18350,16527
"  Austria",844,650,662,852,802,689,611,522,650,628,748,791,(*),(*),(*),(*),2,2,2,2,2,2,(*),(*),580,456,365,469,444,396,369,193,256,289,262,400,38,(D),15,35,61,30,(D),9,12,15,15,14,15,22,19,17,15,14,15,33,76,88,97,(D),(D),(D),3,(D),2,12,(D),6,2,5,5,8,70,42,57,39,25,(D),(D),11,12,14,17,9,91,74,54,(D),57,39,43,38,44,43,23,31,12,13,(D),(D),(D),(D),(D),(D),(D),(D),1,(*),138,73,92,136,113,110,84,65,72,64,(D),(D),53,18,23,53,45,47,42,81,85,112,27,79,(D),22,24,23,22,25,25,23,27,27,131,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15,2,14,(D),(D),(D),(D),(D),18,(D),21,1,16,18,46,45,40,15,10,26,45,54,61,17,57,(D),(D),135,118,104,74,94,(D),48,(D),108
"  Belgium",2055,1991,2286,2122,2233,2563,2417,2713,2699,2521,2471,2897,(*),(*),(*),(*),(*),1,1,(*),1,1,(*),(*),1472,1253,1473,1309,1380,1594,1567,1647,1604,1526,1265,1499,101,149,126,120,102,89,139,161,88,97,115,135,509,529,781,559,681,592,627,600,566,642,587,730,76,78,30,(D),(D),(D),32,(D),(D),(D),(D),7,60,66,103,89,77,67,68,18,22,28,20,16,(D),6,14,31,18,39,47,64,57,53,14,22,(D),30,(D),5,8,(D),6,(D),(D),(D),(D),(D),111,72,92,134,85,277,72,95,81,97,55,47,134,118,147,159,202,216,227,303,253,225,440,535,2,3,18,24,23,6,8,18,27,15,24,24,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),30,43,73,38,45,26,63,57,94,62,98,99,73,70,83,66,48,39,29,63,102,107,85,122,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
"  Czech Republic",491,333,397,449,405,505,430,542,650,526,376,389,0,0,0,0,0,0,0,0,0,0,(*),(*),379,245,297,351,333,383,330,431,541,423,316,321,(D),(D),16,11,(D),8,8,(D),(D),(D),20,(D),41,46,47,29,28,22,29,29,28,35,22,28,8,9,9,10,10,22,23,36,31,16,8,(D),9,10,18,13,12,35,36,44,78,52,35,26,17,16,15,110,48,80,24,23,64,(D),72,40,4,2,(D),16,(D),9,13,5,5,4,3,1,111,105,118,107,110,145,119,156,158,128,98,103,16,15,21,31,19,23,16,10,19,17,9,25,1,1,1,1,1,4,4,4,3,3,6,4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9,3,(D),12,(D),15,7,(D),7,1,5,(D),3,2,1,1,2,2,2,3,8,13,9,7,9,5,(D),(D),32,(D),(D),39,(D),(D),(D),42,24,30
