Data on activities of multinational enterprises
Data on activities of multinational enterprises
"By Country and Industry (NAICS) (Millions of Dollars) "
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
All Countries Total,190547,202605,190622,170735,175450,187998,209058,229246,245949,257916,1558,1045,1302,880,1418,1619,1406,1833,2140,2281,4,3,4,(D),1,2,(D),(D),(D),608,134468,139995,128062,118000,120999,124276,135434,152570,158903,159933,2377,3530,4214,2863,2902,3131,2928,3092,3619,4888,16963,17397,16893,16358,19855,19184,20294,24715,25801,27378,2660,2877,3311,2876,3237,2953,3469,3872,3510,4105,6479,7709,7476,6086,7045,6195,7930,8976,8971,9676,31867,35502,27773,20147,19457,23473,24797,27631,28880,25089,2599,3387,2549,2159,2067,2791,2806,3224,3105,3141,58574,55449,52366,54505,52279,51585,56935,61066,64567,60211,47257,53902,53231,43660,43836,52183,59994,60500,69707,79874,588,615,750,(D),703,604,622,529,530,733,8,4,10,13,14,17,20,(D),(D),20,1723,1915,1834,1482,1351,1300,3161,3997,3763,3569,4942,5124,5428,5749,7128,7996,(D),9689,(D),10898
Canada,63980,60603,57611,56108,57372,58652,66611,73035,75371,75754,30,50,14,30,(D),(D),109,327,672,626,(*),(*),(*),(*),(*),0,(D),(D),(D),600,52474,48535,46104,46732,46740,46368,51564,55077,54991,53977,754,1321,1531,891,1101,1262,1359,1379,1407,2148,4343,4166,4235,4770,4798,4812,5321,5794,5981,6120,1062,1226,1465,1200,1182,950,1283,1507,1376,1614,1093,1620,1884,1559,1529,1041,1160,1098,1309,1623,2570,3230,2418,1945,1693,1543,673,860,798,804,1364,1648,1243,878,965,978,740,775,768,652,37132,31219,29563,31838,31407,32004,36484,38082,38233,32204,9346,9729,9295,6899,7334,8872,9390,10559,12091,13979,72,85,104,95,119,135,97,125,(D),85,0,0,0,0,0,0,(*),(D),0,0,84,43,44,40,39,23,(D),(D),(D),(D),1974,2161,2050,2312,(D),(D),3897,(D),5088,(D)
Europe,46523,52938,46617,40551,45293,48071,52552,56583,64970,71496,136,94,266,163,187,158,116,93,74,65,2,3,3,5,0,0,1,(D),(D),(D),27457,31828,25964,22232,26232,26433,27296,33102,36137,37456,508,975,1656,904,864,755,426,604,695,1043,6070,6642,5731,5250,8256,6853,7074,9554,10449,10669,850,841,1046,924,1195,1014,1081,1282,1221,1382,2577,2463,2195,2287,2928,2931,3918,4555,4400,4548,9203,12426,8294,5475,5073,6052,5712,6752,8135,6000,478,782,358,422,531,883,906,863,817,858,3589,2839,2267,2204,2338,2307,2884,3142,3896,5160,17432,19071,18348,16237,16655,19280,22793,21055,26483,31753,332,373,472,434,388,213,210,155,169,331,6,2,(D),9,9,12,15,(D),(D),(D),400,729,642,666,719,772,999,1009,862,905,758,839,(D),805,1103,1202,1121,1143,1220,966
"  Austria",1107,262,195,210,195,209,288,289,304,306,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,195,105,59,77,126,207,197,216,187,1,2,(D),(D),5,4,(D),5,(D),(*),1,1,1,(*),(*),(D),(D),(D),(D),(D),(*),(*),(*),(*),(*),1,1,0,0,0,7,(*),5,4,1,(*),(*),1,4,5,15,6,1,7,12,38,(D),(D),(D),(D),(D),(D),1,1,(*),(D),1,2,3,3,459,87,84,30,(D),39,40,7,(D),(D),541,55,80,143,109,78,76,87,83,116,(D),0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,(*),5,3,1,1,2,2,2,1,1,(D),6,6,6,7,2,2,2,2,3
"  Belgium",3559,3542,3163,3621,4688,4696,4098,3423,3689,4886,0,0,0,0,5,(*),(*),1,(*),(*),0,0,0,0,0,0,0,0,0,0,1857,2016,1386,1295,1627,1862,822,1407,1485,2388,92,178,159,145,175,(D),2,2,2,3,890,784,495,462,569,645,363,677,681,818,5,6,8,5,7,18,20,23,50,34,160,148,101,31,33,103,138,217,187,220,(D),12,3,3,16,(D),139,(D),(D),(D),(D),(D),(D),(D),1,1,(D),(D),7,(D),67,69,33,35,8,15,12,26,35,34,1690,1491,1730,2304,3036,2794,3255,1986,2188,2476,3,0,0,0,0,0,1,(D),2,(D),0,0,0,0,0,(*),(*),(*),0,0,8,31,(D),(D),16,(D),(D),(D),(D),(D),2,4,(D),(D),4,(D),(D),1,(D),2
"  Czech Republic",47,60,71,24,29,143,108,93,112,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),53,59,14,17,98,36,51,67,103,(*),0,0,0,0,0,0,0,0,0,1,1,4,2,2,7,3,3,4,6,0,0,0,0,0,0,1,1,1,1,2,2,2,(D),2,8,(D),(D),(D),6,(D),1,2,2,1,(D),4,(D),(D),23,(*),(*),(*),(*),(*),1,1,1,1,0,(D),1,(*),(*),3,1,1,(D),(D),(D),(D),5,10,8,10,45,72,42,44,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),2,2,2,2,0,0,0,0,0,(D),(*),(*),(*),1,(*),0,0,0,0
"  Denmark",133,157,118,115,137,169,180,204,171,275,(*),(*),1,1,(*),(*),1,(*),(*),(*),0,0,0,0,0,0,0,0,0,0,69,100,65,84,85,104,114,128,124,121,11,6,9,4,1,0,0,0,0,0,9,(D),(D),22,17,1,5,5,3,3,2,(D),1,3,2,2,2,3,4,3,4,(D),(D),(D),(D),17,17,22,32,25,21,(D),(D),7,44,55,58,58,71,73,1,3,0,0,0,1,1,(D),0,0,0,(*),0,0,0,0,0,0,0,0,59,53,45,25,27,(D),(D),(D),44,150,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,26,(D),(D),(D),3,3,(*),(*),2,(*),(*),(*),(*),(*),(*),(*)
