Data on activities of multinational enterprises
Data on activities of multinational enterprises
"By Country and Industry (NAICS) (Millions of Dollars) "
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
All Countries Total,219343,249283,270023,271349,279387,298544,284876,287619,302797,311754,320040,285197,1428,1878,2038,1809,1602,1522,1447,1184,1248,1542,1558,1370,134614,155960,166537,172510,171786,182112,176005,176840,193981,195715,202591,177264,7527,7073,7613,7327,7844,7593,6415,6270,6462,6425,7169,6930,23593,28894,31477,31560,30039,29287,28662,28045,34153,35499,35345,33934,3063,3515,4368,4674,4192,4384,4043,3781,4395,4839,4187,4136,8465,10485,13089,13047,12691,12486,12696,10937,11731,11494,10490,8493,21936,25442,24516,28807,30052,33315,32696,31087,33985,32552,30256,31094,2150,2702,2623,2516,2774,3271,3262,3251,3550,3937,3784,3115,47490,54661,51383,57540,60530,65208,62280,67094,70416,63829,74522,57385,70835,78188,88097,81082,88884,95897,89402,92381,89829,95071,97024,89293,6825,7116,6824,7931,9037,10439,9536,8926,9840,11892,12008,11004,713,622,673,853,857,777,804,1201,1499,1507,2249,2294,10,9,9,19,11,3,4,3,8,(D),24,26,(D),(D),(D),(D),(D),3250,3273,3168,2959,2895,2798,2393,(D),(D),(D),(D),(D),4545,4405,3916,3433,(D),1790,1554
Canada,63859,72638,76493,83042,79972,81593,78951,80131,83687,81010,78335,68541,240,421,(D),434,211,236,183,122,139,146,32,40,43629,51259,53343,58911,54947,57616,55457,56226,58216,57939,55651,47460,2218,2080,2517,2580,2597,2364,1959,1737,1864,1793,2032,2167,4949,5326,5317,5557,4580,4416,4260,4009,4349,4393,4377,4006,1347,1609,2102,2589,2144,2376,2140,1943,1931,1981,1773,1776,1496,1727,1877,1976,1664,1611,1572,1427,1497,1266,965,810,523,2617,4237,(D),5194,5456,6169,5942,5842,6140,6412,6899,664,834,763,835,907,1494,1594,1608,1783,1729,1416,1330,26390,29902,27802,32417,31904,33036,31076,31770,32081,29654,30880,22994,13944,14078,15647,15974,16605,15869,17097,17397,18693,16316,16145,14846,3355,3567,3679,3980,4424,(D),3372,3514,3986,4240,4289,4154,49,127,128,185,182,50,33,111,131,119,126,142,0,0,0,0,0,0,0,1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1214,(D),(D),(D),(D),(D),(D),(D),(D),(D)
Europe,63204,66798,75387,68706,76408,82870,76949,85962,87999,94843,97816,87510,114,104,127,224,345,185,233,244,277,322,184,143,32672,37500,40178,38986,39222,42799,40453,44713,52598,56190,56882,49876,1446,567,480,486,610,1018,187,464,(D),452,511,(D),9933,13172,14241,12909,13130,13030,12070,13543,18018,17737,17801,17049,888,854,1192,1292,1177,978,660,668,1120,1419,1055,957,3570,4250,5812,5239,5168,5391,5109,4454,4891,4692,4806,3816,4766,5658,5497,5339,5397,6351,6424,5958,6399,8465,7021,7147,664,653,611,448,551,445,466,489,477,839,850,633,4775,4715,3890,3957,4264,5429,5764,8937,9886,7165,7975,6283,28379,27329,32915,27119,34271,37343,33707,38391,32713,35439,37300,34417,492,513,(D),597,830,707,(D),686,530,907,1301,1005,407,283,285,372,364,426,432,631,781,815,1132,1179,3,(D),(D),(D),3,1,3,1,(D),3,(D),(D),734,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),403,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
"  Austria",233,276,263,290,213,178,344,425,345,352,399,527,0,0,0,0,0,0,0,0,0,0,0,0,187,204,223,251,179,144,(D),(D),(D),(D),(D),(D),(*),0,0,0,0,0,0,0,0,0,0,0,5,5,6,1,(*),6,(*),(*),(*),(*),(D),(D),(*),(*),1,1,1,2,2,2,1,0,0,0,9,5,(D),(D),(*),(*),(*),(D),(D),(D),0,(*),(D),(D),(D),(D),(D),(D),(D),(D),(*),(*),(*),3,(D),(D),1,1,1,(*),(*),(*),(*),(*),(*),(*),7,(D),9,1,1,1,1,(*),(*),(*),(*),(*),44,70,33,31,27,34,(D),(D),(D),(D),(D),(D),(*),(*),(*),(*),(*),0,(*),(*),0,0,1,(*),0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,(*),(*),(*),(*),(*),3,3,3,1,4,2,1,7,7,7,0,1,0,(*),(*),1,(*)
"  Belgium",4470,5160,5760,6103,7713,9037,8846,9800,10502,11563,14364,13100,0,0,0,0,0,0,0,1,1,1,4,3,2160,2771,3088,3248,3587,4711,4542,5381,8376,7666,8773,8259,4,6,6,6,6,(D),(D),(D),(D),3,0,0,587,1072,1022,1119,1268,2027,1874,1761,5287,5455,6430,6197,5,3,3,(D),2,4,(*),(*),(*),(*),(D),(D),490,475,538,470,474,452,445,286,258,352,345,352,19,24,50,38,44,31,65,34,36,34,68,68,15,(D),(D),3,0,5,4,7,4,4,5,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2197,2233,2432,(D),3913,4281,4269,4380,2084,3852,5546,4810,(*),0,0,0,3,(D),(D),(D),(D),(D),(D),(D),2,(D),(D),(D),(D),(D),2,1,1,1,(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,(D),5,(D),1,2,2,4,9,5,6,(D),1,(D),(D),(D),(D),(D),15,(D),(D),(D),(D),(D),(D)
"  Czech Republic",127,158,184,226,238,153,172,122,178,195,525,241,0,0,0,0,0,0,0,0,0,0,0,0,94,124,153,(D),228,146,165,117,173,188,521,234,(D),(D),(D),(D),(D),(D),(D),(*),(*),(*),(*),(*),7,8,3,3,3,3,0,(*),(*),4,4,3,3,2,0,0,0,(D),(D),(D),(D),(D),(D),(D),4,12,15,11,10,6,13,(D),(D),(D),(D),(D),8,9,(D),75,56,10,19,8,(D),8,(D),(D),(*),0,0,(D),0,(*),(D),(D),5,2,(*),(*),23,56,84,70,64,69,63,60,69,(D),83,(D),33,33,30,(D),9,6,4,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,(*),(*),0,0,0,0,(*),0,0,(*),(*),(*),(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,(*),(*),(*),(*),0,(*),3,2,2,4,1,4,(*),(*),1,1,(*),(*),(*),(*),(*),(*),0,0
"  Denmark",300,335,356,346,253,260,303,283,303,271,321,324,0,0,0,0,0,0,1,0,0,0,1,1,(D),(D),244,279,189,127,197,199,240,(D),248,246,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,(D),2,5,(D),(D),(D),35,113,51,0,0,(*),(*),0,0,0,0,0,0,0,0,23,19,20,23,24,(D),25,26,22,7,9,8,1,(D),28,(D),(D),44,26,27,25,26,12,(D),1,1,1,(D),1,(*),(*),(*),(*),(*),(*),0,0,0,0,0,0,0,0,0,0,0,(D),(*),(D),(D),111,(D),(D),126,(D),81,(D),(D),70,74,0,0,0,0,0,0,0,0,(D),(*),1,1,0,0,0,0,0,(*),(*),1,1,(*),1,1,0,0,0,0,0,0,0,0,0,0,0,0,(*),(*),(*),(D),(D),6,(D),2,5,2,(*),1,0,0,0,0,(*),0,(*),0,0,0,0,0
