Data on activities of multinational enterprises
Data on activities of multinational enterprises
"By Country and Industry (NAICS) (Millions of Dollars) "
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
All Countries Total,182246,211912,200421,197134,211378,238008,269429,285631,304648,315521,6145,9857,11360,9256,11867,15114,15903,15481,17015,25605,2,(D),155,3,4,3,(D),(D),(D),(D),157687,182809,168682,166686,167837,186192,204348,217242,225038,221776,4096,3283,3418,3368,3890,3813,4822,5266,5720,9498,12121,13589,14895,20158,15660,16308,16565,18586,18565,19627,3568,3778,3880,3537,3956,3788,4930,6038,5725,6739,7205,7660,7219,6522,7422,8310,11518,11985,14076,15822,39094,53185,42587,32584,34333,41116,41658,45469,49783,45147,3319,4158,3879,3604,3396,4267,4848,5813,6809,5860,72894,79109,75667,78166,78376,82319,83104,84465,85978,73917,16442,17067,18319,19502,29661,34565,43910,48723,57848,62513,135,51,113,115,112,105,125,154,107,154,0,0,(D),(D),0,14,17,28,25,(D),748,(D),(D),(D),394,(D),1905,(D),(D),1526,1086,1143,936,1048,1503,(D),(D),(D),(D),(D)
Canada,75951,79444,72476,73619,77723,87278,96262,97387,101562,107286,1878,3330,3095,4323,5540,6602,6428,5683,8565,12673,2,(D),155,3,4,3,(D),(D),(D),(D),68803,70017,62883,63435,65951,73106,76884,78334,73916,72413,2059,2048,2347,2311,2792,2843,3580,4108,4105,7234,3117,3552,3289,3627,3599,3807,3844,4493,4912,4855,2046,1749,1688,1381,1415,934,1038,1898,1869,2232,1251,1445,1586,1558,1814,1286,1621,1782,2562,2174,2918,3431,2505,1884,1924,2226,822,901,1024,1418,837,1194,759,568,524,574,438,522,548,322,47927,46052,40823,41131,41233,47810,47266,47082,45560,36068,4983,5891,6251,5713,6022,7294,9535,10816,16007,18642,2,7,5,5,4,(D),(D),(D),43,(D),0,0,0,0,0,0,0,0,0,0,79,(D),2,3,0,8,(D),(D),(D),(D),204,(D),84,137,202,(D),214,288,385,308
Europe,33302,39547,39237,43202,49173,54475,64039,68152,79525,83471,328,586,(D),(D),410,1028,236,185,112,384,0,0,0,(*),0,0,0,(*),0,0,28061,34230,33547,35967,32866,37110,41091,45395,52860,54897,482,435,347,427,408,473,542,431,622,774,7239,8033,9923,14004,8948,9001,8807,9310,9600,11431,622,837,1044,1003,1099,1152,1154,1204,1370,1359,3578,3510,2778,2744,2794,3699,5011,5286,6025,7694,5730,9028,7329,4946,5312,5958,4931,7200,8801,8263,950,981,1132,984,1057,1787,1857,2047,2595,1706,6991,8208,7861,8053,8347,8560,8192,7867,9518,8118,4744,4091,4390,6618,15448,15781,22014,22114,25841,27449,33,30,71,30,56,26,(D),48,54,50,0,0,(D),(D),0,14,17,(D),25,(D),40,(D),(D),(D),(D),(D),(D),237,475,460,95,(D),173,70,(D),(D),269,(D),158,(D)
"  Austria",244,234,95,110,(D),306,222,258,373,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),175,(D),106,111,(D),(D),(D),233,203,0,0,0,0,(*),(D),1,0,0,0,(*),(*),0,(D),(*),4,(D),(D),(D),7,(*),(*),(*),(*),(*),2,2,2,3,3,3,5,5,5,2,1,2,1,24,(D),15,9,8,62,78,124,(D),(D),(D),(D),(D),(D),(*),2,(*),0,0,0,0,0,54,(D),(D),(D),(D),27,7,(D),(D),38,(D),(D),(D),4,(D),(D),(D),(D),140,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,(D),0,0,0,0,0,0,(*),(*),0,0,0,(*),0,0,0,0,0,(*)
"  Belgium",1993,1576,1113,1275,1708,1924,2275,2785,4447,3914,0,0,0,0,0,4,(D),5,6,(D),0,0,0,0,0,0,0,0,0,0,1110,1114,859,998,1301,(D),1674,2089,3647,3023,(D),(*),1,1,(*),8,10,(D),2,(*),673,410,403,416,424,469,300,306,372,380,1,(D),(D),(*),6,(D),15,39,69,24,(D),(D),(D),9,(D),18,20,39,59,85,(D),(*),(*),(*),(D),(D),(D),(D),(D),(D),(D),(D),(D),10,(D),16,(D),(D),(D),(D),(D),(D),(D),29,31,(D),59,95,121,94,882,462,253,277,408,(D),586,691,794,(D),0,0,0,0,0,0,0,(*),(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(*),0,0,0,(*),1,(*),(*),(*),(*),4,(D),0,0,(*)
"  Czech Republic",34,28,123,26,38,164,164,230,477,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,122,26,36,(D),163,229,(D),(D),0,0,0,0,0,(*),0,0,0,0,(D),(*),(D),4,6,9,(D),9,(D),(D),(D),1,1,2,2,(*),(D),(D),(D),1,(D),(D),4,2,3,(D),(D),(D),(D),4,(D),(D),(D),(D),0,(D),(D),(D),(D),(D),0,0,0,0,(*),3,(*),1,1,0,(D),2,2,(*),(D),(D),(D),(D),153,(D),(*),(*),1,(*),2,(D),1,1,(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Denmark",133,146,134,207,188,223,243,316,318,328,0,(D),0,0,0,1,(*),0,0,0,0,0,0,0,0,0,0,(*),0,0,118,119,(D),(D),172,222,241,313,278,289,48,9,10,2,0,0,0,0,0,0,(D),32,32,60,52,(D),(D),(D),(D),(D),1,(*),(*),4,3,5,5,8,8,9,(D),49,68,(D),73,(D),(D),(D),(D),(D),21,7,(D),(D),(D),37,(D),43,47,87,(*),(D),0,0,0,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0,15,(D),(D),(D),(D),1,1,2,(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(*),1,2,(D),(D),0,0,(*),(*),0,0,0,0,0,0
