Data on activities of multinational enterprises
Data on activities of multinational enterprises
"By Country and Industry (NAICS) (Millions of Dollars) "
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Of Which,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Mining,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Food,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Retail Trade,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Information,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,Finance and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
All Countries Total,258058,298640,345349,345620,339773,375159,350538,331972,357665,376200,367838,323694,17064,20422,31597,18681,14667,14601,6905,6204,7497,8514,7204,6327,183088,208256,232497,236142,232871,259638,255573,242022,266481,276406,268020,237637,9221,11521,13126,15001,13367,12726,7769,7449,8880,8438,8193,9215,20650,23903,28572,27566,26628,30781,28581,29527,37621,40064,40998,42124,4629,5733,6804,5649,5531,5373,5070,4836,6901,6700,6006,5606,12082,12520,14270,13226,13810,15299,21210,14941,15614,16783,14054,14029,35580,36196,32049,34819,36954,50837,56108,44954,46694,51693,46151,43073,5212,5335,6209,6635,6150,5590,5432,5202,5302,5791,5066,4670,62098,72196,76378,82823,87574,92152,92765,95678,103041,99794,103477,81596,54590,66793,76540,86980,88075,93983,81568,79105,78165,83616,82193,68329,231,309,302,587,1068,2542,2306,2230,2895,4555,4276,4921,230,220,(D),(D),371,222,342,218,326,370,(D),(D),12,4,8,8,12,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1160,799,581,439,468,520,689,574,(D),(D),1669,1681,1550,3374,(D),(D),(D),(D),2140,2058
Canada,83659,97412,115758,121106,109196,108878,87937,79905,85987,90285,89708,66727,7358,(D),(D),5842,4308,4952,1705,1503,1804,2890,2496,1830,61572,70349,75540,79757,68350,65955,62635,59253,61746,61119,58352,45954,5295,6388,5987,7704,6690,6879,6727,6161,6079,5948,5730,6669,4100,4243,6610,6431,5600,4375,4621,4390,4545,4324,3951,3675,1184,1499,2260,1959,1750,1703,1994,1684,1814,1841,1711,1456,1554,1033,(D),(D),(D),(D),1203,867,865,732,1050,710,1201,1358,913,913,757,1041,1437,1390,1520,1361,1418,1759,163,254,298,(D),803,576,751,487,(D),(D),397,211,33854,37493,37831,40778,39256,38693,36639,35853,35810,33210,32682,22134,12905,15302,23354,34313,35652,35622,21366,18510,21565,25247,27476,17877,(D),38,38,45,52,369,396,(D),290,365,471,536,135,74,85,90,15,17,(D),14,24,23,23,27,0,2,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),200,201,(D),363,223,(D),(D),(D),(D),(D),(D),(D),245,(D),257,(D),(D)
Europe,72962,78956,87883,86824,89967,117449,118209,114724,117155,126042,116622,109202,213,108,67,(D),(D),(D),(D),(D),(D),(D),(D),(D),44724,48677,58288,56622,59009,77316,78054,72546,82995,88329,80234,72669,694,419,572,522,558,520,438,623,1681,1577,1656,1600,11605,13380,15762,14900,15446,19058,16526,18316,25786,29850,30931,31579,754,936,1085,949,828,823,532,632,(D),(D),795,1053,6736,6111,6644,6192,5916,7060,11831,6400,6721,6923,5198,4537,5517,6920,6362,6745,6711,16942,21408,16371,16963,18230,14980,12747,1418,1442,1401,1417,1247,1193,986,1112,1458,1891,1115,951,7110,5114,6462,6450,7389,7916,8088,10349,10313,7989,7609,5984,27135,29511,27318,27546,27391,36561,37446,39597,32007,34779,30872,30515,128,97,104,271,635,1449,889,959,474,1098,891,1019,33,(D),(D),(D),283,151,179,142,247,243,(D),(D),(*),2,(D),(D),4,0,(*),(D),(D),(D),(D),(D),(D),(D),344,(D),(D),239,122,74,77,132,153,144,(D),(D),(D),331,(D),(D),(D),(D),(D),(D),415,406
"  Austria",200,159,244,183,62,204,167,69,(D),(D),93,143,0,0,0,0,0,0,0,0,0,0,0,0,(D),150,236,176,55,103,(D),(D),(D),(D),92,143,0,0,0,0,0,0,0,0,0,0,0,0,(D),9,12,4,4,4,3,3,3,4,4,(*),0,0,0,0,4,1,0,0,0,0,0,0,(D),(D),(D),(D),4,(D),(D),3,7,4,(D),0,(*),(D),(D),(D),(D),(*),(*),(*),(*),(*),(*),1,3,4,7,7,5,1,1,1,1,1,(*),(*),(D),7,6,(D),2,9,(D),(D),(D),(D),8,(D),(D),9,8,6,7,101,(D),(D),1,0,(*),0,0,0,0,0,0,0,0,0,0,0,(*),(*),0,0,0,0,0,0,0,0,0,0,(*),0,0,0,0,0,0,0,0,0,0,0,0,0,(*),(*),0,0,0,0,0,0,0,0,(*),0,(*),(*),(*),(*),(*),0,0,0,0,0,0,0
"  Belgium",3378,3424,5763,5311,7339,9021,6689,6648,14728,14976,20884,22587,0,0,0,0,0,0,0,0,0,0,1,1,2505,2586,4627,4048,4818,5199,3192,3360,11290,11505,(D),(D),2,(*),(D),(D),7,(D),(D),(D),(D),(D),(D),(D),471,544,513,716,785,(D),1573,2122,(D),10151,10781,11541,8,(D),(D),(D),(D),5,(D),1,(*),(*),1,1,143,38,(D),(D),30,62,25,38,38,52,53,52,(D),(D),(D),(D),(D),19,19,40,57,58,66,80,(D),(D),(D),(D),(D),(D),0,(D),0,0,(D),(*),(D),(D),(D),(D),(D),24,(D),29,(D),(D),(D),(D),(D),827,1124,1252,2508,3789,3468,3255,3406,3431,(D),(D),0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),3,9,(D),(D),(D),(D),(D),5,4,3,2,2,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),0,0,0,0,0,3,3,3,3,(*),0,1,(D),1,(D),(D),(D),2,3,3,3,13,1,1
"  Czech Republic",201,226,242,345,339,330,333,270,272,384,454,321,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),304,312,263,271,382,451,317,0,0,0,0,0,0,(*),(*),(*),(*),0,0,(D),0,0,0,(*),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,(D),(D),(D),(D),(D),5,4,(D),(D),(D),(D),19,5,12,26,32,31,56,39,(D),(D),(D),(D),(D),(D),(D),9,(D),(D),(D),(D),(*),0,0,(D),(D),0,0,0,0,0,(*),(*),70,122,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(*),(*),(*),(*),(*),0,0,0,0,0,0,0,0,0,0,(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),6,1,1,3,3,(*),(*),(*),(*),(*),(D),(*),(*),(*),(*),0,0
"  Denmark",296,295,377,455,1345,1417,1230,1204,1272,1478,1411,1359,0,0,0,0,(D),0,0,0,0,0,0,0,(D),276,366,454,(D),(D),1216,1190,1260,1466,1405,1358,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),2,(*),1,1,(D),(D),3,3,2,2,3,(D),(D),(D),(D),97,(D),(D),(D),(D),89,94,89,80,(D),51,62,61,70,50,66,55,27,40,(D),21,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),1,(D),(D),(*),1,(D),14,8,9,9,1,(*),0,0,0,0,0,0,0,0,(*),(*),(*),(*),0,0,0,0,0,0,(*),(D),3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(*),(*),0,0,(D),1,(*),(*),(*),0,0,0,0,0,0,0,0,0,0,0,0
