"anio","sector","IBF","VAB","VAB.por.ocupado","VBP","act.corriente.sobre.act.total","activo","amortizaciones.en.VAB","coef.VAB","contribuciones.sobre.costo.salarial","costo.salarial.en.VAB","deuda.sobre.activo","deuda.sobre.k.propio","empleo.asalariado","empresas","empresas.exp","empresas.imp","expo","impo","impuestos.net.subsidios.en.VAB","liq.corriente","patrimonio.neto","rentabilidad.sobre.act","rentabilidad.sobre.k.propio","result.oper.en.VAB","salario.medio","salarios","saldo.comercial.bienes","tasa.inversion","utilidad","VAN","amortizaciones","c.intermedio","contribuciones","impuesto.prod","indemnizaciones","interes.rentas.cob","interes.rentas.pag","subsidios","salarios.en.VAB","apalancamiento","autofinanciamiento","deuda.pasivo","impuestos.prod","result.oper","utilidad.en.VAB","utilidad.por.ocupado","utilidad.por.ocupado.sobre.salario.medio","VAB.precios.basicos","productividad_corrientes","masa_salarial","consumo_intermedio","ganancia_antes_de_impuestos","ganancia_despues_impuestos","activo_corriente","activo_no_corriente","stock_de_capital","indice_consumo_capital_fijo","rotacion_capital_aproximada","capital_variable_adelantado","capital_constante_circulante_adelantado","tasa_de_ganancia"
1993,"k.ext.part.50.percent",3934000000,8486400000,78700,19472600000,NA,NA,19.8,43.6,24.3,34.7,NA,NA,107774,58,32,47,1848400000,1480400000,16.2,NA,NA,NA,NA,29.4,1590,2227700000,368000000,46.9,1755200000,NA,168030720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1459660800,13543.7192643866,506502297.6,18012939200,-167077561497.6,-167077561497.6,NA,NA,10081843200,NA,NA,NA,NA,NA
1993,"k.ext.part.50a98.9.percent",2086800000,4897000000,78700,11571700000,NA,NA,9.2,42.3,26.3,33,NA,NA,62262,65,36,50,875400000,1304900000,37,NA,NA,NA,NA,20.7,1474,1192900000,-429500000,45.5,708100000,NA,45052400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860860000,29887.571873695,614083800,9710840000,-43805623800,-43805623800,NA,NA,2703144000,NA,NA,NA,NA,NA
1993,"k.ext.part.99a100.percent",810100000,5420400000,73900,13557800000,NA,NA,7.8,40,25.2,42,NA,NA,73344,96,80,89,2201300000,2644900000,23.8,NA,NA,NA,NA,26.4,1784,1701500000,-443700000,16.2,1343100000,NA,42279120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344259200,18328.1413612565,564588864,12213540800,-41499449664,-41499449664,NA,NA,2536747200,NA,NA,NA,NA,NA
1993,"k.ext.subtotal",6830900000,18803800000,77300,44602200000,NA,NA,13.6,42.2,25.1,36.4,NA,NA,243380,219,148,186,4925100000,5430200000,23.8,NA,NA,NA,NA,26.3,1619,5122100000,-505200000,37.7,3806400000,NA,255731680000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4663342400,19160.746158271,1697456633.6,39938857600,-252765794233.6,-252765794233.6,NA,NA,15343900800,NA,NA,NA,NA,NA
1993,"k.nac",2337000000,11719100000,31900,29734900000,NA,NA,11.7,39.4,23.9,62,NA,NA,366878,281,144,185,2457300000,1719500000,-0.7,NA,NA,NA,NA,27,1160,5533300000,737800000,20.3,2054100000,NA,137113470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35157300,95.8283134993104,21797526,29699742700,-137100110226,-137100110226,NA,NA,8226808200,NA,NA,NA,NA,NA
1993,"k.no.privat",3312100000,21199800000,40600,55821400000,NA,NA,9.8,38,24.4,54.2,NA,NA,521944,450,277,340,6349100000,6477600000,13.4,NA,NA,NA,NA,22.5,1279,8681000000,-128500000,16.5,3628500000,NA,207758040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3052771200,5848.8481522922,1654601990.4,52768628800,-206359870790.4,-206359870790.4,NA,NA,12465482400,NA,NA,NA,NA,NA
1993,"k.privat.conce",5855800000,9323100000,105600,18515700000,NA,NA,19.7,50.4,24.5,28.1,NA,NA,88314,50,15,31,1033300000,672100000,16.5,NA,NA,NA,NA,35.8,1720,1974400000,361100000,63.9,2232000000,NA,183665070000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1631542500,18474.335892384,458463442.5,16884157500,-182491990942.5,-182491990942.5,NA,NA,11019904200,NA,NA,NA,NA,NA
1993,"manufactura.alimentos",738800000,5636400000,50800,16393300000,NA,NA,6,34.4,25.3,38,NA,NA,110921,109,85,83,3542000000,719800000,33.1,NA,NA,NA,NA,22.9,1110,1600200000,2822200000,15.4,1162400000,NA,33818400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1922012400,17327.7593963271,730364712,14471287600,-32626752312,-32626752312,NA,NA,2029104000,NA,NA,NA,NA,NA
1993,"manufactura.combustibles",813600000,5624100000,102900,13998300000,NA,NA,8.3,40.2,25.7,33.4,NA,NA,54652,91,82,87,1077400000,1556000000,42.1,NA,NA,NA,NA,16.3,1961,1393600000,-478600000,16,682700000,NA,46680030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2423987100,44353.1270584791,809611691.4,11574312900,-45065654591.4,-45065654591.4,NA,NA,2800801800,NA,NA,NA,NA,NA
1993,"manufactura.maquinaria",204200000,2289000000,48400,8532600000,NA,NA,9.5,26.8,26,61,NA,NA,47257,44,34,40,1018400000,2514500000,-2.6,NA,NA,NA,NA,32.1,1682,1033200000,-1496100000,11.7,701000000,NA,21745500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36624000,-774.996296844912,-22340640,8569224000,-21759783360,-21759783360,NA,NA,1304730000,NA,NA,NA,NA,NA
