,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,
,,Actividad principal de la empresa,Resumen de los principales agregados macroeconómicos por actividad principal de la empresa. Años 1993-2012,,,,,,,,,,,,,,,,,,,,,
,,,Masa salarial (millones de pesos),,,,,,,,,,,,,,,,,,,,,
,,,Total,Minas y canteras,Industria manufacturera,"    Alimentos, bebidas y tabaco","    Combustibles, químicos y plásticos","    Maquinarias, equipos y vehículos",    Resto industria/1),Servicios,"Electricidad, gas y agua",Comunicaciones,Resto actividades (2), ,IPC 2015,IPC 2015 =1,,,,,,,,
,,1993,"10.655,30","269,7",5381,1600,1394,1033,1354,  5.005 ,  1.183 ,  1.182 ,  2.640 ,,1993,"0,07455914228",,,,,,,,
,,1994,"11.169,40","335,1",5619,1674,1428,1105,1412,  5.216 ,  1.101 ,  1.301 ,  2.813 ,,1994,"0,07767370127",,,,,,,,
,,1995,"11.083,40","404,7",5553,1761,1458,941,1393,  5.125 ,  1.035 ,  1.230 ,  2.861 ,,1995,"0,08029604775",,,,,,,,
,,1996,"11.129,30","435,7",5557,1780,1515,851,1411,  5.137 ,  1.005 ,  1.186 ,  2.946 ,,1996,"0,08042105442",,,,,,,,
,,1997,"11.461,10","495,4",5922,1829,1654,961,1478,  5.044 ,  908 ,  1.261 ,  2.875 ,,1997,"0,08084615978",,,,,,,,
,,1998,"12.037,30","476,7",6010,1883,1679,980,1468,  5.550 ,  902 ,  1.301 ,  3.347 ,,1998,"0,08159371955",,,,,,,,
,,1999,"12.144,10","508,1",5647,1838,1676,863,1271,  5.989 ,  935 ,  1.326 ,  3.729 ,,1999,"0,0806417713",,,,,,,,
,,2000,"12.039,20","433,9",5641,1831,1701,839,1270,  5.965 ,  959 ,  1.357 ,  3.649 ,,2000,"0,07988483054",,,,,,,,
,,2001,"11.603,10","445,8",5311,1710,1692,757,1153,  5.847 ,  939 ,  1.310 ,  3.598 ,,2001,"0,07903376639",,,,,,,,
,,2002,"11.805,80","720,1",5520,1934,1811,560,1215,  5.566 ,  1.003 ,  1.242 ,  3.321 ,,2002,"0,09947861457",,,,,,,,
,,2003,"13.763,30","1.019,50",6500,2325,2072,596,1508,  6.243 ,  1.060 ,  1.463 ,  3.720 ,,2003,"0,1128513748",,,,,,,,
,,2004,"16.240,70","1.191,60",7728,2780,2254,847,1847,  7.321 ,  1.205 ,  1.750 ,  4.367 ,,2004,"0,1178345732",,,,,,,,
,,2005,"  20.216,3 ","  1.732,8 ",9601,3280,2770,1252,2299,  8.882 ,  1.407 ,  2.033 ,  5.442 ,,2005,"0,1291957854",,,,,,,,
,,2006,"  26.051,3 ","  2.221,8 ",12240,4235,3357,1820,2828,  11.590 ,  1.789 ,  2.530 ,  7.271 ,,2006,"0,1432752878",,,,,,,,
,,2007,"  33.978,8 ","  3.155,3 ",15530,5279,4141,2557,3553,  15.293 ,  2.218 ,  3.146 ,  9.930 ,,2007,"0,1620192687",,,,,,,,
,,2008,"  46.274,8 ","  4.386,7 ",20622,7188,5416,3442,4576,  21.266 ,  3.025 ,  4.030 ,  14.211 ,,2008,"0,1987023855",,,,,,,,
,,2009,"  55.252,6 ","  5.118,5 ",23235,8883,6067,3654,4630,  26.899 ,  3.940 ,  5.141 ,  17.819 ,,2009,"0,2282061891",,,,,,,,
,,2010,"  72.785,4 ","  6.656,3 ",30633,11258,7714,5646,6014,  35.496 ,  5.623 ,  5.510 ,  24.364 ,,2010,"0,2871996916",,,,,,,,
,,2011,"  101.465,2 ","  9.281,4 ",42136,15368,10201,8839,7728,  50.048 ,  7.667 ,  7.121 ,  35.261 ,,2011,"0,3557015111",,,,,,,,
,,2012,"  133.398,2 ","  12.345,1 ",55166,19887,14152,11471,9656,  65.887 ,  10.156 ,  10.245 ,  45.486 ,,2012,"0,4397944503",,,,,,,,
,ENGE 2015,2012,132.451,12.426,55.375,20.109,14.259,11.327,9681,64650,10.029,10.287,44334,,2013,"0,5537259401",,,,,,,,
,,2013,171.891,16.568,71.339,25.514,18.622,14.868,12336,83984,13.214,13.505,57265, ,2014,"0,79008829",,,,,,,,
,,2014,227.466,24.828,92.795,34.465,24.322,17.523,16486,109843,17.881,17.893,74069, ,2015,1,,,,,,,,
,,2015,308.647,35.448,123.697,45.944,32.123,24.368,21262,149502,24.916,"  25.166,0 ",99420, , ,,,,,,,,,
,ENGE16,2016,403.028,39.267,160.465,61.438,41.734,30.611,26682,203296,35.777,"  33.070,0 ",134449, ,,,,,,,,,,
