,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resumen de los principales agregados macroeconómicos por actividad principal de la empresa. Años 1993 - 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Activos (millones de pesos),,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
,,Años,Total,Minas y canteras,Industria manufacturera,"    Alimentos, bebidas y tabaco","Textiles
y cueros","    Combustibles, químicos y plásticos","Minerales
no
metálicos,
metales
y productos
de metal","    Maquinarias, equipos y vehículos",    Resto industria,Sub-total,"Electricidad, gas y agua",Comunicaciones,Resto de actividades (1),,IPC 2015 =1,,,Resumen de los principales agregados macroeconómicos por actividad principal de la empresa. Años 1993 - 2004,,,,,,,,,,,,,,,,,,
,,1995,"127.068,20","12.231,20","55.098,10","15.939,00",-,"16.720,60",-,"8.341,30","14.097,20","59.738,80","22.387,70","14.025,60","23.325,60",,1.995,"0,08029604775",,Patrimonio neto (millones de pesos),,,,,,,,,,,,,,,,,,
,,1996,"131.386,2","14.329,1","58.074,7","16.600,9",-,"17.827,7",-,"9.351,8","14.294,3","58.982,50","22.903,40","14.921,40","21.157,70",,1.996,"0,08042105442",,Años,Total,Minas y canteras,Industria manufacturera,"    Alimentos, bebidas y tabaco","Textiles
y cueros","    Combustibles, químicos y plásticos","Minerales
no
metálicos,
metales
y productos
de metal","    Maquinarias, equipos y vehículos",    Resto industria,Sub-total,"Electricidad, gas y agua",Comunicaciones,Resto de actividades (1),,,,,
,,1997,"146.551,80","18.345,50","63.715,80","17.682,70",-,"19.153,40",-,"10.984,80","15.894,80","64.490,40","24.206,40","19.055,20","21.228,80",,1.997,"0,08084615978",,1995,"70.814,00","7.930,50","29.290,50","7.564,10",,"9.951,10",,"3.373,10","8.402,10","33.593,00","12.298,10","7.595,30","13.699,60",,,,,
,,1998,"157.558,2","19.454,7","67.399,6","18.917,9",-,"21.030,9",-,"10.905,3","16.545,5","70.703,9","24.840,4","21.258,7","24.604,8", ,1.998,"0,08159371955",,1996,"68.940,5","8.609,7","29.548,8","7.692,4",,"9.981,5",,"3.669,8","8.205,2","30.782,10","12.569,70","7.880,20","10.332,20",,,,,
,,1999,"165.487,8","19.001,7","67.740,3","19.679,7",-,"22.599,6",-,"9.850,2","15.610,8","78.745,9","25.573,9","23.060,4","30.111,5",,1.999,"0,0806417713",,1997,"73.200,40","9.885,50","31.330,60","8.151,80",,"10.377,30",,"3.964,60","8.836,90","31.984,30","13.515,70","9.330,70","9.138,00",,,,,
,,2000,"79.476,70","10.084,40","33.504,30","9.504,30",-,"11.535,20",-,"4.223,90","8.240,90","35.888,0","13.851,3","9.940,5","12.096,2",,2.000,"0,07988483054",,1998,"75.665,1","9.748,2","32.948,7","8.780,0",,"10.896,1",,"4.159,4","9.113,1","32.968,2","13.359,5","9.709,4","9.899,3",,,,,
,,2001,"171.468,6","17.039,8","72.847,6","20.540,1",-,"28.332,9",-,"8.741,1","15.233,5","81.581,2","27.394,5","23.412,8","30.774,0",,2.001,"0,07903376639",,1999,"79.476,7","10.084,4","33.504,3","9.504,3",,"11.535,2",,"4.223,9","8.240,9","35.888,0","13.851,3","9.940,5","12.096,2",,,,,
,,2002,"266.119,5","30.886,7","117.060,0","32.770,6",-,"47.261,1",-,"11.063,5","25.964,9","118.172,7","49.490,7","30.056,8","38.625,3",,2.002,"0,09947861457",,2000,"82.774,2","10.331,2","34.950,6","9.211,3",,"12.680,5",,"4.510,3","8.548,5","37.492,5","14.809,2","10.538,9","12.144,4",,,,,
