,year,sector,vab,emp,productividad,index,TCC,TCP_1,TCP_2,prod_tcc
0,2002,Total,73179,50647.0,1.4448832112464707,,3.14,0.9941158842965611,0.7066666934948361,1.4534353932679325
1,2003,Total,86305,503532.0,0.17139923579832067,,2.93,1.2378096178732818,0.8402254851792774,0.13846978834500162
2,2004,Total,102857,5362190.0,0.0191819014246045,,2.93,1.2035224460529526,0.8545070696306212,0.01593813350761597
3,2005,Total,121090,5619950.0,0.021546455039635586,,,1.3501430843732851,0.9063353378572974,0.015958645634686273
4,2006,Total,146822,5976640.0,0.024565976869946993,,,1.344359568048199,0.9263972315392778,0.018273367820495354
5,2007,Total,177036,6443580.0,0.0274747888596091,,,1.4597207637984138,1.045406646701571,0.018821948376013746
6,2008,Total,214722,6918570.0,0.031035604178320086,,,1.7492073402923984,1.2535363609397792,0.017742667471960277
7,2009,Total,230437,6989650.0,0.03296831744078745,,,1.8840630492383101,1.223506415269924,0.017498521322901535
8,2010,Total,304227,7309240.0,0.04162224800389644,,,1.9955236223549513,1.4283430244428186,0.02085780771403614
9,2011,Total,387151,7727520.0,0.050100290908337994,,,2.250516835756798,1.6176849656438348,0.02226168234439819
10,2012,Total,467846,8042560.0,0.05817127879680102,,,2.645295065688402,1.7692344305123848,0.021990468871064386
11,2012,Total,467846,7948780.0,0.05885758569239556,,,2.645295065688402,1.7692344305123848,0.022249913234945184
12,2012,Total,469456,8042560.0,0.058371463812517406,,,2.645295065688402,1.7692344305123848,0.02206614474492547
13,2012,Total,469456,7948780.0,0.0590601324983205,,,2.645295065688402,1.7692344305123848,0.022326481935560905
14,2013,Total,585038,8172700.0,0.07158442130507665,,,2.7039072200168492,1.8144801867546825,0.026474436983318746
15,2014,Total,806579,8229510.0,0.09801057414110925,,,2.6256536160227677,1.6721521353828568,0.037328067016536494
16,2015,Total,1003364,8424520.0,0.1191004353957258,,,2.687444409628227,1.8053785023032782,0.04431735777269596
17,2016,Total,1324395,,,,,2.474870697695416,1.6086191011435709,
18,2002,Minas y canteras,17972,13168.0,1.364823815309842,,3.14,0.9941158842965611,0.7066666934948361,1.3729021302939897
19,2003,Minas y canteras,21085,16746.0,1.259106652334886,,2.93,1.2378096178732818,0.8402254851792774,1.0172054200856795
20,2004,Minas y canteras,24500,183150.0,0.13377013377013378,,2.93,1.2035224460529526,0.8545070696306212,0.11114884829015326
21,2005,Minas y canteras,29352,231780.0,0.1266373285011649,,,1.3501430843732851,0.9063353378572974,0.09379548728344443
22,2006,Minas y canteras,35582,236720.0,0.15031260561000337,,,1.344359568048199,0.9263972315392778,0.11180982319204519
23,2007,Minas y canteras,36103,273250.0,0.13212442817932296,,,1.4597207637984138,1.045406646701571,0.0905134950848512
24,2008,Minas y canteras,37639,295680.0,0.1272964015151515,,,1.7492073402923984,1.2535363609397792,0.07277376362591331
25,2009,Minas y canteras,43746,289130.0,0.15130218240929685,,,1.8840630492383101,1.223506415269924,0.08030632651623064
26,2010,Minas y canteras,57199,293010.0,0.19521176751646702,,,1.9955236223549513,1.4283430244428186,0.09782483420872477
27,2011,Minas y canteras,65112,315140.0,0.20661293393412453,,,2.250516835756798,1.6176849656438348,0.0918068821576468
28,2012,Minas y canteras,78656,353690.0,0.22238683592976902,,,2.645295065688402,1.7692344305123848,0.0840688204557233
29,2012,Minas y canteras,78656,354.0,222.19209039548022,,,2.645295065688402,1.7692344305123848,83.99520086718861
30,2012,Minas y canteras,78105,353690.0,0.22082897452571462,,,2.645295065688402,1.7692344305123848,0.08347990263545398
31,2012,Minas y canteras,78105,354.0,220.635593220339,,,2.645295065688402,1.7692344305123848,83.40679876591446
32,2013,Minas y canteras,91848,38724.0,2.3718624109079642,,,2.7039072200168492,1.8144801867546825,0.8771981499029334
33,2014,Minas y canteras,133899,44203.0,3.0291835395787614,,,2.6256536160227677,1.6721521353828568,1.1536874175228202
34,2015,Minas y canteras,138500,493830.0,0.2804608873498977,,,2.687444409628227,1.8053785023032782,0.10435969813741965
