sector,year,capital_expenditures,compensation_employees,employment,exports_by_parent_to_affiliates,exports_by_parent_to_other,imports_by_parent_to_affiliates,imports_by_parent_to_other,liabilities,net_income,owners_equity,rd_expenditures,total_assets,total_sales,value_added,CI,TGasset,TGequity,PT,Rem,TP
  Accommodation and food services,2009,3519.0,32349.0,1344600.0,,,,,117805.0,7517.0,49213.0,37.0,167018.0,87018.0,52654.0,34364.0,0.04500712498054102,0.15274419360738017,0.03915960136843671,0.002004871337200654,0.23237194349129803
  Accommodation and food services,2010,3114.0,30146.0,1276700.0,,,,,117085.0,8787.0,50765.0,51.0,167850.0,89275.0,53632.0,35643.0,0.0523503127792672,0.173091697035359,0.04200830265528315,0.0019677031931281167,0.2914814569097061
  Accommodation and food services,2011,4136.0,30805.0,1260900.0,,,,,119291.0,10427.0,52597.0,51.0,171888.0,93155.0,52188.0,40967.0,0.060661593595829844,0.1982432458124988,0.041389483702117535,0.0020359135009384833,0.3384840123356598
  Accommodation and food services,2012,5439.0,30131.0,1273100.0,,83.0,,,117888.0,10251.0,52311.0,49.0,170199.0,93427.0,53193.0,40234.0,0.060229496060493895,0.19596260824683145,0.0417822637656115,0.001972285497342445,0.34021439713252133
  Accommodation and food services,2013,5439.0,31247.0,1289800.0,,45.0,,,112740.0,9532.0,53126.0,35.0,165866.0,95663.0,52668.0,42995.0,0.05746807664017942,0.1794225049881414,0.04083423786633587,0.0020188530521527887,0.30505328511537105
  Accommodation and food services,2014,6739.0,36761.0,1468600.0,,,0.0,,129182.0,12710.0,52714.0,53.0,181896.0,112058.0,58164.0,53894.0,0.06987509345999912,0.24111241795348484,0.03960506604929865,0.0020859435289845205,0.3457468512826093
  Accommodation and food services,2015,5984.0,39793.0,1528200.0,,70.0,0.0,,152740.0,10418.0,49322.0,,202062.0,119595.0,61545.0,58050.0,0.05155843256030327,0.21122420015408946,0.040272870043188067,0.0021699275836496094,0.26180484004724447
  Accommodation and food services,2016,6322.0,38058.0,1427000.0,,,0.0,,146126.0,16375.0,40357.0,132.0,186482.0,110730.0,66854.0,43876.0,0.0878100835469375,0.4057536486854821,0.04684933426769446,0.0022224947442186405,0.4302643333858847
  Accommodation and food services,2017,6357.0,38152.0,1435100.0,,,0.0,,143926.0,16915.0,35878.0,460.0,179803.0,115641.0,65171.0,50470.0,0.09407518228283177,0.4714588327108534,0.04541216639955404,0.0022154089145936403,0.4433581463619207
  Accommodation and food services,2018,6733.0,40236.0,1433200.0,,267.0,0.0,,155791.0,18631.0,28900.0,,184691.0,116329.0,62176.0,54153.0,0.10087659929287296,0.6446712802768166,0.043382640245604245,0.002339519955344683,0.46304304602843227
  Accommodation and food services,2019,7573.0,42773.0,1493900.0,,,0.0,,152645.0,19475.0,39887.0,180.0,192532.0,123775.0,64903.0,58872.0,0.10115201628820145,0.4882543184496202,0.04344534440056229,0.0023859807662271015,0.4553105931311809
"  Administration, support, and waste management",2009,5243.0,48237.0,1036400.0000000001,,,,,88729.0,6123.0,65328.0,,154057.0,126223.0,59080.0,67143.0,0.039745029437156375,0.09372703894195444,0.05700501736781165,0.0038785700501736777,0.12693575471111387
"  Administration, support, and waste management",2010,5730.0,55812.0,1150900.0,,,,,91587.0,4313.0,68276.0,988.0,159863.0,134890.0,72839.0,62051.0,0.026979351069353133,0.0631700744038901,0.06328873055869319,0.004041185159440438,0.07727728803841467
"  Administration, support, and waste management",2011,5640.0,57666.0,1129100.0,,,,,103018.0,4677.0,67948.0,,170966.0,131105.0,76974.0,54131.0,0.027356316460582807,0.06883204803673397,0.06817288105570808,0.004256044637321761,0.08110498387264593
"  Administration, support, and waste management",2012,3068.0,51588.0,1037300.0,,,,,95227.0,7020.0,60513.0,,155740.0,116580.0,68062.0,48518.0,0.045075125208681135,0.11600813048435873,0.0656145763038658,0.004144413380892702,0.1360781577110956
"  Administration, support, and waste management",2013,3721.0,50933.0,1052100.0,,,,,107409.0,8146.0,69703.0,,177112.0,121353.0,69391.0,51962.0,0.045993495641176205,0.11686727974405693,0.06595475715236195,0.004034233121059469,0.1599356016727858
"  Administration, support, and waste management",2014,4801.0,55034.0,1189600.0,,,,1194.0,126873.0,10404.0,79555.0,718.0,206428.0,149735.0,73437.0,76298.0,0.050400139515957135,0.13077744956319529,0.06173251513113651,0.0038552174400358664,0.1890467710869644
"  Administration, support, and waste management",2015,5970.0,58122.0,1234600.0,,,,881.0,133403.0,11566.0,64386.0,651.0,197788.0,152464.0,78141.0,74323.0,0.05847675288692944,0.17963532444941446,0.06329256439332577,0.003923132998542037,0.19899521695743436
"  Administration, support, and waste management",2016,5919.0,54254.0,1136600.0,,,31.0,,127394.0,8287.0,65998.0,480.0,193391.0,135149.0,68134.0,67015.0,0.0428510116809986,0.12556441104275887,0.059945451346120004,0.003977799284415508,0.15274449810152246
"  Administration, support, and waste management",2017,5791.0,57938.0,1196700.0,,,32.0,,152127.0,12110.0,74186.0,640.0,226313.0,153029.0,76064.0,76965.0,0.05350996186697185,0.1632383468578977,0.06356146068354641,0.004034567282248405,0.20901653491663502
"  Administration, support, and waste management",2018,6328.0,60675.0,1238900.0,85.0,572.0,25.0,,155123.0,13341.0,71508.0,710.0,226632.0,161573.0,77377.0,84196.0,0.05886635603092238,0.1865665380097332,0.0624562111550569,0.004081241423843733,0.21987639060568603
"  Administration, support, and waste management",2019,5902.0,66292.0,1356600.0,,474.0,17.0,,163382.0,12474.0,70051.0,1703.0,233433.0,166679.0,80060.0,86619.0,0.053437174692524195,0.17807026309403148,0.059015185021376974,0.00407219027962062,0.18816750135762988
  Advertising and related Services,2009,471.0,8596.0,86100.0,0.0,0.0,0.0,0.0,34142.0,-2181.0,40106.0,1.0,74248.0,21829.0,12035.0,9794.0,-0.029374528606831162,-0.054380890639804516,0.13977932636469223,0.008319783197831979,-0.25372266170311775
  Advertising and related Services,2010,530.0,9259.0,85000.0,2.0,0.0,2.0,0.0,35630.0,824.0,39582.0,,75212.0,22264.0,13471.0,8793.0,0.010955698558740627,0.020817543327775252,0.15848235294117646,0.009077450980392157,0.08899449184577168
  Advertising and related Services,2011,620.0,10890.0,97400.0,1.0,0.0,2.0,0.0,39605.0,1953.0,26223.0,,65828.0,24586.0,14616.0,9970.0,0.029668226286686517,0.07447660450749342,0.15006160164271048,0.009317248459958932,0.1793388429752066
  Advertising and related Services,2012,832.0,11334.0,100300.0,,0.0,3.0,0.0,42061.0,3216.0,29202.0,,71262.0,25879.0,15711.0,10168.0,0.045129241390923634,0.11012944318882269,0.15664007976071784,0.009416749750747756,0.2837480148226575
  Advertising and related Services,2013,889.0,12091.0,100900.0,,0.0,3.0,0.0,42472.0,2032.0,30897.0,,73368.0,26424.0,16519.0,9905.0,0.02769599825537019,0.06576690293556009,0.1637165510406343,0.009985959696068714,0.1680588867752874
  Advertising and related Services,2014,1005.0,13415.0,120300.0,0.0,0.0,0.0,0.0,45181.0,1751.0,32450.0,,77631.0,32457.0,17419.0,15038.0,0.02255542244721825,0.05395993836671803,0.1447963424771405,0.009292740371293988,0.1305255311218785
  Advertising and related Services,2015,1036.0,12979.0,121800.0,0.0,0.0,0.0,0.0,44070.0,2322.0,31477.0,160.0,75547.0,32182.0,17153.0,15029.0,0.03073583332230267,0.07376814817168091,0.14082922824302135,0.008879994526546251,0.17890438400493106
  Advertising and related Services,2016,1054.0,15244.0,139900.0,0.0,0.0,0.0,0.0,45949.0,2412.0,31748.0,179.0,77698.0,32558.0,20007.0,12551.0,0.031043270097042396,0.07597328965604133,0.14300929235167978,0.00908029544913033,0.15822618735240093
  Advertising and related Services,2017,1058.0,12909.0,100700.0,0.0,0.0,0.0,0.0,46727.0,2457.0,31637.0,149.0,78364.0,31874.0,17363.0,14511.0,0.03135368281353683,0.07766223093213642,0.17242303872889772,0.010682720953326714,0.1903323262839879
  Advertising and related Services,2018,1149.0,13078.0,102900.0,0.0,0.0,0.0,0.0,53850.0,2934.0,32232.0,145.0,86082.0,32396.0,17665.0,14731.0,0.0340837805813062,0.09102755026061057,0.17167152575315842,0.010591188856494979,0.224346230310445
  Advertising and related Services,2019,972.0,13472.0,103000.0,0.0,0.0,0.0,0.0,52667.0,2407.0,32495.0,,85162.0,31513.0,18124.0,13389.0,0.028263779620018317,0.07407293429758424,0.1759611650485437,0.010899676375404531,0.17866686460807601
"  Agriculture, forestry, fishing, and hunting",2009,198.0,1839.0,54200.0,328.0,959.0,21.0,,4441.0,-178.0,1937.0,,6378.0,9338.0,2192.0,7146.0,-0.027908435246158672,-0.09189468249870934,0.04044280442804428,0.0028274907749077493,-0.09679173463839043
"  Agriculture, forestry, fishing, and hunting",2010,93.0,631.0,17200.0,70.0,,22.0,,1814.0,150.0,2033.0,,3847.0,2786.0,1047.0,1739.0,0.03899142188718482,0.07378258730939498,0.060872093023255816,0.0030571705426356587,0.23771790808240886
"  Agriculture, forestry, fishing, and hunting",2011,334.0,1610.0,27500.0,,,,,5953.0,1898.0,14188.0,,20141.0,9299.0,4464.0,4835.0,0.09423563874683481,0.13377502114462927,0.16232727272727274,0.004878787878787879,1.1788819875776397
"  Agriculture, forestry, fishing, and hunting",2012,420.0,1770.0,27400.0,,,,,6242.0,,14522.0,,20764.0,10456.0,4751.0,5705.0,,,0.1733941605839416,0.005383211678832117,
"  Agriculture, forestry, fishing, and hunting",2013,567.0,2126.0,31700.0,775.0,,,,6716.0,,15625.0,,22341.0,11324.0,5829.0,5495.0,,,0.1838801261829653,0.005588853838065195,
"  Agriculture, forestry, fishing, and hunting",2014,936.0,2262.0,36100.0,,,,,16539.0,3009.0,12872.0,,29411.0,13643.0,5596.0,8047.0,0.10230866002516066,0.23376320696084524,0.15501385041551247,0.005221606648199446,1.330238726790451
"  Agriculture, forestry, fishing, and hunting",2015,1237.0,3016.0,45100.0,782.0,,363.0,,22064.0,2436.0,16474.0,,38538.0,15235.0,6175.0,9060.0,0.06321033784835746,0.14786936991623165,0.1369179600886918,0.0055728011825572805,0.8076923076923077
"  Agriculture, forestry, fishing, and hunting",2016,1094.0,2138.0,37500.0,,,105.0,,23234.0,1699.0,12434.0,,35669.0,13245.0,5669.0,7576.0,0.04763239788051249,0.1366414669454721,0.15117333333333333,0.004751111111111111,0.7946679139382601
"  Agriculture, forestry, fishing, and hunting",2017,1402.0,2137.0,35500.0,,,169.0,,23186.0,3008.0,15536.0,,38722.0,14886.0,5814.0,9072.0,0.07768193791642994,0.19361483007209063,0.16377464788732393,0.005016431924882629,1.4075807206364062
"  Agriculture, forestry, fishing, and hunting",2018,1012.0,1756.0,28600.0,,,34.0,,11542.0,942.0,10971.0,24.0,22514.0,12911.0,3435.0,9476.0,0.04184063249533623,0.08586272901285207,0.12010489510489511,0.005116550116550117,0.5364464692482915
"  Agriculture, forestry, fishing, and hunting",2019,1437.0,2422.0,40800.0,378.0,1299.0,618.0,105.0,14323.0,838.0,14069.0,63.0,28392.0,18380.0,4463.0,13917.0,0.029515356438433362,0.05956357950103063,0.10938725490196079,0.004946895424836601,0.34599504541701076
"  Architectural, engineering, and related services",2009,538.0,20876.0,204100.0,,,,,19694.0,1999.0,19713.0,42.0,39407.0,54763.0,23604.0,31159.0,0.05072702819296064,0.1014051641049054,0.11564919157275845,0.008523599542707823,0.09575589193332056
"  Architectural, engineering, and related services",2010,828.0,20481.0,206900.0,26.0,222.0,86.0,,23524.0,2235.0,19921.0,118.0,43445.0,49506.0,24380.0,25126.0,0.051444354931522614,0.11219316299382562,0.11783470275495408,0.008249154180763654,0.10912553097993262
"  Architectural, engineering, and related services",2011,693.0,20461.0,209900.0,102.0,,64.0,153.0,27088.0,404.0,23370.0,,50458.0,48308.0,21265.0,27043.0,0.008006659003527686,0.01728712023962345,0.10131014768937589,0.008123312688581864,0.019744880504374174
"  Architectural, engineering, and related services",2012,866.0,20600.0,210200.0,,,68.0,161.0,28744.0,1432.0,24190.0,,52934.0,49954.0,21864.0,28090.0,0.02705255601314845,0.059198015708970646,0.1040152235965747,0.008166825245797654,0.06951456310679612
"  Architectural, engineering, and related services",2013,855.0,17699.0,178000.0,71.0,,84.0,166.0,24398.0,2310.0,26259.0,,50658.0,43718.0,19712.0,24006.0,0.04559990524695014,0.0879698389123729,0.11074157303370787,0.008286048689138577,0.1305158483530143
