country;sector;year;ipt_arg_99_index;ipt_bench_99_index;brecha_anio_base;brecha_calculada
Denmark;All Industries Total;1999;1,0;1,0;1,22635482033192;1,22635482033192
Denmark;All Industries Total;1999;1,0;1,0;0,714462341187005;0,714462341187005
Denmark;All Industries Total;1999;1,0;1,0;0,527475135483544;0,527475135483544
Denmark;All Industries Total;1999;1,0;1,0;0,448443794173001;0,448443794173001
Denmark;All Industries Total;1999;1,0;1,0;0,435054256580369;0,435054256580369
Denmark;All Industries Total;1999;1,0;1,0;0,379032450598119;0,379032450598119
Denmark;All Industries Total;1999;1,0;1,0;0,369456664343798;0,369456664343798
Denmark;All Industries Total;1999;1,0;1,0;0,333116664572277;0,333116664572277
Denmark;All Industries Total;1999;1,0;1,0;0,320439920465933;0,320439920465933
Denmark;All Industries Total;1999;1,0;1,0;0,285260970224165;0,285260970224165
Denmark;All Industries Total;1999;1,0;1,0;0,236209998514887;0,236209998514887
Denmark;All Industries Total;1999;1,0;1,0;0,229748326822991;0,229748326822991
Denmark;All Industries Total;1999;1,0;1,0;0,18405973910251;0,18405973910251
Denmark;All Industries Total;1999;1,0;1,0;0,162200792630996;0,162200792630996
Denmark;All Industries Total;1999;1,0;1,0;0,09682514469561;0,09682514469561
Denmark;All Industries Total;2000;0,965079649905987;0,903858329263693;;1,3094198972869828
Denmark;All Industries Total;2001;0,915580950225421;0,804005638316911;;1,396541340261653
Denmark;All Industries Total;2002;0,765471847938947;0,788811013878235;;1,190069704951177
Denmark;All Industries Total;2003;1,33710786504849;0,88542043116625;;1,8519661596763501
Denmark;All Industries Total;2004;1,33832139366725;1,08955303435382;;1,506357965631791
Denmark;All Industries Total;2005;1,40617055728001;1,33516001077233;;1,2915785577877197
Denmark;All Industries Total;2006;0,957506214667155;1,46199824678615;;0,8031763132658494
Denmark;All Industries Total;2007;1,19581199816062;1,48985494869464;;0,9843171709030528
Denmark;All Industries Total;2008;1,19573665693264;2,7545204648362;;0,5323603261608436
Denmark;All Industries Total;2009;0,794020563672555;2,25233248890474;;0,432330018103153
Denmark;All Industries Total;2010;0,484973118483466;2,33834440048408;;0,25434624662666366
Denmark;All Industries Total;2011;3,61007425569526;2,55533481060346;;1,7325447713767603
Denmark;All Industries Total;2012;3,26615483552319;1,99163445260797;;2,0111445256679845
Denmark;All Industries Total;2013;2,66820669471323;2,07833803446521;;1,5744157530877552
Denmark;All Industries Total;2014;2,2709557802931;1,41773532658898;;1,9643987955239024
Denmark;All Industries Total;2015;1,78057117158297;1,15684672785917;;1,887555184821902
Denmark;All Industries Total;2016;1,49448415884463;1,07503496825922;;1,7048448713036433
Denmark;All Industries Total;2017;1,56425324794788;1,01853498287159;;1,883420346969657
Denmark;All Industries Total;2018;1,26280709536219;0,924304597675049;;1,6754753491891845
Denmark;All Industries Total;2019;1,41368089784516;1,08934945677107;;1,5914767962728276
Denmark;Chemicals;2000;1,02766805427473;;;
Denmark;Chemicals;2001;0,789967548128744;;;
Denmark;Chemicals;2002;0,349036265703714;;;
Denmark;Chemicals;2003;1,32618099157313;;;
Denmark;Chemicals;2004;1,51182216508516;;;
Denmark;Chemicals;2005;0,673693274515298;;;
Denmark;Chemicals;2006;1,22221745882431;;;
Denmark;Chemicals;2007;0,942830390184973;;;
Denmark;Chemicals;2008;1,10808441734827;;;
Denmark;Chemicals;2009;0,493379844940394;;;
Denmark;Chemicals;2010;0,81078636079285;;;
Denmark;Chemicals;2011;5,17567236058835;;;
Denmark;Chemicals;2012;3,21034870371465;;;
Denmark;Chemicals;2013;2,09726662565305;;;
Denmark;Chemicals;2014;1,95194749439607;;;
Denmark;Chemicals;2015;1,74773024549797;;;
Denmark;Chemicals;2016;1,46595073367026;;;
Denmark;Chemicals;2017;1,63131422416597;;;
Denmark;Chemicals;2018;1,42000085499233;;;
Denmark;Chemicals;2019;1,51257728410737;;;
Denmark;Computers and electronic products;2000;1,09797976334014;;;
Denmark;Computers and electronic products;2002;1,39738243711616;;;
Denmark;Computers and electronic products;2003;1,16726470458169;;;
Denmark;Computers and electronic products;2004;0,969747965361698;;;
Denmark;Computers and electronic products;2005;0,959197570478768;;;
Denmark;Computers and electronic products;2006;0,789578987669618;;;
Denmark;Computers and electronic products;2007;0,734933268673644;;;
Denmark;Computers and electronic products;2008;0,575028477402329;;;
Denmark;Computers and electronic products;2009;0,534103446865523;;;
Denmark;Computers and electronic products;2010;0,453860667065301;;;
Denmark;Computers and electronic products;2011;0,378601333597436;;;
Denmark;Computers and electronic products;2012;0,307891781857677;;;
Denmark;Computers and electronic products;2013;0,262228658104457;;;
Denmark;Computers and electronic products;2015;2,9244000396746;;;
Denmark;Computers and electronic products;2016;1,73157122772701;;;
Denmark;Computers and electronic products;2017;1,61411991817991;;;
Denmark;Computers and electronic products;2018;1,37949471308573;;;
Denmark;Computers and electronic products;2019;1,48199496897454;;;
Denmark;Electrical equipment;2004;0,885718282180473;2,20990732332489;;
Denmark;Electrical equipment;2005;0,906877702998108;2,20704184483812;;
Denmark;Electrical equipment;2006;0,880487433829062;1,92385457741266;;
Denmark;Electrical equipment;2007;0,80315906010408;2,01013802978235;;
Denmark;Electrical equipment;2008;0,665797703224174;1,98185820076797;;
Denmark;Electrical equipment;2014;3,30033723327955;2,02489746080635;;
Denmark;Electrical equipment;2016;1,46695023289412;2,01308443993385;;
Denmark;Electrical equipment;2017;2,43352763409494;1,98594170383678;;
